N	3gram	Voloshinov_1	Problema
1	тем не менее	2	18
2	то же самое	3	9
3	для того чтобы	3	8
4	ничего общего с	2	7
5	в этом смысле	2	6
6	в таком случае	2	6
7	в том что	3	5
8	на самом деле	1	4
9	серп и молот	1	4
10	не имеют ничего	1	4
11	и вовсе не	1	4
12	в конце концов	3	4
13	взятая сама по	1	4
14	в связи с	7	4
15	той или иной	1	4
16	в то же	3	4
17	сама по себе	2	4
18	имеют ничего общего	1	4
19	что же касается	1	3
20	более или менее	1	3
21	с точки зрения	20	3
22	до сих пор	8	3
23	именно то что	1	3
24	сами по себе	1	3
25	может быть и	3	3
26	во всяком случае	2	3
27	не только не	1	3
28	можно сказать что	3	3
29	в настоящее время	6	3
30	с другой стороны	5	3
31	и того же	5	2
32	в этом случае	3	2
33	в самом деле	9	2
34	так или иначе	1	2
35	как мы увидим	1	2
36	это вовсе не	1	2
37	но уже в	1	2
38	но если мы	1	2
39	так же как	2	2
40	а не только	1	2
41	сих пор мы	1	2
42	так как они	1	2
43	тем что в	1	2
44	не может быть	13	2
45	и как бы	1	2
46	с тем что	1	2
47	и в самом	1	2
48	чтобы понять его	1	2
49	одного и того	5	2
50	можно было бы	2	2
51	подобно тому как	1	2
52	его именно в	2	1
53	а между тем	1	1
54	сводится к тому	2	1
55	в данный момент	2	1
56	в чем же	2	1
57	не выходит за	1	1
58	и пр но	1	1
59	не есть вещь	1	1
60	одним и тем	1	1
61	ни к каким	1	1
62	и в первом	1	1
63	есть прежде всего	1	1
64	на первый план	2	1
65	и не существует	1	1
66	в других областях	1	1
67	а следовательно и	1	1
68	тот или иной	1	1
69	как мы сказали	1	1
70	мы не будем	3	1
71	до известной степени	1	1
72	при этом конечно	2	1
73	не знак а	1	1
74	является одним из	2	1
75	мы говорили о	2	1
76	на самом же	2	1
77	в этом отношении	3	1
78	от того чтобы	1	1
79	является кроме того	1	1
80	в основе своей	1	1
81	отчет в том	1	1
82	до наших дней	1	1
83	в процессе своего	1	1
84	все это является	1	1
85	не является только	1	1
86	связи с переходом	1	1
87	же как и	2	1
88	вообще не существует	1	1
89	и тем же	1	1
90	прежде всего как	1	1
91	но в то	2	1
92	не только в	1	1
93	языком вовсе не	1	1
94	и с точки	1	1
95	так и в	1	1
96	и должно быть	1	1
97	и есть его	1	1
98	переход от одной	1	1
99	не могут быть	2	1
100	это не значит	1	1
101	бы то ни	8	1
102	до настоящего времени	5	1
103	а не в	1	1
104	в его целом	1	1
105	связи с этим	3	1
106	не чем иным	1	1
107	не сводимую ни	1	1
108	не было бы	1	1
109	если мы возьмем	1	1
110	и художественный образ	1	1
111	оно ни было	2	1
112	таким образом в	1	1
113	чем иным как	1	1
114	чем же определяется	1	1
115	сводимую ни к	1	1
116	мы на самом	1	1
117	точки зрения самого	1	1
118	это значит что	1	1
119	ни о каком	1	1
120	выходит за пределы	1	1
121	и в результате	1	1
122	и как мы	1	1
123	в другом случае	1	1
124	что в процессе	1	1
125	как мы уже	1	1
126	к тому что	1	1
127	необходимо исходить из	1	1
128	во всех случаях	1	1
129	самом же деле	2	1
130	конечно далеко не	1	1
131	вещи и как	1	1
132	как мы видели	1	1
133	и в другом	1	1
134	но конечно далеко	1	1
