N	2gram	Savitsky_P_1	PoTuStor
1	может быть	5	17
2	и в	14	16
3	и пр	5	12
4	в этом	10	9
5	и только	1	9
6	мы можем	1	9
7	прежде всего	3	9
8	и с	2	8
9	точки зрения	3	8
10	не может	4	8
11	с его	1	7
12	не только	17	7
13	я и	3	6
14	с точки	3	6
15	и это	2	6
16	и к	4	6
17	еще не	1	5
18	как бы	4	5
19	и ее	1	4
20	и на	1	4
21	отнюдь не	2	4
22	но в	9	4
23	в этой	1	4
24	в нем	3	4
25	его в	1	4
26	мысли и	1	4
27	все это	2	4
28	с ее	1	4
29	в его	2	4
30	с ними	3	4
31	только в	7	4
32	но и	6	4
33	и не	12	4
34	хотя бы	8	4
35	отношения к	2	3
36	во всех	2	3
37	в общем	2	3
38	и есть	2	3
39	и как	3	3
40	на две	1	3
41	и теперь	1	3
42	и вот	2	3
43	на этой	1	3
44	этом смысле	1	3
45	том что	4	3
46	и притом	1	3
47	те же	1	3
48	по сравнению	2	3
49	в том	9	3
50	в большинстве	1	3
51	только на	1	3
52	большинстве случаев	1	3
53	мы знаем	1	3
54	всяком случае	1	3
55	в области	11	3
56	вместе с	1	3
57	и потому	4	3
58	сравнению с	1	3
59	могут быть	3	3
60	в основном	1	3
61	что в	4	3
62	в этих	1	3
63	а в	4	3
64	то что	4	3
65	только как	1	3
66	во всяком	1	3
67	же как	1	2
68	в самом	1	2
69	мы не	3	2
70	и о	5	2
71	говорить о	2	2
72	из этих	1	2
73	но как	1	2
74	с этим	2	2
75	что это	1	2
76	и через	1	2
77	и по	1	2
78	то же	9	2
79	связанные с	1	2
80	и мы	2	2
81	было бы	6	2
82	в жизни	2	2
83	по всему	1	2
84	в них	2	2
85	как и	1	2
86	знаем что	1	2
87	и вся	1	2
88	не менее	2	2
89	никогда не	1	2
90	пр при	1	2
91	сводится к	3	2
92	в каком	1	2
93	что оно	1	2
94	на основе	1	2
95	и этим	1	2
96	только то	1	2
97	в пределах	8	2
98	быть может	6	2
99	для этого	1	2
100	находится в	1	2
101	для нас	2	2
102	что и	1	2
103	во всей	2	2
104	мы видим	1	2
105	есть в	2	2
106	если мы	1	2
107	в начале	2	2
108	на этих	2	2
109	в душе	1	2
110	и других	2	2
111	к ним	1	2
112	что не	1	2
113	смерти но	1	2
114	в развитии	1	2
115	что мы	3	2
116	в одно	1	2
117	в частности	2	2
118	так же	1	2
119	в мир	1	2
120	к следующему	1	2
121	к другим	1	2
122	и образы	1	2
123	не есть	1	2
124	из тех	1	2
125	есть и	1	2
126	они не	1	2
127	и то	1	1
128	века в	1	1
129	что если	1	1
130	вопрос о	1	1
131	одних и	2	1
132	оно есть	1	1
133	план в	1	1
134	почти исключительно	1	1
135	конечно и	1	1
136	в ней	6	1
137	он был	1	1
138	окружающей среды	1	1
139	столь же	3	1
140	что его	1	1
141	на сторону	1	1
142	но не	3	1
143	к сожалению	1	1
144	в рамках	1	1
145	пути в	2	1
146	все же	1	1
147	хотя и	3	1
148	что по	1	1
149	к чему	2	1
150	лежат его	1	1
151	во многих	1	1
152	что было	1	1
153	главным образом	2	1
154	было с	1	1
155	есть та	1	1
156	идеи и	1	1
157	наших глазах	1	1
158	основные черты	1	1
159	от нее	1	1
160	из предшествующего	1	1
161	в мире	2	1
162	весь мир	1	1
163	могут показаться	1	1
164	для них	2	1
165	были в	1	1
166	с тем	3	1
167	мир в	1	1
168	рождается и	1	1
169	и еще	1	1
170	что есть	1	1
171	быть именно	1	1
172	к предмету	1	1
173	любовь и	1	1
174	не будем	2	1
175	исключительно на	1	1
176	творчества и	2	1
177	в философии	1	1
178	друг другу	2	1
179	государство и	1	1
180	или что	1	1
181	иной раз	1	1
182	есть прежде	1	1
183	в смысле	6	1
184	в эпоху	1	1
185	тогда когда	1	1
186	одна из	2	1
187	исторической и	1	1
188	в стадии	1	1
189	того чтобы	1	1
190	не имеет	1	1
191	на путях	4	1
192	наука и	1	1
193	и всегда	1	1
194	в отношениях	1	1
195	испытания и	2	1
196	этих двух	1	1
197	они являются	1	1
198	в ком	1	1
199	в русском	2	1
200	что жизнь	1	1
201	разрыва между	1	1
202	мы и	1	1
203	с другом	1	1
204	на экономической	1	1
205	что при	1	1
206	она не	1	1
207	как известно	1	1
208	в применении	1	1
209	в себя	1	1
210	культуры и	1	1
211	так было	1	1
212	и что	1	1
213	касается не	1	1
214	пусть в	1	1
215	методами и	1	1
216	еще в	1	1
217	если бы	4	1
218	развития в	1	1
219	и здесь	1	1
220	в порядке	3	1
221	но к	2	1
222	характер этого	1	1
223	пр в	1	1
224	говорить об	1	1
225	да в	1	1
226	не более	1	1
227	в свете	1	1
228	и мир	1	1
229	в которую	2	1
230	тот же	3	1
231	бы из	1	1
232	может оказаться	1	1
233	бы ни	2	1
234	сохранить и	1	1
235	теперь в	2	1
236	с одной	3	1
237	в качестве	9	1
238	себя в	1	1
239	оказывается в	1	1
240	уже в	1	1
241	это значение	1	1
242	веры и	1	1
243	не будут	1	1
244	как раз	2	1
245	для того	3	1
246	со стороны	2	1
247	или иной	1	1
248	с другой	5	1
249	и тех	1	1
250	и быть	1	1
251	а с	1	1
252	них и	1	1
253	одной стороны	3	1
254	а не	2	1
255	с которым	1	1
256	они быть	1	1
257	оно ни	1	1
258	в момент	1	1
259	бы оно	1	1
260	и особенно	1	1
261	из мира	1	1
262	многих случаях	1	1
263	в данном	1	1
264	он будет	1	1
265	применении к	1	1
266	из этой	1	1
267	эти силы	1	1
268	друг с	1	1
269	которые были	1	1
270	она может	1	1
271	ли они	1	1
272	в эту	2	1
273	еще более	2	1
274	мы должны	4	1
275	только что	1	1
276	же в	4	1
277	всеми его	1	1
278	нет ничего	1	1
279	в психологии	1	1
280	является и	1	1
281	взгляда на	2	1
282	из рамок	4	1
283	и жизнь	1	1
284	именно здесь	1	1
285	это в	1	1
286	как на	2	1
