N	2gram	Tiupa_Anal_2	Otkroven
1	у него	4	22
2	и в	16	19
3	но и	12	13
4	и не	12	13
5	в этом	18	12
6	человека в	1	11
7	не в	4	11
8	не только	16	11
9	может быть	6	11
10	а не	10	11
11	в нем	1	10
12	и все	3	10
13	прежде всего	3	9
14	никогда не	3	9
15	потому что	1	9
16	он был	2	8
17	и он	2	8
18	в его	2	7
19	он не	2	7
20	в глубине	1	7
21	лишь в	9	7
22	ни с	2	7
23	от него	1	7
24	как и	14	6
25	все это	4	6
26	в том	12	5
27	в самом	6	5
28	в этой	9	5
29	для него	4	5
30	о его	4	5
31	а в	3	5
32	то что	7	5
33	с его	1	4
34	все эти	1	4
35	не может	4	4
36	т е	2	4
37	человек и	1	4
38	есть лишь	1	4
39	и его	4	4
40	что в	2	4
41	только и	1	4
42	о том	7	3
43	еще не	2	3
44	к нему	1	3
45	было бы	3	3
46	того что	2	3
47	когда он	1	3
48	и ее	1	3
49	в себе	7	3
50	это было	2	3
51	это не	1	3
52	только одно	1	3
53	могут быть	10	3
54	как бы	10	3
55	с ним	2	3
56	в этих	2	3
57	хотя бы	1	3
58	все что	2	3
59	и то	3	2
60	в ее	1	2
61	этого мира	1	2
62	так и	15	2
63	его не	1	2
64	и о	1	2
65	по себе	2	2
66	и на	6	2
67	совсем не	1	2
68	строе жизни	1	2
69	не все	1	2
70	что и	3	2
71	в своем	4	2
72	сразу же	1	2
73	и к	5	2
74	и потому	1	2
75	при чтении	1	2
76	в которой	1	2
77	в уста	1	2
78	он в	4	2
79	так что	3	2
80	уже в	1	2
81	с чем	1	2
82	одно из	2	2
83	ведь это	2	2
84	так как	1	2
85	тем что	3	2
86	в другом	1	2
87	и из	1	2
88	его в	2	2
89	сказать что	2	2
90	было для	1	2
91	личности и	2	2
92	для человека	1	2
93	том что	12	2
94	ко всем	1	2
95	к этому	2	2
96	что же	1	2
97	и там	1	2
98	человек всегда	1	2
99	только бога	1	2
100	не имеет	2	2
101	и для	2	2
102	ничего не	9	2
103	не есть	2	2
104	в своей	2	2
105	что все	2	2
106	всего в	2	2
107	к этой	1	2
108	хотя и	4	2
109	ее в	1	2
110	но в	6	2
111	о судьбе	1	1
112	им для	1	1
113	строе этого	1	1
114	отношения к	2	1
115	также и	1	1
116	в виду	1	1
117	совершенно новый	1	1
118	могут и	1	1
119	характер и	1	1
120	тем же	1	1
121	между двумя	4	1
122	к другому	1	1
123	и до	2	1
124	рассудка и	1	1
125	и больше	1	1
126	природе своей	2	1
127	и рассудок	1	1
128	можно было	3	1
129	не с	4	1
130	есть не	1	1
131	по природе	2	1
132	собой в	2	1
133	в борьбе	2	1
134	связан с	1	1
135	если бы	3	1
136	в сущности	4	1
137	не вполне	1	1
138	о нем	1	1
139	был например	1	1
140	но к	1	1
141	судьба человека	1	1
142	последней глубине	1	1
143	на примере	1	1
144	и что	1	1
145	все его	1	1
146	это была	1	1
147	там и	1	1
148	во внешнем	1	1
149	каждом из	1	1
150	самом деле	1	1
151	в которую	1	1
152	иных случаях	1	1
153	но не	4	1
154	то он	1	1
155	и всякий	1	1
156	нуждается в	1	1
157	себе и	1	1
158	чем и	2	1
159	это лишь	1	1
160	вообще и	2	1
161	и я	2	1
162	в центре	3	1
163	в том-то	1	1
164	так для	1	1
165	как в	4	1
166	в частности	16	1
167	один из	2	1
168	на человека	1	1
169	и как	1	1
170	дается в	1	1
171	с ними	3	1
172	ли он	1	1
173	самом начале	3	1
174	жизни есть	1	1
175	и после	1	1
176	который в	1	1
177	светом и	1	1
178	бы и	1	1
179	между этими	1	1
180	представляет собой	8	1
181	отмечали что	1	1
182	не оставляет	1	1
183	человека с	1	1
184	же и	1	1
185	с их	2	1
186	но о	1	1
187	уже не	4	1
188	на то	2	1
189	что она	2	1
190	бы от	1	1
191	на этих	1	1
192	да и	1	1
193	речи и	2	1
194	из них	3	1
195	его и	1	1
196	от которого	2	1
197	ключ к	3	1
198	к одному	1	1
199	всегда оказывается	1	1
200	в силу	1	1
201	в одном	2	1
