N	4gram	Tiupa_Lite_1	Hudozhes
1	в то же время	5	4
2	только в том что	2	2
3	состоит в том что	4	2
4	дело не только в	2	2
5	не только в том	2	2
6	не байрон я другой	2	1
7	но бросил имеет в	1	1
8	в москве два дома	1	1
9	существование держится на тайне	1	1
10	стать самим собою без	1	1
11	самим собою без другого	1	1
12	в частной опере но	1	1
13	когда-то петь в частной	1	1
14	частной опере но бросил	1	1
15	филолог но служит в	1	1
16	дело в том что	2	1
17	личное существование держится на	1	1
18	нет я не байрон	2	1
19	я не байрон я	2	1
20	но служит в банке	1	1
21	бросил имеет в москве	1	1
22	по образованию филолог но	1	1
23	опере но бросил имеет	1	1
24	образованию филолог но служит	1	1
25	петь в частной опере	1	1
26	готовился когда-то петь в	1	1
27	не несет в себе	1	1
28	все более и более	1	1
29	каждое личное существование держится	1	1
30	имеет в москве два	1	1
