N	3gram	Potebnia_M_2	RusskieA
1	в том что	7	18
2	состоит в том	1	13
3	в этом случае	1	6
4	для того чтобы	2	6
5	и т д	3	5
6	вместе с тем	1	4
7	и в других	1	4
8	о том что	1	4
9	мы видели что	1	4
10	в отличие от	1	3
11	не может быть	2	3
12	подобно тому как	4	3
13	только тогда когда	2	3
14	тем не менее	5	2
15	во многих случаях	1	2
16	тому как в	1	2
17	может быть только	1	2
18	в том чтобы	1	2
19	мы не можем	3	2
20	в то время	4	2
21	в таком виде	1	2
22	после того как	2	2
23	с одной стороны	3	2
24	а между тем	4	1
25	с этим связано	1	1
26	потому что в	1	1
27	но так как	1	1
28	более или менее	8	1
29	с одним из	1	1
30	о том как	1	1
31	и во многих	1	1
32	связи с другими	1	1
33	же значение что	1	1
34	и то и	1	1
35	во многих других	1	1
36	это для нас	1	1
37	на ней в	1	1
38	между тем как	2	1
39	таким образом в	2	1
40	то что в	2	1
41	что в некоторых	1	1
42	из того что	1	1
43	состоит не в	2	1
44	но это не	1	1
45	также что в	1	1
46	можно найти в	1	1
47	в применении к	1	1
48	может быть не	3	1
49	во всяком случае	7	1
50	смысле этого слова	3	1
51	так как это	1	1
52	в некоторых случаях	2	1
53	и в этом	1	1
54	во всех этих	1	1
55	то время как	3	1
56	очевидно что и	1	1
57	дело в том	1	1
58	с другой стороны	2	1
59	на этом основании	1	1
60	можно заключить что	1	1
61	и в таком	1	1
62	далеко не все	1	1
63	быть не только	1	1
64	именно тогда когда	1	1
65	то же значение	1	1
66	в свою очередь	6	1
67	во всем этом	2	1
68	один из них	1	1
69	не только на	1	1
70	или же в	1	1
71	что его окружает	1	1
72	на то что	3	1
73	вопрос о том	1	1
74	каждый из этих	1	1
75	но не только	1	1
76	как и в	1	1
77	вне связи с	1	1
