N	2gram	Savitsky_E_1	Myshleni
1	и в	37	28
2	в том	11	28
3	то что	6	28
4	в этом	12	27
5	в развитии	2	24
6	того что	7	24
7	потому что	3	22
8	том что	6	19
9	не может	9	19
10	таким образом	2	18
11	только в	9	18
12	в силу	2	17
13	что в	21	17
14	не только	18	16
15	по сравнению	2	15
16	так же	9	15
17	сравнению с	2	14
18	точки зрения	23	13
19	может быть	6	13
20	сказать что	4	13
21	в сфере	3	12
22	тому что	1	11
23	и не	14	11
24	что мы	1	11
25	как бы	6	11
26	но не	5	10
27	по отношению	1	10
28	отношений между	2	10
29	с точки	17	10
30	в отношении	32	10
31	того чтобы	6	10
32	к тому	8	10
33	как мы	5	10
34	так как	7	10
35	от того	1	10
36	но и	14	10
37	могли бы	1	9
38	было бы	8	9
39	в процессе	4	9
40	мы можем	3	9
41	между собой	2	9
42	в самом	4	8
43	мы видели	3	8
44	тем самым	5	8
45	никогда не	3	8
46	тем что	3	8
47	для того	6	8
48	как известно	1	7
49	того же	3	7
50	то же	15	7
51	в своем	14	7
52	он не	2	7
53	в нем	1	7
54	заключается в	2	7
55	можно было	3	7
56	если бы	2	7
57	мы видим	2	7
58	и других	2	7
59	там где	3	7
60	вместе с	2	7
61	что оно	1	7
62	между ними	2	7
63	же как	5	6
64	мы не	4	6
65	и как	2	6
66	и к	3	6
67	как и	7	6
68	для него	1	6
69	не имеет	4	6
70	тогда когда	2	6
71	когда мы	1	6
72	то время	1	6
73	так и	10	6
74	и что	2	6
75	можно сказать	4	6
76	в области	11	6
77	вообще не	3	6
78	в то	16	6
79	том же	1	5
80	вопрос о	4	5
81	время как	1	5
82	из того	2	5
83	и на	6	5
84	но в	14	5
85	то в	4	5
86	в этой	2	5
87	что все	2	5
88	и тем	3	5
89	с тем	3	5
90	в разных	1	5
91	с другом	3	5
92	не могут	2	5
93	могут быть	2	5
94	для развития	1	5
95	в пределах	25	5
96	тех и	1	5
97	друг с	3	5
98	и все	2	5
99	по самой	1	5
100	например в	1	4
101	и то	2	4
102	той же	1	4
103	в каждой	1	4
104	во всех	6	4
105	только тогда	1	4
106	относится к	1	4
107	в одной	1	4
108	в той	5	4
109	с этим	2	4
110	целый ряд	2	4
111	в себе	9	4
112	в нашем	1	4
113	на то	6	4
114	своем развитии	1	4
115	на этом	1	4
116	к другу	1	4
117	и того	2	4
118	одного и	1	4
119	но если	5	4
120	установить что	1	4
121	не в	5	4
122	нас к	2	4
123	в сознании	1	4
124	что на	2	4
125	оно не	1	4
126	что при	1	4
127	своего развития	1	4
128	на основе	2	4
129	как по	1	4
130	связь между	1	4
131	что и	3	4
132	именно в	4	4
133	в качестве	14	4
134	мы знаем	1	4
135	которые в	1	4
136	в состоянии	1	4
137	на этот	2	4
138	и следовательно	1	4
139	в частности	5	4
140	ко всем	1	4
141	к жизни	1	4
142	не обнаруживают	1	4
143	ту же	1	3
144	с его	1	3
145	друг к	1	3
146	видели что	1	3
147	очевидно что	3	3
148	значение для	1	3
