N	2gram	Vygotskiy__5	StatiiOP
1	и в	16	25
2	в этом	25	24
3	в том	18	20
4	что он	25	19
5	может быть	9	19
6	тем что	5	19
7	что в	16	19
8	что это	1	16
9	том что	15	15
10	в этой	6	14
11	не только	16	12
12	в его	11	12
13	то что	26	12
14	в этих	3	11
15	так что	4	11
16	таким образом	19	10
17	прежде всего	3	10
18	и не	12	10
19	у него	6	9
20	но и	6	9
21	все это	2	8
22	о том	8	8
23	как например	1	8
24	это было	1	8
25	в своих	2	8
26	из его	1	7
27	с этим	3	7
28	это не	4	7
29	было бы	10	7
30	в то	5	7
31	не может	18	7
32	точки зрения	18	7
33	место в	1	6
34	и на	6	6
35	как в	5	6
36	не в	6	6
37	между тем	3	6
38	только в	10	6
39	в конце	1	6
40	в области	12	6
41	как бы	5	6
42	а в	3	6
43	как на	3	6
44	отношения между	3	5
45	то же	8	5
46	ответ на	3	5
47	то обстоятельство	2	5
48	независимо от	1	5
49	говорит что	5	5
50	но в	6	5
51	на то	1	5
52	он не	8	5
53	об этом	1	5
54	говорил что	1	5
55	ни в	1	5
56	мы имеем	1	5
57	в котором	2	5
58	потому что	21	5
59	обстоятельство что	2	5
60	и это	1	5
61	так и	7	5
62	он говорил	1	5
63	в них	2	5
64	с другой	4	5
65	а не	10	5
66	того что	16	5
67	другой стороны	2	5
68	например в	1	4
69	что эти	2	4
70	в которой	5	4
71	время как	4	4
72	из которых	3	4
73	в чем	3	4
74	точка зрения	8	4
75	в общем	1	4
76	относится к	1	4
77	в центре	2	4
78	все же	3	4
79	не было	1	4
80	и к	2	4
81	то в	3	4
82	в целом	4	4
83	на его	2	4
84	состоит в	6	4
85	в каждом	1	4
86	лишь в	1	4
87	на протяжении	2	4
88	этом смысле	1	4
89	и тем	3	4
90	в жизни	2	4
91	с тем	3	4
92	как и	8	4
93	у нас	2	4
94	с точки	9	4
95	ничего не	5	4
96	к ней	1	4
97	этом отношении	5	4
98	в каком	1	4
99	связана с	1	4
100	отличается от	1	4
101	в ней	2	4
102	и с	3	4
103	если бы	8	4
104	можно сказать	5	4
105	к нему	3	4
106	мы видим	4	4
107	в качестве	4	4
108	в начале	1	4
109	всяком случае	1	4
110	отношение к	11	4
111	то время	4	4
112	в речи	1	4
113	связь с	1	4
114	он говорит	1	4
115	это есть	4	4
116	в смысле	3	4
117	и для	1	4
118	в отдельных	1	4
119	но это	3	4
120	сказать что	13	4
121	была бы	1	4
122	в своей	2	4
123	из этого	2	4
124	это в	1	4
125	во всяком	2	4
126	говорить о	3	3
127	он был	1	3
128	с его	1	3
129	кроме того	1	3
130	и наконец	1	3
131	все эти	4	3
132	на этом	3	3
133	от нее	1	3
134	что этот	1	3
135	в другом	6	3
136	о которых	1	3
137	показывает что	5	3
138	несмотря на	1	3
139	в их	3	3
140	что я	2	3
