N	3gram	Bakhtin_Fr_3	Analitik
1	не может быть	2	16
2	в том что	1	9
3	в то же	6	8
4	в том чтобы	1	7
5	в отличие от	3	6
6	то же время	6	6
7	той или иной	2	6
8	что иное как	1	5
9	по отношению к	2	5
10	большей или меньшей	3	4
11	с точки зрения	1	4
12	и не может	1	4
13	но и не	1	4
14	не что иное	1	4
15	о том что	2	3
16	в той или	2	3
17	подобно тому как	1	3
18	в том числе	3	3
19	бы то ни	1	3
20	для того чтобы	3	3
21	то ни было	1	3
22	есть не что	1	3
23	при встрече с	1	2
24	нет и не	1	2
25	но и в	2	2
26	в этом отношении	2	2
27	в основе своей	1	2
28	в данном случае	2	2
29	в первом случае	1	2
30	но в то	4	2
31	с другой стороны	1	2
32	какой бы то	1	2
33	в свое время	1	2
34	тех или иных	1	2
35	в отрыве от	1	2
36	как и его	1	1
37	но и самого	1	1
38	и в сущности	1	1
39	оно может быть	1	1
40	и той же	2	1
41	этот сокровенный смысл	1	1
42	имеем в виду	1	1
43	а не так	1	1
44	также и в	1	1
45	о том как	1	1
46	же время он	1	1
47	как раз и	1	1
48	до сих пор	4	1
49	как мы увидим	1	1
50	между тем как	1	1
51	в собственном смысле	1	1
52	том числе и	2	1
53	особый тип общения	1	1
54	ему и не	1	1
55	и в частности	1	1
56	не подлежит никакому	2	1
57	в этой части	1	1
58	все эти три	1	1
59	дело не с	1	1
60	смысле этого слова	1	1
61	в свою очередь	1	1
62	как будто бы	1	1
63	наконец в качестве	1	1
64	же время оно	1	1
65	в большей или	2	1
66	или меньшей степени	2	1
67	или иной форме	1	1
68	прежде всего в	1	1
69	во всяком случае	1	1
70	включает в себя	1	1
71	встречаемся с ним	1	1
72	стороны одной и	1	1
73	в той же	4	1
74	и вместе с	1	1
75	аналогичное но в	1	1
76	и в самом	1	1
77	или во всяком	1	1
78	мы имеем в	1	1
79	во втором случае	1	1
80	в связи с	4	1
81	одной и той	2	1
82	в области литературы	1	1
83	мы встречаемся с	1	1
84	всего может быть	1	1
85	как и в	2	1
86	и состоит что	1	1
87	не так как	1	1
88	в том же	2	1
