N	3gram	Tiupa_Anal_3	Problemy
1	с точки зрения	2	9
2	до сих пор	1	8
3	не может быть	1	8
4	в большинстве случаев	1	8
5	по отношению к	7	5
6	то же время	3	5
7	в то же	3	5
8	в самом деле	1	4
9	то есть в	1	4
10	к себе самому	1	3
11	в одном слове	1	3
12	в отличие от	2	3
13	с самим собою	1	3
14	сам по себе	1	3
15	с другой стороны	5	3
16	как бы в	1	3
17	о себе самом	1	3
18	как и в	4	3
19	и в сущности	1	2
20	по себе еще	1	2
21	хотя и не	1	2
22	по своей природе	1	2
23	дело в том	2	2
24	из этих трех	1	2
25	как нам кажется	2	2
26	в этом смысле	1	2
27	слово здесь двуголосое	1	2
28	на этот вопрос	1	2
29	в том что	7	2
30	как если бы	1	2
31	о том что	5	2
32	то есть от	1	2
33	в свое время	2	2
34	можно сказать что	2	2
35	да еще и	1	2
36	в одном из	1	2
37	той или иной	3	2
38	сама по себе	2	2
39	себе еще не	1	2
40	если бы он	1	1
41	в той или	1	1
42	противопоставлены в произведении	1	1
43	с этим можно	1	1
44	и так сказать	1	1
45	определенных языковых стилей	1	1
46	том что он	2	1
47	а между тем	1	1
48	в этом случае	1	1
49	что могло бы	1	1
50	замысла в слове	1	1
51	они сопоставлены или	1	1
52	хотя бы и	1	1
53	под каким диалогическим	1	1
54	этих трех случаев	1	1
55	наличии определенных языковых	1	1
56	каким диалогическим углом	1	1
57	одна из существеннейших	1	1
58	и т.п все	1	1
59	между тем как	1	1
60	ведь это не	1	1
61	не менее чем	1	1
62	в самом наличии	1	1
63	в соответствии со	2	1
64	из уст в	1	1
65	но дело в	1	1
66	лишь в одном	1	1
67	личности и его	1	1
68	в значительной степени	2	1
69	не в самом	2	1
70	в данном случае	3	1
71	в том под	1	1
72	стилей социальных диалектов	1	1
73	оно никогда не	1	1
74	с одной стороны	2	1
75	уже в доме	1	1
76	так или иначе	1	1
77	и в сюжете	1	1
78	в связи с	1	1
79	а не как	1	1
80	не только к	2	1
81	языковых стилей социальных	1	1
82	главного героя и	1	1
83	к тому же	3	1
84	во всяком случае	2	1
85	уст в уста	1	1
86	себя самого все	1	1
87	и побуждает его	1	1
88	у шекспира и	1	1
89	как бы не	1	1
90	том под каким	1	1
91	рассказчика слово здесь	1	1
92	в слове рассказчика	1	1
93	здесь не только	1	1
94	слове рассказчика слово	1	1
95	авторского замысла в	1	1
96	но они не	1	1
97	так и в	1	1
98	сопоставлены или противопоставлены	1	1
99	или противопоставлены в	1	1
100	и т.п в	1	1
101	то что не	1	1
102	преломление авторского замысла	1	1
103	в пределах одной	1	1
104	каждом из этих	1	1
105	не только в	1	1
106	самом наличии определенных	1	1
107	они как бы	1	1
108	друг от друга	1	1
109	что он ничего	1	1
110	в художественном мире	1	1
111	в каждом из	1	1
112	углом они сопоставлены	1	1
113	дело не в	1	1
114	диалогическим углом они	1	1
115	молодого человека в	1	1
116	лицом к лицу	1	1
117	и к себе	1	1
118	бы он и	1	1
