N	3gram	Propp_Isto_4	TeoriaLi
1	в данном случае	3	5
2	с другой стороны	4	3
3	тем не менее	2	3
4	можно сказать что	1	3
5	но он не	1	2
6	тогда как в	1	2
7	не могло быть	1	2
8	и то же	1	2
9	одно и то	1	2
10	то что они	1	2
11	и тем самым	1	2
12	и в форме	1	2
13	не может быть	4	2
14	как и в	1	2
15	мы видим в	1	1
16	а в его	1	1
17	в виду не	1	1
18	подобно тому как	1	1
19	в том числе	1	1
20	в этом случае	3	1
21	в таких случаях	2	1
22	в иных случаях	1	1
23	что он не	1	1
24	его с собой	1	1
25	точно так же	5	1
26	между собой и	1	1
27	в основе своей	1	1
28	и др в	1	1
29	может быть и	1	1
30	между ним и	1	1
31	об этом так	1	1
32	содержит в себе	2	1
33	здесь мы имеем	1	1
34	в чем состоит	1	1
35	таким образом и	1	1
36	по большей части	1	1
37	не могут быть	1	1
38	таким же образом	1	1
39	это своего рода	1	1
40	в связи с	2	1
41	а в другом	1	1
42	так же как	12	1
43	ни к каким	1	1
44	в то время	1	1
45	в одном случае	3	1
46	это и есть	1	1
47	о том что	2	1
48	мы имеем в	2	1
49	в этих случаях	7	1
50	в большинстве случаев	1	1
51	указывает на его	1	1
52	не говорит что	1	1
