N	2gram	Tiupa_Lite_3	Tvorches
1	и в	16	20
2	в году	5	16
3	в романе	3	15
4	и т	1	13
5	не только	14	13
6	никогда не	4	11
7	как бы	8	11
8	в то	9	10
9	в его	6	10
10	и его	6	9
11	и не	22	9
12	при этом	15	8
13	и с	2	8
14	в том	12	8
15	может быть	12	8
16	в этом	14	8
17	прежде всего	3	8
18	но и	14	8
19	то же	9	7
20	это не	5	7
21	же время	7	7
22	потому что	3	7
23	не может	8	7
24	xix века	2	7
25	что в	2	7
26	в целом	5	6
27	как и	5	6
28	в своей	7	6
29	что он	5	6
30	так и	9	6
31	в конце	2	6
32	у него	1	6
33	в бытовой	1	6
34	именно в	5	6
35	а не	12	6
36	все это	1	6
37	например в	3	5
38	еще не	6	5
39	и на	2	5
40	но не	4	5
41	все же	2	5
42	героев достоевского	1	5
43	в этой	8	5
44	и сам	2	5
45	в творческом	2	5
46	в мире	16	5
47	то есть	5	5
48	о том	6	5
49	и даже	2	5
50	но это	1	5
51	читателя в	1	5
52	так же	2	5
53	что они	1	4
54	отнюдь не	3	4
55	как в	5	4
56	хотя и	4	4
57	когда он	2	4
58	но в	3	4
59	за собой	1	4
60	не в	10	4
61	на его	3	4
62	в принципе	2	4
63	что у	2	4
64	соответствии с	5	4
65	если бы	2	4
66	тем самым	7	4
67	а а	1	4
68	литературной традиции	2	4
69	в чем	1	4
70	в лице	2	4
71	творческого процесса	1	4
72	а в	5	4
73	в соответствии	3	4
74	если не	2	4
75	и потому	2	4
76	и от	1	4
77	том что	8	4
78	одним из	4	3
79	по мнению	1	3
80	х годов	15	3
81	он сам	1	3
82	а с	1	3
83	по отношению	4	3
84	тогда как	17	3
85	по сути	1	3
86	отношению к	4	3
87	в себе	6	3
88	с чувством	2	3
89	в нем	2	3
90	он не	1	3
91	человека в	2	3
92	а затем	3	3
93	традиции и	1	3
94	его в	2	3
95	но уже	3	3
96	в самом	3	3
97	в котором	1	3
98	в их	1	3
99	место в	4	3
100	своего рода	10	3
101	тем что	2	3
102	быть может	2	3
103	между тем	3	3
104	романа и	2	3
105	уже не	3	3
106	в начале	4	3
107	для него	2	3
108	так как	1	3
109	то что	12	3
110	как у	4	3
111	что не	2	3
112	превращается в	1	3
113	жить без	1	3
114	в свете	1	3
115	xx века	1	3
116	вместе с	5	3
117	с этой	2	3
118	нет ничего	1	3
119	один из	2	3
120	жизни в	4	3
121	одной из	1	3
122	в своих	2	3
123	к этому	2	3
124	в таком	1	3
125	как известно	1	2
126	начинается с	1	2
127	самом деле	3	2
128	от этой	1	2
129	и есть	1	2
130	по преимуществу	1	2
131	говорить о	1	2
132	со своими	2	2
133	я не	2	2
134	и он	1	2
135	в xix	1	2
136	как правило	1	2
137	в ее	5	2
138	нет и	1	2
139	так что	1	2
140	в истории	1	2
141	и наконец	3	2
142	в этот	1	2
143	для которого	3	2
144	бы не	1	2
145	очень важным	1	2
146	т п	1	2
147	особое место	2	2
148	тому же	5	2
149	герой романа	1	2
150	так сказать	1	2
151	и если	4	2
152	наш взгляд	1	2
153	при виде	1	2
154	едва ли	3	2
155	на наш	1	2
156	по словам	1	2
157	к героям	1	2
158	и еще	1	2
159	не столько	1	2
160	в отличие	5	2
161	что я	5	2
162	одном из	2	2
163	права на	1	2
164	в устах	1	2
165	между людьми	2	2
166	не менее	2	2
167	как о	2	2
168	в процессе	1	2
169	в русской	1	2
170	а во	1	2
171	другой стороны	2	2
172	xix веке	1	2
173	целом и	2	2
174	у нас	2	2
175	и далее	1	2
176	личности в	3	2
177	ли не	1	2
178	части романа	3	2
179	более не	1	2
180	так в	1	2
181	он писал	1	2
182	познания и	1	2
183	чтобы вызвать	1	2
184	восходит к	1	2
185	в литературной	1	2
186	и только	2	2
187	в ту	2	2
188	все время	3	2
189	в литературе	1	2
190	не случайно	3	2
191	с ними	2	2
192	только в	7	2
193	в стороне	1	2
194	и ее	2	2
195	себя в	7	2
196	человеческой личности	1	2
197	и у	1	2
198	уже в	1	2
199	или даже	1	2
200	и других	1	2
201	из них	4	2
202	в одном	4	2
203	вовсе не	1	2
204	отходит от	1	2
205	друг друга	1	2
206	отличие от	5	2
207	с другой	6	2
208	не было	1	2
209	на этот	1	2
210	не означает	2	2
211	в частности	11	2
212	начиная с	1	2
213	к жизни	2	2
214	в россии	1	2
215	в первой	2	2
216	человеческой культуры	1	2
217	только для	3	2
218	и тогда	2	2
219	более того	3	2
220	это уже	1	2
221	себя на	1	2
222	в основе	5	2
223	ни к	3	2
224	с другими	1	2
225	это все	1	2
226	героя и	1	2
227	из этого	1	2
228	а я	3	2
229	в искусстве	1	2
230	по причине	1	2
231	года после	1	1
232	не всех	1	1
233	каким его	1	1
234	человечества о	1	1
235	в личностном	1	1
236	художественного произведения	2	1
237	с кем	1	1
238	отметим что	1	1
239	это и	1	1
240	в среду	1	1
241	перед лицом	4	1
242	в первом	2	1
243	бахтин а	1	1
244	из его	1	1
245	века в	1	1
246	и за	1	1
247	приходит к	1	1
248	мы уже	1	1
249	той же	3	1
250	бы уже	1	1
251	из своих	1	1
252	если герой	1	1
253	этом не	1	1
254	автора так	1	1
255	жизненной позиции	1	1
256	не вполне	2	1
257	на себя	2	1
258	эпохи в	1	1
259	как я	1	1
260	мы и	2	1
261	то это	2	1
262	личности с	3	1
263	предстает как	2	1
264	свою очередь	1	1
265	это наблюдение	1	1
266	он был	1	1
267	быть в	1	1
268	с его	6	1
269	во всех	2	1
270	в создании	1	1
271	и и	1	1
272	отказ от	2	1
273	о смерти	1	1
274	к которой	1	1
275	в противовес	7	1
276	с присущей	1	1
277	сознания не	1	1
278	если в	1	1
279	искусство в	2	1
280	за их	2	1
281	нужно быть	1	1
282	в жизни	8	1
283	отношение к	2	1
284	значение имеет	1	1
285	вмешивается в	1	1
286	и эстетического	1	1
287	сама жизнь	1	1
288	оказывается не	2	1
289	в рамках	4	1
290	общего с	1	1
291	с этим	1	1
292	традиции к	2	1
293	однако не	3	1
294	перед нами	1	1
295	и как	3	1
296	я должен	1	1
297	и к	3	1
298	в противоположность	2	1
299	еще на	2	1
300	от бога	1	1
301	представляет собой	2	1
302	романа это	1	1
303	что автор	1	1
304	от фигуры	1	1
305	и до	1	1
306	мы чувствуем	1	1
307	после чего	1	1
308	на то	2	1
309	к эстетическому	1	1
310	в случае	2	1
311	действительную жизнь	2	1
312	мысли и	1	1
313	о которой	2	1
314	и эти	1	1
315	в первую	1	1
316	не к	1	1
317	такого человека	1	1
318	в силу	1	1
319	и вот	2	1
320	на свое	2	1
321	на жизнь	2	1
322	я с	3	1
323	жить в	1	1
324	разочарованием в	1	1
325	в каждом	1	1
326	в работе	2	1
327	значение в	1	1
328	в глубине	2	1
329	а по	2	1
330	мыслится как	3	1
331	входит в	4	1
332	первую очередь	1	1
333	которого не	1	1
334	его личности	1	1
335	в глазах	3	1
336	смотреть на	1	1
337	понял что	1	1
338	с прошлым	1	1
339	было бы	2	1
340	по себе	2	1
341	отказа от	1	1
342	в них	1	1
343	нет в	1	1
344	свете есть	1	1
345	и четко	1	1
346	несмотря на	2	1
347	и читателем	1	1
348	принцип организации	1	1
349	жизни но	1	1
350	ведет к	1	1
351	должно быть	4	1
352	как порождение	1	1
353	для своих	1	1
354	остается в	1	1
355	в этих	1	1
356	о ком	1	1
357	в г	3	1
358	во время	1	1
359	за свою	1	1
360	жизнь не	1	1
361	в ходе	1	1
362	от своего	1	1
363	этой связи	1	1
364	от боли	1	1
365	самого в	1	1
366	прибегает к	1	1
367	всякий раз	2	1
368	и о	1	1
369	жизни начинает	1	1
370	в трудах	1	1
371	такую же	1	1
372	но он	1	1
373	была не	1	1
374	и более	1	1
375	произведения в	3	1
376	однако в	4	1
377	в таких	1	1
378	возвращается к	1	1
379	даже в	4	1
380	сам он	1	1
381	нас к	2	1
382	тому что	1	1
383	содержит в	1	1
384	автора и	2	1
385	по мере	1	1
386	вплоть до	2	1
387	для меня	2	1
388	она не	1	1
389	определяющая черта	1	1
390	текста и	2	1
391	он с	1	1
392	мышления и	1	1
393	не имеет	1	1
394	шел в	1	1
395	вопрос не	1	1
396	самой жизни	1	1
397	пойдет о	1	1
398	жизни не	2	1
399	к поэзии	1	1
400	й части	1	1
401	записывает в	2	1
402	поэт и	1	1
403	и является	1	1
404	присутствие в	1	1
405	жизни как	2	1
406	мире и	1	1
407	нужна была	1	1
408	не мыслил	1	1
409	не столь	1	1
410	соотносится с	1	1
411	как будто	4	1
412	в области	3	1
413	ему не	1	1
414	и со	1	1
415	апеллирует к	1	1
416	у меня	1	1
417	свое собственное	1	1
418	который весь	1	1
419	без внимания	1	1
420	стороны и	2	1
421	к себе	8	1
422	будущее в	1	1
423	как только	1	1
424	числе и	2	1
425	сходство с	1	1
426	как личность	1	1
427	на читателя	1	1
428	лирическим героем	2	1
429	к тому	6	1
430	той или	2	1
431	к истокам	1	1
432	говоря словами	3	1
433	однако по	1	1
434	ничего общего	1	1
435	для себя	2	1
436	на наших	1	1
437	я тебя	1	1
438	очень точно	1	1
439	именно эту	1	1
440	как мы	2	1
441	но при	1	1
442	восприятие художественного	1	1
443	что однако	1	1
444	не с	2	1
445	и умирает	1	1
446	с собой	1	1
447	еще в	3	1
448	она была	1	1
449	во второй	2	1
450	том как	1	1
451	жизнь и	1	1
452	был не	1	1
453	и всякого	1	1
454	но отнюдь	1	1
455	в виду	1	1
456	о нем	2	1
457	вырождается и	1	1
458	другом месте	1	1
459	в другом	6	1
460	на вопрос	1	1
461	в поэзии	5	1
462	столь же	1	1
463	приобретает трагическую	1	1
464	одного из	2	1
465	с одной	4	1
466	лишь в	5	1
467	во имя	1	1
468	как было	1	1
469	на точку	1	1
470	в конечном	1	1
471	от автора	1	1
472	русской литературы	2	1
473	и требует	1	1
474	самым его	1	1
475	спектр этого	1	1
476	непосредственно в	1	1
477	в середине	1	1
478	в художественной	1	1
479	какой-то мере	1	1
480	от иных	1	1
481	не знаю	2	1
482	при котором	1	1
483	и мир	1	1
484	в жизнь	4	1
485	его собственная	1	1
486	и одновременно	2	1
487	в тексте	4	1
488	нуждается в	1	1
489	глубокие изменения	1	1
490	не зная	1	1
491	то в	3	1
492	может оказаться	1	1
493	а лишь	2	1
494	который в	1	1
495	в обществе	1	1
496	не выше	1	1
497	том чтобы	2	1
498	связи с	2	1
499	переходит в	1	1
500	социального функционирования	1	1
501	к богу	1	1
502	за свой	2	1
503	по выражению	1	1
504	конечном счете	1	1
505	не стал	1	1
506	который по	1	1
507	свой собственный	1	1
508	был бы	1	1
509	и их	1	1
510	руки и	1	1
511	религиозного искусства	1	1
512	при всей	1	1
513	бытия и	1	1
514	индивидуальном сознании	1	1
515	как раз	2	1
516	явно не	1	1
517	не просто	1	1
518	автора как	1	1
519	следует признать	2	1
520	в какой-то	1	1
521	что и	2	1
522	со стороны	7	1
523	или иной	2	1
524	даже не	1	1
525	влияние на	1	1
526	новый мир	1	1
527	его с	1	1
528	для людей	1	1
529	что для	1	1
530	его из	1	1
531	связано с	1	1
532	а сам	1	1
533	выше и	2	1
534	сам себе	1	1
535	как ни	1	1
536	и я	1	1
537	художественного целого	1	1
538	в связи	1	1
539	на фоне	1	1
540	и она	1	1
541	эти слова	2	1
542	и а	3	1
543	но кто	1	1
544	как это	3	1
545	нет ни	1	1
546	власть над	1	1
547	для искусства	1	1
548	может как	1	1
549	целом ряде	1	1
550	что за	1	1
551	такого рода	10	1
552	году он	1	1
553	самого себя	1	1
554	и возможностей	1	1
555	о соотношении	1	1
556	человек с	2	1
557	на свете	2	1
558	герой в	2	1
559	до читателя	1	1
560	автором и	2	1
561	ней в	1	1
562	общественной жизни	1	1
563	литературы под	1	1
564	в самую	1	1
565	характерные для	1	1
566	под знаком	2	1
567	это явление	1	1
568	писал в	1	1
569	под названием	1	1
570	в книге	1	1
571	этот образ	1	1
572	глубине души	1	1
573	и для	4	1
574	читателя и	2	1
575	объекта и	2	1
576	всего произведения	1	1
577	своего права	1	1
578	и человек	1	1
579	это как	3	1
580	человек и	1	1
581	себя самого	1	1
582	для нас	1	1
583	еще более	1	1
584	не должен	1	1
585	вообще в	1	1
586	в сердце	1	1
587	будто бы	1	1
588	отношении к	1	1
589	не есть	1	1
590	страсть к	1	1
591	может и	1	1
592	я говорю	2	1
593	в свою	2	1
594	с ней	2	1
595	не знает	2	1
596	сказать что	1	1
597	была бы	1	1
598	совершенно не	3	1
599	от собственной	1	1
600	в последнем	1	1
601	между автором	1	1
602	от романтической	1	1
603	к другим	1	1
604	упоминаний о	1	1
605	того времени	1	1
606	нас не	1	1
607	как на	3	1
608	том числе	3	1
