N	3gram	Bakhtin_Fr_6	Russkaja
1	то же время	5	10
2	в то же	5	10
3	с точки зрения	2	9
4	в том что	2	7
5	для того чтобы	1	6
6	до сих пор	3	5
7	более или менее	1	4
8	быть самим собой	1	4
9	не может быть	1	4
10	в лучшем случае	1	3
11	вместе с тем	1	3
12	и то что	2	3
13	в данном случае	2	3
14	в конце концов	1	3
15	той или иной	1	3
16	в настоящее время	1	2
17	в себе и	1	2
18	тогда когда они	1	2
19	с самим собой	1	2
20	в значительной мере	1	2
21	в самом себе	1	2
22	по самому своему	1	2
23	о том что	5	2
24	быть самими собой	1	2
25	в большинстве случаев	4	2
26	в другом месте	4	1
27	и того же	1	1
28	никогда не было	1	1
29	в начале этой	1	1
30	дело в том	1	1
31	по отношению к	1	1
32	в самом деле	4	1
33	в этой роли	2	1
34	также как и	1	1
35	и не только	1	1
36	со спокойной совестью	1	1
37	их в самом	1	1
38	что он может	1	1
39	до известной степени	1	1
40	говорили в другом	1	1
41	лишь тогда когда	1	1
42	это значило бы	1	1
43	с ним в	1	1
44	только то что	1	1
45	в этом отношении	3	1
46	совершенно ясно что	1	1
47	за то что	1	1
48	на этот вопрос	1	1
49	здесь же мы	1	1
50	только для того	1	1
51	не подлежит никакому	1	1
52	в значительной степени	1	1
53	никогда не был	1	1
54	никакому сомнению что	1	1
55	но в то	1	1
56	подлежит никакому сомнению	1	1
57	смысле этого слова	1	1
58	всех людей и	1	1
59	во всех этих	2	1
60	и как бы	1	1
61	самому своему существу	1	1
62	в связи с	1	1
63	это конечно не	1	1
64	друг к другу	1	1
65	ничего подобного не	1	1
66	что касается до	1	1
67	о котором мы	3	1
68	потому что они	1	1
69	между собой и	1	1
70	так чтобы в	1	1
71	заключается в том	1	1
72	именно на ней	1	1
73	но и для	1	1
74	момент необходимый для	1	1
75	а то которое	1	1
76	но все же	1	1
77	в нем самом	1	1
78	одного и того	1	1
79	о себе самом	1	1
80	и во всем	1	1
81	прежде всего с	1	1
82	и прежде всего	2	1
83	нечего и говорить	1	1
84	во всех странах	1	1
