N	3gram	Nazirov_Tv_2	Tragedij
1	униженных и оскорбленных	1	16
2	униженные и оскорбленные	1	9
3	в униженных и	1	6
4	то же время	7	5
5	в то же	7	5
6	в романе идиот	3	3
7	так и в	2	3
8	в записках из	3	2
9	преступлении и наказании	10	2
10	в отличие от	2	2
11	и в дальнейшем	1	2
12	точно так же	1	2
13	в преступлении и	10	2
14	но в то	1	2
15	в году в	1	2
16	по сей день	1	2
17	в образе князя	2	2
18	не в силах	2	2
19	о том что	2	2
20	в том что	2	2
21	и сам автор	1	1
22	у достоевского в	3	1
23	голод и холод	1	1
24	о золотом веке	1	1
25	имеет в виду	1	1
26	и не может	2	1
27	в этой борьбе	1	1
28	мы понимаем что	1	1
29	братьях карамазовых не	1	1
30	в третий раз	1	1
31	не может жить	1	1
32	иронию и юмор	1	1
33	и т п	2	1
34	можно так выразиться	1	1
35	застывших языковых метафор	1	1
36	и в истории	1	1
37	в известной мере	2	1
38	записках из подполья	3	1
39	ставил перед собой	1	1
40	в iii части	1	1
41	в этой связи	1	1
42	в применении к	1	1
43	л п гроссмана	1	1
44	еще ничего не	1	1
45	во всяком случае	2	1
46	в высшей степени	1	1
47	достоевский никогда не	2	1
48	достоевский в то	1	1
49	в xx веке	1	1
50	в чем же	1	1
51	но при этом	1	1
52	по нашему мнению	4	1
53	в году и	1	1
54	и должно быть	1	1
55	и в этом	1	1
56	не могут быть	1	1
57	у достоевского не	1	1
58	с такой силой	1	1
59	в окончательном тексте	2	1
60	все же не	2	1
61	в xix веке	2	1
62	если можно так	1	1
63	в связи с	1	1
64	в мире достоевского	1	1
65	у себя на	1	1
66	не может быть	3	1
67	приходит в голову	1	1
68	отцов и детей	1	1
69	в рассказе бобок	1	1
70	большие голубые и	1	1
71	это и есть	1	1
72	же время с	1	1
73	в одном из	2	1
74	с самого начала	1	1
75	в самом деле	2	1
76	мы узнаем в	1	1
77	степан трофимович в	1	1
78	эта грубость и	1	1
79	окончательном тексте в	1	1
80	на всем протяжении	1	1
81	в братьях карамазовых	6	1
82	же время показывает	1	1
83	не могли удовлетворить	1	1
84	это не просто	1	1
85	рассказывает о своих	1	1
86	в какой-то мере	1	1
87	может быть в	1	1
88	как и в	1	1
89	заставляет вспомнить о	1	1
