N	2gram	Medvedev_F_3	Freidism
1	таким образом	18	24
2	и не	30	23
3	не может	24	20
4	точки зрения	16	19
5	прежде всего	4	18
6	в этом	18	15
7	в его	7	15
8	и пр	15	15
9	с помощью	8	14
10	мы можем	4	13
11	может быть	25	13
12	и его	19	12
13	все эти	6	11
14	как и	14	11
15	с точки	14	11
16	как бы	8	11
17	то что	8	11
18	самом деле	16	10
19	но в	6	10
20	его в	7	10
21	с ним	1	10
22	как мы	8	10
23	так и	21	10
24	и потому	5	10
25	с его	2	9
26	во всех	3	9
27	по отношению	3	9
28	и в	27	9
29	то же	15	8
30	не только	9	8
31	он не	1	8
32	в своей	6	8
33	еще не	6	8
34	что он	6	8
35	только в	8	8
36	так как	9	8
37	все это	7	8
38	и все	8	8
39	отношению к	3	8
40	в самом	11	7
41	мы уже	3	7
42	ни в	8	7
43	мы видели	4	7
44	те же	3	7
45	один из	1	7
46	тот же	1	7
47	мы знаем	4	7
48	всяком случае	6	7
49	что же	5	7
50	сказать что	3	7
51	во всяком	6	7
52	в ней	5	6
53	за пределы	2	6
54	все те	1	6
55	так сказать	5	6
56	и с	3	6
57	на протяжении	2	6
58	и ее	6	6
59	того что	3	6
60	для него	1	6
61	вовсе не	28	6
62	никогда не	5	6
63	хотя бы	6	6
64	совершенно не	7	6
65	я и	1	5
66	на самом	14	5
67	и на	3	5
68	в этой	2	5
69	знаем что	2	5
70	не в	12	5
71	мы должны	2	5
72	в то	7	5
73	в каком	2	5
74	могут быть	4	5
75	в себя	1	5
76	для этого	2	5
77	но мы	1	5
78	можно сказать	3	5
79	для того	4	5
80	в большинстве	4	5
81	большинстве случаев	5	5
82	а в	1	5
83	но и	10	5
84	с этим	1	5
85	что в	8	5
86	смысле слова	2	4
87	в зависимости	5	4
88	той же	3	4
89	мы не	4	4
90	говорить о	2	4
91	зависимости от	5	4
92	совсем не	5	4
93	но не	5	4
94	в собственном	1	4
95	все же	6	4
96	не было	1	4
97	из этих	2	4
98	в пределах	8	4
99	с их	1	4
100	в нем	15	4
101	всех этих	2	4
102	на этом	2	4
103	то ни	4	4
104	при этом	8	4
105	об этом	1	4
106	с другими	1	4
107	в жизни	11	4
108	не менее	7	4
109	в основе	3	4
110	же время	7	4
111	таким путем	1	4
112	потому что	7	4
113	и для	6	4
114	к тому	4	4
115	если мы	7	4
116	того чтобы	5	4
117	данном случае	4	4
118	сводится к	5	4
119	с самого	1	4
120	это только	2	4
121	организма и	1	4
122	конечно не	4	4
123	уже не	3	4
124	в котором	2	4
125	как раз	8	4
126	от того	2	4
127	последнем счете	2	4
128	и др	2	4
129	в данном	6	4
130	и о	1	4
131	в следующей	2	4
132	сознания и	2	4
133	в этих	3	4
134	между ними	15	4
135	в последнем	2	4
136	в таком	2	4
137	в объективном	1	3
138	таком случае	1	3
139	человека и	2	3
140	собственном смысле	1	3
141	теперь мы	1	3
142	на место	1	3
143	он был	4	3
144	не найдем	1	3
145	а только	1	3
146	в общем	2	3
147	один и	1	3
148	как в	4	3
149	и той	1	3
150	и как	4	3
151	между двумя	1	3
152	следующей главе	2	3
153	учение о	2	3
154	и тот	1	3
155	в себе	3	3
156	и те	4	3
157	но ведь	4	3
158	этот процесс	3	3
159	главным образом	2	3
160	одной и	2	3
161	и по	1	3
162	и может	1	3
163	зрения на	1	3
164	может стать	3	3
165	было бы	6	3
166	уже знаем	2	3
167	отца и	1	3
168	мы имеем	1	3
169	такой же	2	3
170	нисколько не	2	3
171	именно и	1	3
172	войти в	5	3
173	тому чтобы	1	3
174	случае не	1	3
175	можем сказать	1	3
176	тому что	3	3
177	нет никакого	1	3
178	самого начала	1	3
179	одна из	2	3
180	на него	1	3
181	в сознании	1	3
182	не могут	10	3
183	она не	4	3
184	с ее	2	3
185	внутренняя речь	2	3
186	и этим	1	3
187	только то	3	3
188	если бы	12	3
189	развития как	2	3
190	и что	3	3
191	бы то	4	3
192	и содержание	2	3
193	которого оно	1	3
194	первый период	1	3
195	человека с	1	3
196	себя в	1	3
197	в них	3	3
198	со стороны	4	3
199	вместе с	6	3
200	существенных моментах	1	3
201	слова и	4	3
202	и от	11	3
203	но это	2	3
204	не является	5	3
205	это учение	2	3
206	не знает	1	3
207	от всех	4	3
208	жизни и	4	3
209	ее в	3	3
210	в искусстве	7	3
211	отношения к	2	2
212	чтобы не	2	2
213	в такой	2	2
214	и то	1	2
215	тех же	1	2
216	это и	2	2
217	тем же	7	2
218	в первом	1	2
219	и до	1	2
220	уже указывали	1	2
221	высшей степени	2	2
222	ее целом	1	2
223	объясняется и	1	2
224	что между	1	2
225	в первый	1	2
226	нам в	1	2
227	становится совершенно	1	2
228	по учению	2	2
229	социальной группы	2	2
230	как не	2	2
231	того же	3	2
232	от всей	1	2
233	без труда	2	2
234	между собой	4	2
235	в ее	4	2
236	видели что	2	2
237	себе и	1	2
238	отличие от	2	2
239	или иное	2	2
240	значение для	1	2
241	чем же	2	2
242	что как	1	2
243	в своем	2	2
244	социальных взаимоотношений	1	2
245	сознания в	1	2
246	от этого	2	2
247	это утверждение	2	2
248	что это	3	2
249	в нашем	1	2
250	выражение в	1	2
251	своей теории	2	2
252	всей его	1	2
253	что она	2	2
254	внутренней речи	2	2
255	их в	3	2
256	но все	1	2
257	в одну	1	2
258	же касается	1	2
259	всех областях	2	2
260	это не	3	2
261	на почве	2	2
262	чаще всего	1	2
263	отсюда и	1	2
264	поэтому они	1	2
265	приходит в	1	2
266	выйти за	1	2
267	том что	4	2
268	в эту	2	2
269	но если	2	2
270	и при	1	2
271	мы конечно	1	2
272	в их	1	2
273	мы говорили	1	2
274	в отличие	2	2
275	сих пор	1	2
276	теми же	1	2
277	возможно только	2	2
278	освободиться от	1	2
279	как это	4	2
280	в отношении	2	2
281	случае в	3	2
282	его целом	1	2
283	но для	2	2
284	дело не	2	2
285	правда в	2	2
286	и притом	2	2
287	к этим	1	2
288	в процессе	15	2
289	не нуждается	3	2
290	в нас	2	2
291	для всего	1	2
292	только не	2	2
293	являются только	2	2
294	тем не	2	2
295	и теперь	6	2
296	из того	1	2
297	главе глава	1	2
298	этом отношении	3	2
299	является по	1	2
300	в области	2	2
301	в момент	1	2
302	все то	1	2
303	же что	2	2
304	отличается от	2	2
305	предыдущей главе	1	2
306	они и	3	2
307	социальные и	1	2
