N	2gram	Bakhtin_fo_1	Tragedij
1	и в	50	18
2	в романе	32	10
3	в этом	25	9
4	не только	9	8
5	он сам	1	7
6	и с	4	7
7	и на	8	7
8	может быть	11	7
9	как бы	2	7
10	и не	14	7
11	но в	10	6
12	и его	16	6
13	в образе	5	6
14	же время	9	6
15	что он	1	6
16	у него	6	6
17	то же	11	5
18	все же	6	5
19	что это	1	5
20	это не	6	5
21	как и	8	5
22	в то	9	5
23	в дальнейшем	6	5
24	так и	12	5
25	это очень	1	5
26	не может	6	5
27	к жизни	2	5
28	он всегда	1	4
29	я не	1	4
30	еще не	5	4
31	в себе	3	4
32	в целом	2	4
33	в этой	1	4
34	в нем	24	4
35	об этом	2	4
36	том что	4	4
37	но и	8	4
38	и даже	2	4
39	прежде всего	15	4
40	так же	6	4
41	все это	4	4
42	этот образ	2	4
43	что в	5	4
44	и все	6	4
45	то что	6	4
46	в мире	1	3
47	и он	1	3
48	своего рода	1	3
49	отнюдь не	5	3
50	как в	6	3
51	в своем	4	3
52	и как	10	3
53	все эти	9	3
54	при этом	3	3
55	то есть	33	3
56	должно быть	1	3
57	о чем	1	3
58	с ее	6	3
59	и сам	1	3
60	жизнь и	4	3
61	с ним	2	3
62	в его	13	3
63	один из	3	3
64	романа и	3	3
65	уже в	2	3
66	для него	2	3
67	никто не	2	3
68	в конце	9	3
69	в основном	5	3
70	этого романа	4	2
71	из самых	1	2
72	и до	5	2
73	и за	1	2
74	а как	3	2
75	никогда не	2	2
76	и то	4	2
77	он был	1	2
78	не был	1	2
79	с его	9	2
80	отношение к	2	2
81	отличие от	2	2
82	тут же	1	2
83	так что	1	2
84	и я	1	2
85	о жизни	1	2
86	это был	1	2
87	перед нами	1	2
88	имеет в	2	2
89	в самом	8	2
90	бы и	1	2
91	то и	1	2
92	и лучше	1	2
93	он не	5	2
94	ее жизни	1	2
95	но все	5	2
96	что все	2	2
97	его в	3	2
98	в это	2	2
99	ни в	8	2
100	нет в	2	2
101	с тем	3	2
102	сам говорит	1	2
103	я увидел	1	2
104	в отличие	2	2
105	вопрос о	2	2
106	но эта	3	2
107	не в	5	2
108	что этот	1	2
109	вместе со	1	2
110	раз и	2	2
111	но они	3	2
112	этими двумя	3	2
113	одна из	2	2
114	не имеет	4	2
115	в русском	1	2
116	не могут	3	2
117	к тому	3	2
118	и это	4	2
119	в ее	6	2
120	данном случае	1	2
121	ничего не	9	2
122	и здесь	1	2
123	о том	1	2
124	в глаза	2	2
125	времени в	7	2
126	что и	3	2
127	даже на	1	2
128	бросается в	1	2
129	в том	9	2
130	между этими	4	2
131	и ее	3	2
132	уже не	2	2
133	в одном	3	2
134	друг друга	3	2
135	тем что	2	2
136	в самую	1	2
137	только к	3	2
138	говорит о	1	2
139	до конца	4	2
140	было в	1	2
141	в данном	2	2
142	очень важно	1	2
143	это уже	1	2
144	от всего	1	2
145	потому что	4	2
146	личности и	2	2
147	в частности	6	2
148	этим объясняется	1	2
149	в таком	3	2
150	я и	1	1
151	вдруг и	6	1
152	сохраняет свое	1	1
153	ту же	2	1
154	и т	8	1
155	одним из	1	1
156	например в	6	1
157	человека и	11	1
158	это сюжетное	1	1
159	всех видах	1	1
160	и др	9	1
161	необходимо отметить	2	1
162	самом деле	1	1
163	к своей	2	1
164	на деле	1	1
165	и есть	1	1
166	в какой-то	3	1
167	высшей степени	1	1
168	объясняется и	1	1
169	той же	2	1
170	xvii века	2	1
171	роман в	4	1
172	не вполне	1	1
173	на себя	2	1
174	событий и	3	1
175	в виду	3	1
176	начала в	1	1
177	в ней	4	1
178	в xix	1	1
179	и силе	1	1
180	между собой	4	1
181	без которой	1	1
182	в чем	2	1
183	во всех	6	1
184	романа не	2	1
185	на другой	2	1
186	но не	5	1
187	могло быть	4	1
188	но как	1	1
189	что роман	1	1
190	в быту	3	1
191	значение и	3	1
192	свою жизнь	1	1
193	с совершенно	1	1
194	большое значение	1	1
195	в истории	2	1
196	в центре	2	1
197	свои страдания	2	1
198	час и	1	1
199	и наконец	1	1
200	романе играет	1	1
201	этой идеи	1	1
202	со своей	3	1
203	в которой	2	1
204	сливается с	1	1
205	бы не	1	1
206	это тот	1	1
207	в маленьких	2	1
208	всего необходимо	3	1
209	как он	2	1
210	не могла	1	1
211	жизни ее	1	1
212	человек не	1	1
213	вообще не	3	1
214	так сказать	7	1
215	этих романов	5	1
216	и еще	2	1
217	которым человек	1	1
218	не к	2	1
219	не как	2	1
220	по всем	2	1
221	этом мире	2	1
222	и по	2	1
223	таким образом	11	1
224	но без	1	1
225	здесь мы	1	1
226	факт что	1	1
227	в другом	1	1
228	конечно в	1	1
229	лишь в	6	1
230	это было	1	1
231	совершенно иная	1	1
232	этом романе	2	1
233	лишь на	1	1
234	этого нового	1	1
235	на свои	1	1
236	но уже	1	1
237	в них	4	1
238	в высшей	1	1
239	полностью сохраняет	1	1
240	героини в	1	1
241	которой он	1	1
242	когда я	1	1
243	и вне	3	1
244	романа прежде	3	1
245	очень важный	1	1
246	человека мы	2	1
247	и при	1	1
248	в своей	2	1
249	наших дней	1	1
250	поэтому за	1	1
251	в котором	4	1
252	растет и	1	1
253	не столько	1	1
254	миф о	1	1
255	понятно что	4	1
256	должны были	1	1
257	значение для	1	1
258	и вот	1	1
259	умирает и	1	1
260	страха и	1	1
261	но он	2	1
262	предчувствия и	1	1
263	смертной казни	1	1
264	речи в	2	1
265	с такими	1	1
266	на всю	1	1
267	возвращается к	1	1
268	по себе	2	1
269	вплоть до	1	1
270	и художественной	1	1
271	играть в	1	1
272	xviii века	3	1
273	она не	1	1
274	самого начала	2	1
275	связан и	1	1
276	как его	1	1
277	например что	1	1
278	не вызывает	1	1
279	и тонкие	1	1
280	этой схемы	1	1
281	как во	1	1
282	до самой	1	1
283	в самой	2	1
284	или как	4	1
285	к ней	2	1
286	по своей	1	1
287	для нас	2	1
288	связи с	6	1
289	не нужен	1	1
290	входят в	1	1
291	мы встречаем	2	1
292	в трагедии	2	1
293	xx века	1	1
294	в момент	1	1
295	вообще мог	1	1
296	к себе	4	1
297	могут быть	5	1
298	строится как	1	1
299	и чужой	1	1
300	что оно	1	1
301	его с	1	1
302	и т.д	1	1
303	свое значение	1	1
304	где он	1	1
305	как мы	14	1
306	того чтобы	5	1
307	и тонко	1	1
308	и образ	3	1
309	всего этого	2	1
310	родного дома	1	1
311	романе в	2	1
312	с самого	2	1
313	роль в	9	1
314	человека с	1	1
315	природе своей	2	1
316	с собой	1	1
317	по природе	2	1
318	в последующих	1	1
319	во многом	2	1
320	по сравнению	2	1
321	на них	2	1
322	с человека	1	1
323	в эпоху	1	1
324	своего происхождения	1	1
325	тем чем	1	1
326	часто и	2	1
327	себя а	1	1
328	а также	2	1
329	мы понимаем	1	1
330	роман и	1	1
331	от него	1	1
332	все в	1	1
333	связь между	2	1
334	романа как	3	1
335	в форме	3	1
336	романа в	5	1
337	и первое	1	1
338	о своих	1	1
339	в литературе	16	1
340	того что	2	1
341	наблюдать и	1	1
342	и дело	1	1
343	мы видим	3	1
344	с ними	1	1
345	что даже	1	1
346	только в	4	1
347	во всем	2	1
348	iii эта	1	1
349	с одной	3	1
350	есть в	2	1
351	этого мотива	1	1
352	носит в	1	1
353	только на	3	1
354	в больших	1	1
355	характерно что	4	1
356	него нет	1	1
357	одно из	3	1
358	и их	8	1
359	всяком случае	1	1
360	могло бы	1	1
361	т п	8	1
362	не для	2	1
363	с этими	2	1
364	к ним	2	1
365	жизни на	2	1
366	еще недавно	1	1
367	авантюры и	1	1
368	мир на	1	1
369	переплетается с	1	1
370	и герои	1	1
371	рядом с	2	1
372	в особенности	9	1
373	чувствует себя	2	1
374	даже не	2	1
375	с другим	1	1
376	вопрос об	1	1
377	именно в	3	1
378	в каких	1	1
379	к роману	1	1
380	что не	3	1
381	не было	7	1
382	и стал	2	1
383	а на	1	1
384	а не	3	1
385	с которым	1	1
386	не быть	1	1
387	одну из	1	1
388	первый образ	1	1
389	этом случае	1	1
390	в связи	5	1
391	себя на	1	1
392	с помощью	2	1
393	отметим лишь	1	1
394	время с	1	1
395	вместе с	3	1
396	и начинают	1	1
397	и потому	3	1
398	не знал	1	1
399	сравнению с	2	1
400	в романах	2	1
401	наряду с	5	1
402	в той	4	1
403	встреч и	1	1
404	смысле этого	1	1
405	слова он	1	1
406	к образу	1	1
407	из родного	1	1
408	от природы	2	1
409	и судьбы	1	1
410	который он	1	1
411	распадается на	1	1
412	пародия на	1	1
413	нам еще	1	1
414	этого слова	1	1
415	он использовал	1	1
416	и от	1	1
417	в условиях	7	1
418	перед смертью	1	1
419	на одной	1	1
420	не является	2	1
421	известной степени	1	1
422	как своего	1	1
423	тем и	1	1
424	где и	2	1
425	причем в	1	1
426	в результате	6	1
427	из себя	1	1
428	бы в	1	1
429	и совершенно	1	1
430	все события	1	1
431	побои в	1	1
432	у которого	1	1
433	хотя бы	2	1
434	что ты	1	1
435	жизни в	8	1
436	героя и	7	1
437	совершенно не	2	1
438	в реальный	1	1
439	сколько угодно	2	1
440	является любовь	1	1
441	строится на	1	1
442	время он	1	1
443	к этой	1	1
444	вдруг на	1	1
445	и эта	2	1
446	природу человека	1	1
447	во всяком	3	1
