N	2gram	Medvedev_V_1	NovoeSre
1	а не	7	17
2	и в	26	16
3	не может	17	16
4	во имя	1	15
5	и не	19	11
6	и есть	5	10
7	что в	10	9
8	как не	1	8
9	в том	15	8
10	жизни и	3	8
11	он не	2	8
12	в этом	26	7
13	может быть	22	7
14	как и	7	7
15	с его	3	6
16	не в	6	6
17	ни в	1	6
18	никогда не	4	6
19	лишь в	2	6
20	но это	1	6
21	должен быть	4	5
22	с ее	1	5
23	в ней	2	5
24	и к	3	5
25	не только	25	5
26	в жизни	2	5
27	все это	10	5
28	в нем	6	5
29	новое время	1	4
30	со всех	1	4
31	о том	10	4
32	всех сторон	1	4
33	жизни к	1	4
34	в них	4	4
35	то что	6	4
36	это не	7	4
37	прежде всего	13	4
38	не было	7	4
39	должно быть	2	4
40	и потому	2	4
41	по своему	1	4
42	значит что	2	4
43	не менее	2	4
44	и для	2	4
45	не имеет	1	4
46	и все	1	4
47	потому что	1	4
48	с другой	11	3
49	смысле слова	2	3
50	в ее	4	3
51	вопрос о	1	3
52	человека и	3	3
53	еще не	2	3
54	во всех	6	3
55	за пределы	1	3
56	лицом к	1	3
57	в истории	1	3
58	как в	1	3
59	конечно не	1	3
60	не значит	1	3
61	к ним	1	3
62	подобно тому	2	3
63	французской революции	1	3
64	перейти к	1	3
65	но и	10	3
66	это было	1	3
67	не означает	1	3
68	с тем	3	3
69	к лицу	1	3
70	в своей	4	3
71	в новое	1	3
72	тому как	2	3
73	она не	3	3
74	эти формы	1	3
75	что такое	2	3
76	жизни не	1	3
77	в основе	1	3
78	к ее	1	3
79	в духе	1	3
80	к тому	4	3
81	дня и	1	3
82	сказать что	5	3
83	и это	1	2
84	же как	2	2
85	связана с	2	2
86	силы и	1	2
87	это и	6	2
88	время как	1	2
89	роль в	4	2
90	можно было	2	2
91	так и	5	2
92	природе и	1	2
93	мира и	3	2
94	для этого	1	2
95	еще до	1	2
96	но она	1	2
97	вот почему	4	2
98	и что	1	2
99	быть в	1	2
100	на протяжении	1	2
101	но не	2	2
102	в свои	1	2
103	с этим	3	2
104	ни к	1	2
105	хотя и	2	2
106	каждого человека	1	2
107	но в	2	2
108	который в	1	2
109	все эти	6	2
110	с одной	2	2
111	это совсем	1	2
112	есть в	1	2
113	в себе	6	2
114	уже не	1	2
115	том чтобы	2	2
116	у него	6	2
117	что она	2	2
118	и заключается	2	2
119	что все	3	2
120	нет и	3	2
121	и даже	2	2
122	связаны с	1	2
123	этом смысле	1	2
124	бытия в	1	2
125	к более	1	2
126	и творчества	1	2
127	зависит от	2	2
128	духовной жизни	1	2
129	том что	8	2
130	вместе с	7	2
131	так же	3	2
132	мы говорим	1	2
133	одной стороны	2	2
134	другой стороны	8	2
135	обращение к	1	2
136	по существу	3	2
137	ни одна	2	2
138	как будто	1	2
139	войны и	2	2
140	и формы	2	2
141	как это	12	2
142	но для	2	2
143	равно как	4	2
144	в то	6	2
145	одна из	4	2
146	мысли в	1	2
147	того чтобы	3	2
148	формы и	2	2
149	и от	3	2
150	и весь	2	2
151	в русском	1	2
152	хотя бы	19	2
153	все они	2	2
154	познания и	4	2
155	а в	3	2
156	ли это	2	2
157	могут быть	5	2
158	можно назвать	1	2
159	также что	2	1
160	оно может	1	1
161	ограничен и	1	1
162	и через	2	1
163	же так	1	1
164	становится в	1	1
165	он может	2	1
166	к таким	1	1
167	этого мира	1	1
168	приводит к	5	1
169	этой эпохе	1	1
170	может идти	1	1
171	и этот	2	1
172	в образе	2	1
173	еще в	1	1
174	и трудно	1	1
175	человека это	1	1
176	с ним	1	1
177	можно сказать	4	1
178	говорить о	2	1
179	на себя	1	1
180	духовной и	1	1
181	то это	2	1
182	не был	1	1
183	разобраться в	2	1
184	в виду	4	1
185	зависимости от	5	1
186	не способен	1	1
187	жизни это	1	1
188	это время	1	1
189	более высокой	1	1
190	творческий процесс	15	1
191	что его	2	1
192	в чем	2	1
193	и мира	1	1
194	и во	1	1
195	не могут	7	1
196	переходит в	1	1
197	значение и	1	1
198	в его	14	1
199	себе и	2	1
200	той социальной	1	1
201	значение для	1	1
202	нужно признать	1	1
203	в значительной	3	1
204	в своем	8	1
205	как например	2	1
206	что нет	2	1
207	и мистике	1	1
208	а блок	1	1
209	говорит что	1	1
210	человека в	2	1
211	связанный с	1	1
212	что он	4	1
213	в каком-то	1	1
214	только в	7	1
215	и элементы	1	1
216	процесса познания	1	1
217	в самом	4	1
218	а во-вторых	1	1
219	существе своем	1	1
220	то время	1	1
221	он в	1	1
222	о свободе	1	1
223	из этих	7	1
224	в известном	1	1
225	к достижению	1	1
226	этой системе	1	1
227	же и	2	1
228	если есть	1	1
229	к идее	1	1
230	класса на	1	1
231	и у	2	1
232	уже в	1	1
233	дальше и	1	1
234	существу своему	1	1
235	свидетельствует о	1	1
236	от других	1	1
237	идей и	3	1
238	в статье	4	1
239	мыслей их	1	1
240	из них	9	1
241	для того	3	1
242	и их	3	1
243	всяком случае	1	1
244	жизнью и	1	1
245	сами по	1	1
246	в существе	1	1
247	в конце	3	1
248	не для	1	1
249	но ведь	1	1
250	часто не	2	1
251	друг друга	1	1
252	не случайно	1	1
253	тем что	1	1
254	гносеология и	1	1
255	заключает в	1	1
256	от того	2	1
257	вот что	9	1
258	и вместе	1	1
259	это значит	1	1
260	чего он	1	1
261	не должна	1	1
262	том случае	1	1
263	них не	4	1
264	для будущего	1	1
265	а по	1	1
