N	2gram	Savitsky_E_1	VerxiiNi
1	и в	37	26
2	таким образом	2	22
3	с тем	3	18
4	в этом	12	15
5	русской культуры	1	15
6	вместе с	2	15
7	точки зрения	23	13
8	как бы	6	12
9	в том	11	11
10	не только	18	10
11	и с	2	10
12	может быть	6	10
13	связи с	1	9
14	в области	11	9
15	так как	7	9
16	но и	14	9
17	что в	21	9
18	но не	5	8
19	в общем	3	8
20	главным образом	2	8
21	с другой	7	8
22	и не	14	8
23	как на	3	8
24	но в	14	7
25	но все	1	7
26	из них	3	7
27	том что	6	7
28	потому что	3	7
29	к нему	2	7
30	с одной	8	7
31	то что	6	7
32	одной стороны	8	7
33	того же	3	6
34	представление о	2	6
35	все же	1	6
36	все эти	1	6
37	в себе	9	6
38	всяком случае	3	6
39	с точки	17	6
40	в отношении	32	6
41	к тому	8	6
42	так и	10	6
43	о том	3	6
44	что и	3	6
45	несмотря на	4	6
46	и потому	5	6
47	мы должны	2	6
48	во всяком	3	6
49	и к	3	5
50	тому же	1	5
51	в силу	2	5
52	русской стихии	1	5
53	в мире	2	5
54	лишь в	1	5
55	или менее	1	5
56	не имеет	4	5
57	того чтобы	6	5
58	никогда не	3	5
59	с другом	3	5
60	для того	6	5
61	в его	2	5
62	а не	2	5
63	к жизни	1	5
64	друг с	3	5
65	и для	3	5
66	так же	9	5
67	одной из	5	5
68	более или	1	5
69	том числе	1	5
70	в котором	2	4
71	то же	15	4
72	к востоку	4	4
73	в течение	5	4
74	целый ряд	2	4
75	в самом	4	4
76	в этой	2	4
77	и по	5	4
78	что все	2	4
79	то есть	6	4
80	с другими	2	4
81	он не	2	4
82	далеко не	2	4
83	в которых	3	4
84	в то	16	4
85	в нем	1	4
86	а в	2	4
87	числе и	1	4
88	что оно	1	4
89	и что	2	4
90	и только	3	4
91	только в	9	4
92	русской жизни	1	4
93	на этот	2	4
94	культурных ценностей	6	4
95	не может	9	4
96	этой эпохи	1	4
97	в смысле	9	4
98	и от	3	4
99	в этих	2	4
100	в виде	5	4
101	же как	5	3
102	на западе	1	3
103	из всех	3	3
104	если в	2	3
105	к сожалению	1	3
106	в своем	14	3
107	когда он	3	3
108	и как	2	3
109	что это	2	3
110	и те	1	3
111	и если	2	3
112	при этом	1	3
113	европейской культуры	3	3
114	всегда и	1	3
115	если бы	2	3
116	не менее	1	3
117	представляет собой	3	3
118	к концу	1	3
119	течением времени	2	3
120	в других	2	3
121	и о	1	3
122	но по	2	3
123	культуры и	2	3
124	с течением	2	3
125	можно сказать	4	3
126	в значительной	2	3
127	того что	7	3
128	но с	2	3
129	хотя бы	15	3
130	в качестве	14	3
131	уже не	1	3
132	что эти	2	3
133	связывается с	1	3
134	для него	1	3
135	в одном	2	3
136	к ним	3	3
137	и даже	6	3
138	или иначе	1	3
139	с ней	1	3
140	в связи	1	3
141	в рамках	1	3
142	с этой	6	3
143	и таким	2	3
144	в результате	3	3
145	и другие	1	3
146	в таком	3	3
147	на философскую	1	2
148	для этих	2	2
149	в русских	1	2
150	связана с	1	2
151	и это	1	2
152	смотреть на	1	2
153	и на	6	2
154	бы то	4	2
155	с его	1	2
156	во всех	6	2
157	живых существ	1	2
158	различия между	1	2
159	силы и	1	2
160	в китае	1	2
161	в новом	1	2
162	или иное	1	2
163	относится к	1	2
164	некоторые из	1	2
165	и наконец	2	2
166	он в	1	2
167	на то	6	2
168	значительная часть	3	2
169	не к	2	2
170	не как	1	2
171	состоит в	1	2
172	его можно	1	2
173	заключает в	3	2
174	значительной части	1	2
175	то ни	4	2
176	те же	1	2
177	к другу	1	2
178	в них	3	2
179	к которым	5	2
180	мы видели	3	2
181	но если	5	2
182	и сейчас	2	2
183	признать что	1	2
184	которые в	1	2
185	не в	5	2
186	в россии	5	2
187	вплоть до	1	2
188	для каждого	1	2
189	тогда когда	2	2
190	в разных	1	2
191	больше чем	1	2
192	в самой	1	2
193	же время	14	2
194	в русском	1	2
195	этом отношении	3	2
196	ли это	3	2
197	культурные ценности	2	2
198	начиная с	2	2
199	не могут	2	2
200	в среде	1	2
201	той или	4	2
202	утверждать что	2	2
203	значительной мере	1	2
204	и сами	1	2
205	то или	1	2
206	на восток	2	2
207	по сравнению	2	2
208	для этого	1	2
209	на востоке	1	2
210	мысль о	1	2
211	востока в	3	2
212	а также	7	2
213	между тем	8	2
214	этого периода	1	2
215	востока и	2	2
216	вслед за	6	2
217	быть и	1	2
218	по своей	2	2
219	один из	1	2
220	тот же	1	2
221	этот факт	3	2
222	от них	3	2
223	для всех	1	2
224	конечно не	1	2
225	уже в	1	2
226	в начале	1	2
227	одно из	1	2
228	мы можем	3	2
229	или иной	4	2
230	именно в	4	2
231	по своим	3	2
232	к которому	1	2
233	прежде всего	9	2
234	выступает в	1	2
235	связано с	3	2
236	не было	1	2
237	и все	2	2
238	так называемой	1	2
239	тем с	1	2
240	если не	1	2
241	связь с	1	2
242	чем все	1	2
243	по своему	7	2
244	сравнению с	2	2
245	срединное положение	1	2
246	на пути	1	2
247	что мы	1	2
248	или по	2	2
249	этот период	1	2
250	при таком	1	2
251	о котором	1	2
252	но когда	1	2
253	из себя	1	2
254	в эту	2	2
255	ни было	4	2
256	в свою	3	2
257	в процессе	4	2
258	к культуре	1	2
259	сказать что	4	2
260	ко всему	2	2
261	на юге	1	2
262	жизни и	2	2
263	можно назвать	1	2
264	все что	1	2
265	этой точки	5	2
266	себя как	1	1
267	как известно	1	1
268	за тем	2	1
269	речь идет	1	1
270	в сфере	3	1
271	чтобы не	1	1
272	в этот	1	1
273	и связанного	1	1
274	или к	1	1
275	но тем	1	1
276	которое мы	1	1
277	этого мира	1	1
278	с культурой	1	1
279	и до	1	1
280	и этот	2	1
281	зону в	1	1
282	той же	1	1
283	далее в	1	1
284	мы не	4	1
285	это три	1	1
286	именно к	2	1
287	бы и	3	1
288	ее частей	1	1
289	время как	1	1
290	культуры например	1	1
291	в будущем	3	1
292	что начиная	1	1
293	в ней	4	1
294	а другие	1	1
295	вышла из	1	1
296	на них	2	1
297	устойчивость и	1	1
298	быть в	1	1
299	не представляется	1	1
300	что его	1	1
301	до настоящего	1	1
302	друг к	1	1
303	видели что	1	1
304	произошло в	2	1
305	от западной	1	1
306	народов земного	3	1
307	в сторону	2	1
308	по отношению	1	1
309	более как	1	1
310	а через	1	1
311	отличие от	1	1
312	общего правила	1	1
313	и небольшой	1	1
314	один и	1	1
315	с русскими	1	1
316	как по	1	1
317	идет о	3	1
318	в одной	1	1
319	как в	3	1
320	поскольку они	2	1
321	некоторое время	1	1
322	с их	1	1
323	удовлетворения своих	1	1
324	вспомним что	1	1
325	однако не	1	1
326	с наиболее	2	1
327	могли бы	1	1
328	его к	1	1
329	себе не	3	1
330	есть ли	2	1
331	от этого	5	1
332	и отчасти	2	1
333	в определенный	1	1
334	то в	4	1
335	та же	1	1
336	бы с	1	1
337	то время	1	1
338	чуть ли	1	1
339	в нашем	1	1
340	господствует в	1	1
341	связанного с	1	1
342	близости к	1	1
343	думать что	8	1
344	не более	3	1
345	что к	2	1
346	фактора и	1	1
347	финских народов	1	1
348	элементов в	1	1
349	и тот	1	1
350	сказать чтобы	1	1
351	имеет для	1	1
352	от природы	1	1
353	на его	1	1
354	отцов и	1	1
355	но именно	2	1
356	всех этих	1	1
357	одну доску	1	1
358	в корне	1	1
359	и более	2	1
360	на земле	1	1
361	чтобы в	1	1
362	созидания и	1	1
363	переходили в	1	1
364	с этнографической	1	1
365	на этом	1	1
366	от нее	1	1
367	сделать из	1	1
368	том же	1	1
369	в духовной	1	1
370	то станет	1	1
371	говорить не	1	1
372	ли этот	1	1
373	входит в	1	1
374	заключается в	2	1
375	есть не	2	1
376	мире как	1	1
377	было бы	8	1
378	в свой	1	1
379	лишь на	1	1
380	весь мир	1	1
381	в жизни	1	1
382	… но	1	1
383	культуры во	1	1
384	к области	1	1
385	о характере	1	1
386	о которых	1	1
387	она и	1	1
388	своему характеру	2	1
389	соответствии с	1	1
390	с культурами	2	1
391	от византии	1	1
392	как и	7	1
393	во внимание	1	1
394	чем в	4	1
395	на одну	2	1
396	более низкую	1	1
397	духовной жизни	2	1
398	должно быть	1	1
399	а отчасти	1	1
400	и того	2	1
401	одного и	1	1
402	перед собой	1	1
403	и способны	1	1
404	жизни мира	2	1
405	к тем	1	1
406	в своей	8	1
407	в такой	1	1
408	в их	11	1
409	фактом что	1	1
410	место в	3	1
411	та культура	1	1
412	дальнейшее развитие	1	1
413	в отличие	1	1
414	одном из	2	1
415	своей судьбой	1	1
416	из культур	1	1
417	только те	2	1
418	по себе	4	1
419	даже в	4	1
420	народом в	1	1
421	русской стихией	1	1
422	но они	1	1
423	что с	1	1
424	дальнего востока	2	1
425	на себе	1	1
426	занять место	1	1
427	казалось бы	1	1
428	данного народа	3	1
429	этом процессе	1	1
430	они являются	1	1
431	к россии	4	1
432	за исключением	1	1
433	другой стороны	2	1
434	мире и	1	1
435	бы по	1	1
436	в сознании	1	1
437	находит себе	1	1
438	но даже	4	1
439	в каком	4	1
440	и несколько	1	1
441	у нас	1	1
442	настоящего времени	1	1
443	и далее	1	1
444	которое в	2	1
445	когда мы	1	1
446	могут быть	2	1
447	должны быть	1	1
448	не есть	2	1
449	всегда в	1	1
450	в каждой	1	1
451	для себя	1	1
452	от азии	1	1
453	существовании и	1	1
454	которого мы	2	1
455	питается и	1	1
456	с ее	1	1
457	здесь говорить	1	1
458	как не	2	1
459	свою очередь	2	1
460	людей в	1	1
461	всего этого	1	1
462	в ее	8	1
463	данном случае	2	1
464	как с	1	1
465	единое целое	1	1
466	с собой	1	1
467	характерной чертой	1	1
468	это состояние	1	1
469	когда его	1	1
470	это мы	1	1
471	между собой	2	1
472	он сам	2	1
473	запада и	1	1
474	ли эти	1	1
475	европеизации в	1	1
476	с ним	1	1
477	культура есть	2	1
478	вероятно что	1	1
479	именно потому	2	1
480	в известных	2	1
481	в состав	1	1
482	и других	2	1
483	знаем к	1	1
484	притом в	2	1
485	одного из	1	1
486	может не	1	1
487	в вопросах	1	1
488	времени в	1	1
489	любви к	1	1
490	и во	2	1
491	развития не	1	1
492	это изменение	1	1
493	связь между	1	1
494	в которую	1	1
495	а у	1	1
496	во втором	2	1
497	к установлению	1	1
498	эти два	1	1
499	во всей	2	1
500	совершенно неправильно	1	1
501	и подражания	1	1
502	в ту	1	1
503	и следовательно	1	1
504	к сознанию	1	1
505	на северном	1	1
506	в сферу	2	1
507	происходит в	2	1
508	эти последние	2	1
509	европейской цивилизации	4	1
510	географических и	1	1
511	и прежде	3	1
512	есть часть	1	1
513	мы видим	2	1
514	с востока	1	1
515	с ними	1	1
516	зрения есть	1	1
517	этот вопрос	2	1
518	дело с	1	1
519	что даже	1	1
520	как нечто	1	1
521	оказалась в	1	1
522	и ее	1	1
523	и его	1	1
524	земного шара	9	1
525	следовательно для	1	1
526	мира то	2	1
527	не можем	2	1
528	борьбы с	1	1
529	и всякая	1	1
530	только тогда	1	1
531	силу этого	1	1
532	с запада	1	1
533	при помощи	2	1
534	в ином	1	1
535	но совершенно	1	1
536	участие в	2	1
537	мы знаем	1	1
538	несомненно в	1	1
539	культуры от	1	1
540	себе в	3	1
541	и их	1	1
542	представить себе	1	1
543	не означает	2	1
544	бытия и	1	1
545	заметить что	2	1
546	тем что	3	1
547	тогда как	1	1
548	перед ними	1	1
549	поворот к	1	1
550	которые как	1	1
551	при рассмотрении	1	1
552	смысле завершения	1	1
553	нельзя сказать	1	1
554	романо-германской и	1	1
555	а именно	2	1
556	что тот	1	1
