N	4gram	Potebnia_M_1	StatiiOP
1	дело в том что	2	4
2	в то же время	3	4
3	что не может быть	1	2
4	но с другой стороны	2	2
5	заключается в том что	1	2
6	показать что и в	1	1
7	уже о том что	1	1
8	что бы то ни	1	1
9	но дело в том	2	1
10	только в том что	4	1
11	и т д в	1	1
12	только тем что в	1	1
13	во всяком случае не	1	1
14	д и т д	1	1
15	не только в том	1	1
16	с другой стороны и	1	1
17	потому что не может	1	1
18	во что бы то	1	1
19	бы они ни были	2	1
20	и в том и	1	1
21	в том смысле что	1	1
22	языка не может быть	1	1
23	в каждом из этих	1	1
24	бы то ни стало	1	1
25	в том и другом	2	1
26	не говоря уже о	1	1
27	то же время не	1	1
28	ни для кого не	1	1
29	и в этом отношении	1	1
