N	3gram	Berdyaev_M_1	SlovoVZh
1	по отношению к	2	11
2	не может быть	17	7
3	в том что	1	4
4	и не может	2	3
5	и по отношению	1	3
6	может быть и	1	3
7	до сих пор	2	3
8	имеем в виду	1	2
9	в зависимости от	1	2
10	в отношении к	1	2
11	что мы все	1	2
12	выходят за пределы	1	2
13	для него не	1	1
14	и менее всего	1	1
15	и потому не	3	1
16	все более и	1	1
17	и уж конечно	2	1
18	то время как	2	1
19	друг к другу	1	1
20	во всяком случае	1	1
21	только психологическое но	1	1
22	одна и та	1	1
23	в самом деле	1	1
24	что до сих	1	1
25	между тем как	1	1
26	в то время	2	1
27	а не к	1	1
28	к нему как	1	1
29	но и в	4	1
30	и та же	1	1
31	на этом основании	1	1
32	о том что	1	1
33	в творчестве достоевского	4	1
34	более и более	1	1
35	можно было бы	1	1
36	мы имеем в	1	1
37	на протяжении всей	1	1
38	человек и его	1	1
39	уж конечно не	2	1
40	нему как к	1	1
41	записок из подполья	5	1
42	в значительной степени	1	1
43	и в нем	3	1
44	место в творчестве	1	1
45	она не может	1	1
46	это прежде всего	1	1
47	мы увидим что	3	1
48	в высшей степени	2	1
49	и на этом	2	1
