N	2gram	Tiupa_Narr_1	slovoVRo
1	и в	19	41
2	в нем	4	30
3	то есть	19	26
4	могут быть	3	19
5	во всех	1	17
6	точки зрения	10	16
7	но и	23	16
8	и не	20	16
9	не только	32	16
10	а не	12	15
11	и др	2	14
12	не может	10	14
13	то же	4	14
14	и его	5	14
15	в то	3	14
16	и на	3	14
17	может быть	25	14
18	в пределах	2	14
19	в его	9	13
20	в сущности	3	13
21	же время	4	12
22	языка и	2	12
23	в этом	17	12
24	как бы	4	12
25	так и	9	11
26	в той	6	10
27	все эти	2	9
28	таким образом	1	9
29	иной степени	1	9
30	или иной	5	9
31	себя в	5	9
32	той или	4	9
33	в особенности	4	8
34	на его	1	8
35	или в	2	8
36	может не	3	8
37	как мы	3	8
38	прежде всего	4	8
39	слова в	1	8
40	как в	7	8
41	с точки	2	8
42	но в	6	8
43	точка зрения	6	8
44	все же	7	7
45	вовсе не	1	7
46	не в	14	7
47	с ним	1	7
48	отношение к	2	7
49	чужой речи	1	7
50	зрения на	2	7
51	в слове	1	7
52	всех его	2	7
53	на фоне	1	7
54	того же	1	6
55	в плане	1	6
56	к чужому	1	6
57	а в	11	6
58	оно не	2	6
59	это не	2	6
60	к своему	1	6
61	и даже	3	6
62	только в	4	6
63	в них	1	6
64	при этом	9	6
65	точек зрения	2	5
66	так сказать	1	5
67	к нему	5	5
68	с другими	1	5
69	подхода к	1	5
70	и к	1	5
71	не на	2	5
72	своего предмета	1	5
73	в основе	5	5
74	в самом	1	5
75	далеко не	5	5
76	с другой	8	5
77	дистанции между	1	4
78	одним из	2	4
79	с ее	3	4
80	преимущественно в	1	4
81	входя в	1	4
82	и с	4	4
83	еще не	7	4
84	и наконец	1	4
85	входит в	1	4
86	как и	7	4
87	и для	2	4
88	и все	2	4
89	в смысле	1	4
90	в их	1	4
91	оно и	1	4
92	здесь в	1	4
93	и формы	1	4
94	лишь в	1	4
95	и от	1	4
96	и потому	2	4
97	ничего не	2	4
98	данный момент	1	4
99	на мир	1	4
100	одной стороны	7	4
101	другой стороны	4	4
102	том же	1	4
103	с одной	7	4
104	в процессе	1	4
105	один из	3	4
106	чужому слову	1	4
107	не как	2	4
108	быть и	1	4
109	с его	6	4
110	известной степени	1	4
111	в ней	3	4
112	романного слова	1	4
113	перед нами	4	4
114	меньшей степени	1	4
115	о нем	4	4
116	но именно	1	4
117	к предмету	1	4
118	и там	1	3
119	и здесь	1	3
120	в свое	1	3
121	данном случае	4	3
122	из этих	3	3
123	в него	1	3
124	и ее	2	3
125	не было	2	3
126	как такового	1	3
127	к языку	1	3
128	в себе	8	3
129	у него	4	3
130	и во	1	3
131	его и	1	3
132	более того	1	3
133	его в	2	3
134	одной из	4	3
135	в результате	2	3
136	при всем	2	3
137	европейского романа	1	3
138	для него	2	3
139	в том	18	3
140	по всей	2	3
141	к тому	7	3
142	в понимании	1	3
143	не требует	1	3
144	все время	1	3
145	в качестве	21	3
146	в свою	3	3
147	хотя бы	4	3
148	с этой	1	3
149	поэтому и	1	3
150	как только	1	3
151	никогда не	3	3
152	в первом	3	3
153	не могло	2	3
154	или менее	2	3
155	и может	1	3
156	с ними	1	3
157	точку зрения	4	3
158	именно в	6	3
159	внутренней речи	1	3
160	того что	1	3
161	как сказано	1	3
162	она не	2	3
163	он не	3	3
164	также и	1	3
165	не могут	1	3
166	и сам	1	3
167	о том	6	3
168	по существу	2	3
169	а иногда	2	3
170	которая не	1	3
171	взаимодействия с	1	3
172	всей вероятности	2	3
173	было бы	4	3
174	своего исторического	1	3
175	из них	3	3
176	от его	1	3
177	в данном	5	3
178	более или	2	3
179	в своем	2	3
180	произведения не	1	2
181	столь же	3	2
182	не могла	1	2
183	но не	5	2
184	всегда в	1	2
185	для нас	1	2
186	композиционная форма	1	2
187	первом случае	2	2
188	рассказ в	2	2
189	к единому	1	2
190	но он	1	2
191	от этого	1	2
192	на том	3	2
193	что они	3	2
194	так же	2	2
195	между собой	2	2
196	здесь не	4	2
197	связи с	4	2
198	не предполагает	5	2
199	известном смысле	2	2
200	связь с	1	2
