N	3gram	Vinokur_Vv_1	DiskursI
1	в отличие от	3	12
2	в данном случае	4	6
3	в том что	12	6
4	то же время	5	5
5	по отношению к	4	4
6	в этом отношении	3	4
7	в то же	5	4
8	с одной стороны	4	4
9	не может быть	8	3
10	о том что	12	3
11	той или иной	1	3
12	и того же	2	2
13	одной стороны и	3	2
14	в обоих случаях	1	2
15	состоит в том	2	2
16	подобно тому как	1	2
17	в соответствии с	2	2
18	в этом случае	6	2
19	что же касается	2	2
20	с точки зрения	2	2
21	заключает в себе	1	2
22	одно и то	1	2
23	и то что	2	2
24	в качестве примера	1	2
25	и то же	1	2
26	дело в том	2	2
27	в свое время	2	2
28	это еще не	2	2
29	и прежде всего	1	2
30	одного и того	2	2
31	в другом месте	2	1
32	том что в	1	1
33	мы имеем дело	1	1
34	потому что в	1	1
35	прежде всего в	1	1
36	в самом деле	5	1
37	себя в противовес	1	1
38	того или иного	1	1
39	не одно и	1	1
40	с другой стороны	5	1
41	можно говорить о	1	1
42	что в одном	1	1
43	бы то ни	1	1
44	и именно в	3	1
45	приходит к выводу	1	1
46	только то что	1	1
47	в той мере	4	1
48	одном и том	1	1
49	в этом качестве	1	1
50	в общих чертах	1	1
51	именно в этом	3	1
52	но здесь не	1	1
53	в значительной степени	1	1
54	в применении к	6	1
55	что входит в	1	1
56	дело не с	1	1
57	то ни было	1	1
58	и том же	1	1
59	говоря уже о	1	1
60	а также и	2	1
61	как будто бы	2	1
62	одно из двух	1	1
63	не могут быть	2	1
64	не в том	2	1
65	он представляет собой	1	1
66	большую или меньшую	1	1
67	быть и не	1	1
68	во главе с	1	1
69	во всяком случае	3	1
70	мере в какой	4	1
71	и той же	2	1
72	обратим внимание на	1	1
73	прежде всего он	1	1
74	с самого начала	1	1
75	может быть названо	4	1
76	но в этом	1	1
77	можно сказать что	3	1
78	один из важнейших	1	1
79	ценностей а в	1	1
80	одной и той	2	1
81	той мере в	4	1
82	тем не менее	8	1
83	но также и	9	1
84	особое отношение к	1	1
85	лицом к лицу	1	1
86	все то что	1	1
87	по крайней мере	4	1
88	значении этого термина	1	1
89	не говоря уже	2	1
