N	3gram	Tiupa_Teor_1	Myslijsy
1	более или менее	2	8
2	в том что	8	7
3	и того же	3	6
4	в свою очередь	2	6
5	одного и того	3	6
6	по крайней мере	1	5
7	тем не менее	3	5
8	а между тем	1	4
9	подобно тому как	1	4
10	в то время	1	4
11	заключает в себе	1	4
12	с одной стороны	2	3
13	не могут быть	2	3
14	и в жизни	1	2
15	а не с	1	2
16	состоит не в	1	2
17	одно и то	1	2
18	тогда как в	2	2
19	может быть названо	2	2
20	с другой стороны	5	2
21	для того чтобы	1	2
22	то же время	5	2
23	не может быть	4	2
24	но не в	1	2
25	в этом смысле	2	2
26	в то же	5	2
27	и то же	1	2
28	но на деле	1	2
29	сама по себе	1	2
30	в сравнении с	1	2
31	вбирает в себя	1	2
32	могли бы быть	1	1
33	в себе никаких	1	1
34	в том в	1	1
35	состоит в том	5	1
36	одном и том	1	1
37	дело в том	1	1
38	бы ни был	1	1
39	имеет место в	1	1
40	друг другу и	1	1
41	это было бы	1	1
42	то что они	1	1
43	друг от друга	1	1
44	и свою собственную	1	1
45	том случае если	1	1
46	в таких случаях	1	1
47	в отличие от	6	1
48	при этом что	1	1
49	бы то ни	1	1
50	из того что	1	1
51	при этом не	1	1
52	в той мере	1	1
53	потому что из	1	1
54	отчет в том	1	1
55	в себе никакого	1	1
56	со всех сторон	1	1
57	в том случае	1	1
58	в одном и	1	1
59	о а и	1	1
60	как и в	2	1
61	себе отчет в	1	1
62	то ни было	1	1
63	той мере в	1	1
64	и том же	1	1
65	между тем в	1	1
66	в каждом человеке	1	1
67	в каком мы	1	1
68	в одном случае	1	1
69	в связи с	1	1
70	внутренней и внешней	2	1
71	как более или	1	1
72	мере в какой	1	1
73	на вопрос о	1	1
74	она могла бы	1	1
75	а в том	1	1
76	в душе хотя	1	1
77	о том что	1	1
78	единиц различного объема	1	1
79	и тем самым	2	1
80	а а и	1	1
81	мы говорим о	1	1
82	внутреннее и внешнее	1	1
83	собственно говоря и	1	1
84	в большинстве случаев	1	1
85	и в слове	1	1
86	также что в	1	1
