N	3gram	Medvedev_F_2	Myslijsy
1	в том что	2	7
2	в этом случае	1	5
3	по крайней мере	1	5
4	не может быть	10	5
5	до сих пор	1	4
6	и т п	9	4
7	с тем что	5	4
8	сам по себе	3	4
9	и в этом	5	4
10	для того чтобы	3	4
11	тем не менее	1	4
12	на самом деле	3	3
13	с точки зрения	7	3
14	вместе с тем	4	3
15	в том случае	2	3
16	во всяком случае	5	3
17	и т д	5	3
18	то же время	5	3
19	мы не можем	1	3
20	в то же	5	3
21	что иное как	1	2
22	в своем развитии	1	2
23	что если бы	1	2
24	и до сих	1	2
25	то и другое	2	2
26	только в том	1	2
27	в таком случае	1	2
28	до известной степени	3	2
29	сами по себе	2	2
30	в том смысле	3	2
31	можно было говорить	1	2
32	на этот вопрос	1	2
33	но тем не	1	2
34	можно думать что	1	2
35	в данном случае	1	2
36	в общих чертах	1	2
37	не могут быть	4	2
38	так или иначе	1	2
39	все более и	1	2
40	не в том	3	2
41	один и тот	1	2
42	не было и	2	2
43	очевидно что в	1	2
44	таким образом мы	1	2
45	равно как и	1	2
46	мы говорим не	1	2
47	что и в	1	2
48	более и более	1	2
49	с тем и	2	2
50	в большинстве случаев	3	2
51	не что иное	1	2
52	и тот же	1	2
53	к дальнейшему развитию	1	1
54	том смысле что	2	1
55	из них новые	1	1
56	что же касается	1	1
57	а не в	1	1
58	что перед нами	1	1
59	лишь один из	1	1
60	в настоящее время	1	1
61	же время и	1	1
62	потому что не	1	1
63	того что язык	1	1
64	и еще более	1	1
65	смысле в каком	1	1
66	и то и	2	1
67	том случае если	1	1
68	в виду что	1	1
69	как будто несколько	1	1
70	можно говорить о	1	1
71	но и в	3	1
72	не было бы	1	1
73	в этом отношении	7	1
74	происходит таким образом	1	1
75	что в нем	2	1
76	в поэтическом произведении	1	1
77	к тому чтобы	2	1
78	поэтического произведения от	1	1
79	в данное время	1	1
80	и не может	3	1
81	языка таким образом	1	1
82	и только потому	1	1
83	и поэтическое произведение	1	1
84	а все остальное	1	1
85	и не в	2	1
86	может быть и	3	1
87	что в первый	1	1
88	и многие другие	1	1
89	ничего общего с	1	1
90	может быть что	1	1
91	могут быть названы	1	1
92	можем судить о	1	1
93	с одной стороны	1	1
94	трудная и сложная	1	1
95	смысле этого слова	1	1
96	в связи с	10	1
97	если же мы	1	1
98	одним из первых	1	1
99	как один из	1	1
100	но при этом	1	1
101	это не так	1	1
102	в свою очередь	1	1
103	один из моментов	1	1
104	а не как	1	1
105	выходя за пределы	1	1
106	лишь в том	1	1
107	до настоящего времени	1	1
108	с другой стороны	3	1
109	том смысле в	1	1
110	говорить о нем	1	1
111	в самом языке	7	1
112	быть что даже	1	1
113	в той же	1	1
114	той или другой	1	1
115	есть не что	1	1
116	таким образом в	1	1
117	иметь в виду	1	1
118	роль в истории	1	1
119	не была бы	1	1
120	области гуманитарных наук	1	1
121	в том чтобы	1	1
122	поэтического произведения с	1	1
123	фундамент на котором	1	1
124	с самого начала	2	1
125	он не есть	1	1
126	мы говорим о	2	1
127	не выходя за	1	1
128	к тому что	2	1
129	различия между этими	1	1
130	и мы получим	1	1
131	не так то	1	1
132	к действительности но	1	1
133	как и в	1	1
134	ее так и	1	1
135	но и к	1	1
136	именно в том	1	1
