N	3gram	Ircho_Kome_1	SlovoVZh
1	по отношению к	3	11
2	в том что	9	4
3	тем не менее	1	3
4	бы то ни	2	3
5	этой точки зрения	1	3
6	до сих пор	2	3
7	то ни было	2	3
8	с другой стороны	5	2
9	то же самое	2	2
10	в зависимости от	1	2
11	в отношении к	1	2
12	в данном случае	1	2
13	с одной стороны	3	2
14	но прежде всего	1	1
15	том что в	1	1
16	а между тем	1	1
17	и тому же	1	1
18	в чем не	1	1
19	следует отметить что	1	1
20	или хотя бы	1	1
21	то время как	4	1
22	более или менее	1	1
23	во всяком случае	2	1
24	мы не найдем	1	1
25	же как и	1	1
26	и таким образом	2	1
27	в то время	5	1
28	ни в чем	1	1
29	сам по себе	1	1
30	ни в коем	1	1
31	но и в	2	1
32	и независимо от	1	1
33	о том что	3	1
34	в этом отношении	3	1
35	по аналогии с	1	1
36	с самого начала	1	1
37	и прежде всего	1	1
38	можно было бы	1	1
39	то же время	4	1
40	подобно тому как	1	1
41	как мы уже	1	1
42	и здесь мы	1	1
43	или может быть	2	1
44	со всех сторон	1	1
45	в то же	4	1
46	и в каком	1	1
47	в коем случае	1	1
48	в значительной степени	1	1
49	его близости к	1	1
50	чтобы убедиться в	1	1
51	включая сюда и	1	1
52	так же как	1	1
53	степень его близости	1	1
54	как и в	2	1
55	к тому же	5	1
56	одному и тому	1	1
57	в высшей степени	1	1
58	в том же	1	1
59	и тот же	1	1
