N	2gram	Vygotskiy__1	VelikijI
1	и не	9	20
2	и в	23	16
3	так как	7	9
4	то что	17	9
5	еще не	1	8
6	в истории	1	8
7	что они	3	7
8	а не	3	7
9	и потому	2	7
10	человека и	3	6
11	но и	14	5
12	того что	15	5
13	хотя и	2	5
14	все это	6	5
15	как бы	11	5
16	говорить о	2	4
17	в его	14	4
18	и я	2	4
19	мы хотим	2	4
20	в этом	17	4
21	что он	7	4
22	потому что	6	4
23	в нем	1	4
24	так и	5	4
25	что все	4	4
26	что не	1	4
27	как и	14	4
28	что мы	5	4
29	в котором	4	4
30	в ней	1	4
31	в силах	1	4
32	и все	5	4
33	все что	1	4
34	от этого	2	3
35	и сильных	1	3
36	и что	5	3
37	хотя бы	4	3
38	то это	1	3
39	как не	1	3
40	лишь в	6	3
41	в чем	4	3
42	с его	4	3
43	во всех	3	3
44	что и	1	3
45	и будет	1	3
46	в том	24	3
47	но в	5	3
48	в вопросе	1	3
49	бы и	2	3
50	по этому	1	3
51	все эти	4	3
52	от которого	1	3
53	в конце	2	3
54	их в	4	3
55	в своей	4	3
56	и мы	3	3
57	в жизни	1	3
58	не нужна	1	3
59	ни в	4	3
60	в них	2	3
61	не было	1	3
62	должно быть	2	3
63	если не	3	3
64	в этих	2	3
65	что во	1	3
66	что я	1	3
67	не в	4	3
68	тому что	5	3
69	не имеет	2	3
70	никогда не	2	3
71	превращается в	3	3
72	и для	1	3
73	к тому	4	3
74	жизни и	2	3
75	что в	14	3
76	оно не	1	3
77	и это	3	2
78	того чтобы	17	2
79	и то	3	2
80	но мы	1	2
81	во главе	1	2
82	по которым	1	2
83	и т	1	2
84	можно было	3	2
85	его не	3	2
86	мы не	7	2
87	что от	1	2
88	и новые	1	2
89	вместо того	2	2
90	под этим	1	2
91	мы это	1	2
92	освобождения от	1	2
93	к нам	1	2
94	между тем	9	2
95	вслед за	2	2
96	которые не	3	2
97	не с	2	2
98	его к	1	2
99	только в	6	2
100	путь которым	1	2
101	уже не	2	2
102	не только	16	2
103	для него	2	2
104	решить проблему	1	2
105	не к	2	2
106	не могли	2	2
107	и никогда	1	2
108	вот почему	2	2
109	тем что	6	2
110	это не	1	2
111	т д	1	2
112	а с	4	2
113	прежде всего	10	2
114	для них	1	2
115	с тем	7	2
116	мы и	3	2
117	сознания от	1	2
118	один из	2	2
119	вопросе о	1	2
120	когда я	1	2
121	и последнее	1	2
122	этому пути	1	2
123	нет еще	1	2
124	значения и	2	2
125	что было	1	2
126	это дело	1	2
127	том что	21	2
128	а к	1	2
129	в форме	1	2
130	ее в	2	2
131	а в	2	2
132	но не	4	2
133	могут быть	3	2
134	чтобы сделать	1	2
135	всего в	2	2
136	во всяком	3	2
137	речь идет	2	1
138	эта новая	1	1
139	как мы	5	1
140	бы сделать	1	1
141	в виду	1	1
142	для себя	4	1
143	в ее	2	1
144	на вершине	1	1
145	которой так	1	1
146	в словах	2	1
147	и говорит	1	1
148	и до	2	1
149	в нашу	1	1
150	он всегда	1	1
151	не имеют	1	1
152	значение в	3	1
153	мы будем	1	1
154	образование в	1	1
155	то же	8	1
156	живет в	1	1
157	ней мы	1	1
158	из всего	1	1
159	в результате	4	1
160	по сравнению	6	1
161	вопрос о	7	1
162	и переживаний	1	1
163	только это	1	1
164	находится в	1	1
165	говорят что	1	1
166	я не	3	1
167	и ее	7	1
168	же что	1	1
169	зависимости от	2	1
170	избежать этой	1	1
171	о судьбе	2	1
172	целое и	2	1
173	в их	3	1
174	и на	8	1
175	и который	3	1
176	оно ни	1	1
177	это факт	1	1
178	что оно	3	1
179	на составные	2	1
180	от них	2	1
181	мы указывали	1	1
182	его системы	1	1
183	которое предлагалось	1	1
184	с которыми	1	1
185	в новом	3	1
186	но нет	1	1
187	что человек	1	1
188	себе и	2	1
189	бы в	5	1
190	не просто	1	1
191	хотел бы	1	1
192	крайней мере	1	1
193	это основной	1	1
194	и нам	2	1
195	это самое	1	1
196	его на	2	1
197	как в	4	1
198	оторванное от	1	1
199	это ни	1	1
200	в своем	3	1
201	потребность в	1	1
202	известном смысле	2	1
203	что нет	1	1
204	все же	3	1
