N	4gram	Voloshinov_1	EvropaiE
1	в то же время	3	14
2	с этой точки зрения	1	5
3	бы то ни было	8	4
4	так же как и	2	3
5	но в то же	2	2
6	каких бы то ни	3	2
7	и с точки зрения	1	1
8	одного и того же	5	1
9	в том числе и	2	1
10	и та и другая	1	1
11	как бы ни была	1	1
12	один и тот же	3	1
13	и прежде всего в	1	1
14	одна и та же	1	1
15	в связи с этим	3	1
16	ту или иную эпоху	1	1
17	в ту или иную	1	1
18	и до настоящего времени	1	1
19	одну и ту же	1	1
20	в большей или меньшей	1	1
21	этот вопрос мы должны	1	1
22	на этот вопрос мы	2	1
