N	2gram	Berdyaev_N_1	Stilisti
1	и в	16	42
2	не только	5	27
3	и т.п	2	24
4	прежде всего	4	22
5	хотя бы	2	17
6	но и	3	15
7	и не	11	14
8	не может	16	12
9	может быть	7	12
10	как и	7	11
11	мы уже	1	11
12	в этом	7	10
13	мы должны	1	10
14	что мы	1	10
15	мы не	2	9
16	общественной жизни	6	9
17	то что	4	9
18	в то	2	9
19	для того	1	9
20	в себе	2	8
21	с тем	3	8
22	эти слова	1	8
23	в ней	5	8
24	и это	2	8
25	в которой	1	7
26	того чтобы	2	7
27	потому что	4	7
28	а не	17	7
29	и от	2	7
30	и его	1	7
31	зависимости от	1	7
32	никогда не	6	7
33	только в	1	7
34	в зависимости	1	7
35	и на	2	7
36	с его	6	7
37	было бы	1	7
38	так как	1	7
39	так и	2	6
40	в нем	5	6
41	не в	6	6
42	когда мы	2	6
43	в конце	1	6
44	во всех	3	6
45	но ведь	1	6
46	в этой	1	6
47	в области	1	6
48	в свою	1	6
49	и с	2	5
50	слова в	1	5
51	и их	1	5
52	как это	2	5
53	вместе с	2	5
54	в той	1	5
55	в его	1	5
56	а в	2	5
57	уже в	1	5
58	можно сказать	1	4
59	так же	2	4
60	в обществе	2	4
61	всех своих	1	4
62	человека не	1	4
63	но все	1	4
64	и к	5	4
65	все время	2	4
66	у нас	1	4
67	к тому	3	4
68	связаны с	2	4
69	вопроса о	1	4
70	уже не	2	4
71	на это	1	4
72	не существует	3	4
73	в самом	1	4
74	того времени	1	4
75	но в	2	4
76	о том	4	4
77	все это	5	4
78	себя в	2	4
79	и пр	3	4
80	можно было	2	4
81	нуждается в	1	3
82	не знает	6	3
83	еще не	3	3
84	общества и	2	3
85	жизни и	8	3
86	и для	4	3
87	не к	2	3
88	и все	4	3
89	то он	1	3
90	что такое	3	3
91	в социальной	1	3
92	жизни это	1	3
93	от того	1	3
94	лишь в	6	3
95	заключает в	1	3
96	в виду	1	3
97	в ее	3	3
98	нет и	2	3
99	это не	4	3
100	и даже	2	3
101	сказать что	3	3
102	мы в	1	3
103	хотя и	2	3
104	из них	1	3
105	в котором	1	3
106	не будет	7	3
107	социальной жизни	1	3
108	роль в	2	3
109	их в	1	3
110	должно было	2	3
111	долгое время	1	3
112	конечно не	3	3
113	в будущем	2	3
114	том что	2	3
115	но для	2	3
116	все эти	2	2
117	и этот	1	2
118	для всех	1	2
119	но не	2	2
120	вопрос о	3	2
121	место в	2	2
122	значение и	1	2
123	как например	1	2
124	перейти к	3	2
125	не должно	1	2
126	что вся	1	2
127	для них	1	2
128	человека и	3	2
129	был и	1	2
130	не было	4	2
131	той социальной	1	2
132	зависит от	2	2
133	в жизни	5	2
134	к нему	1	2
135	сих пор	1	2
136	не останется	1	2
137	к которому	1	2
138	с ним	1	2
139	в значительной	1	2
140	человек не	1	2
141	в своей	3	2
142	а на	1	2
143	кризисов и	1	2
144	по своей	1	2
145	как не	8	2
146	к чему	1	2
147	существенным моментом	1	2
148	в том	8	2
149	не с	1	2
150	обращения к	1	2
151	равно как	2	2
152	как в	3	2
153	со всех	4	2
