N	3gram	Ircho_Kome_3	SlovoVZh
1	по отношению к	3	11
2	можно сказать что	1	5
3	в том что	9	4
4	и не может	1	3
5	тем не менее	3	3
6	бы то ни	2	3
7	этой точки зрения	1	3
8	до сих пор	9	3
9	то ни было	2	3
10	это не так	1	2
11	имеем в виду	1	2
12	с другой стороны	2	2
13	то же самое	3	2
14	одной стороны и	1	2
15	с точки зрения	3	2
16	в зависимости от	1	2
17	в ней как	1	2
18	в отношении к	1	2
19	в настоящее время	1	2
20	выходят за пределы	1	2
21	с одной стороны	3	2
22	зависимости от того	1	1
23	но все же	2	1
24	таким образом для	1	1
25	и тому же	1	1
26	и в этом	1	1
27	и не требует	1	1
28	то время как	2	1
29	более или менее	1	1
30	во всяком случае	3	1
31	в руках у	1	1
32	в самом деле	6	1
33	но если бы	1	1
34	в то время	2	1
35	сих пор не	1	1
36	приходится признать что	1	1
37	равно как и	1	1
38	в свою очередь	6	1
39	о том что	4	1
40	ничего общего с	1	1
41	в этом отношении	2	1
42	с самого начала	4	1
43	в конечном счете	2	1
44	если бы не	1	1
45	то же время	4	1
46	подобно тому как	1	1
47	в основе своей	1	1
48	мы имеем в	1	1
49	может быть только	1	1
50	по крайней мере	1	1
51	в то же	4	1
52	отнюдь не является	1	1
53	и в частности	1	1
54	того чтобы не	1	1
55	одно из его	1	1
56	к нему в	1	1
57	далеко не всегда	1	1
58	к тому же	4	1
59	одному и тому	1	1
60	едва ли кто-нибудь	1	1
61	в том же	1	1
