N	2gram	Bakhtin_fo_1	Analitik
1	в этом	25	18
2	не только	9	16
3	и в	50	16
4	в частности	6	16
5	так и	12	15
6	как и	8	14
7	своего рода	1	12
8	но и	8	12
9	и не	14	12
10	том что	4	12
11	в том	9	12
12	в качестве	3	11
13	при этом	3	10
14	могут быть	5	10
15	а не	3	10
16	как бы	2	10
17	в этой	1	9
18	лишь в	6	9
19	ничего не	9	9
20	в пределах	5	9
21	и даже	2	9
22	то есть	33	9
23	в целом	2	8
24	в данном	2	8
25	и т.п	4	8
26	отнюдь не	5	8
27	особенно в	1	7
28	к тому	3	7
29	а также	2	7
30	о том	1	7
31	в себе	3	7
32	то что	6	7
33	в самом	8	6
34	и на	8	6
35	но в	10	6
36	в мире	1	6
37	может быть	11	6
38	с другой	2	6
39	на себя	2	5
40	и к	2	5
41	данном случае	1	5
42	с одной	3	5
43	говорит о	1	5
44	того же	8	4
45	между двумя	6	4
46	по преимуществу	3	4
47	в сущности	3	4
48	но не	5	4
49	по отношению	3	4
50	как в	6	4
51	в своем	4	4
52	хотя и	3	4
53	в себя	1	4
54	тому же	2	4
55	то же	11	4
56	для него	2	4
57	точки зрения	5	4
58	не в	5	4
59	внутренний хронотоп	1	4
60	в конце	9	4
61	и является	2	4
62	имеет место	3	4
63	в новелле	1	4
64	времени в	7	4
65	во всех	6	4
66	только в	4	4
67	и его	16	4
68	уже не	2	4
69	у него	6	4
70	как раз	13	4
71	одной стороны	2	4
72	не может	6	4
73	и смерти	1	4
74	этом случае	1	4
75	все это	4	4
76	в один	1	4
77	отношению к	5	4
78	я и	1	3
79	и то	4	3
80	в их	6	3
81	мы имеем	1	3
82	не был	1	3
83	в центре	2	3
84	что касается	1	3
85	самом начале	1	3
86	в нашем	2	3
87	и сам	1	3
88	его от	2	3
89	попадает в	2	3
90	автора и	2	3
91	в эту	1	3
92	место в	2	3
93	не столько	1	3
94	на фоне	3	3
95	случае в	1	3
96	на себе	1	3
97	как о	1	3
98	никогда не	2	3
99	тем что	2	3
100	этом отношении	3	3
101	той или	2	3
102	как мы	14	3
103	в организации	1	3
104	приводит к	1	3
105	в результате	6	3
106	если бы	5	3
107	в словах	1	3
108	и т.д	1	3
109	что и	3	3
110	и все	6	3
111	одной из	3	3
112	с ними	1	3
113	так что	1	3
114	есть в	2	3
115	из них	1	3
116	при всей	1	3
117	только на	3	3
118	или иной	2	3
119	именно в	3	3
120	было бы	2	3
121	и за	1	3
122	этого слова	1	3
123	сюжета и	2	3
