N	3gram	Losev_Vlad_3	Tvorches
1	в то же	3	13
2	то же время	2	12
3	в том что	10	6
4	о том что	8	5
5	дело в том	5	3
6	с самого начала	1	3
7	том что в	3	2
8	на первом плане	3	2
9	точно так же	4	2
10	о свободе воли	2	2
11	в данном случае	2	2
12	не только в	1	2
13	в году в	3	2
14	и в то	2	2
15	там же с	6	2
16	тем не менее	9	2
17	он идет к	1	1
18	чем отличается от	1	1
19	как и его	1	1
20	что иное как	1	1
21	не может не	1	1
22	т ii ч	1	1
23	все это у	1	1
24	уж никак не	1	1
25	в настоящее время	3	1
26	то же самое	1	1
27	в том же	1	1
28	что же касается	5	1
29	все та же	1	1
30	он в сущности	1	1
31	до сих пор	1	1
32	хотя бы и	3	1
33	в отличие от	3	1
34	у него не	1	1
35	в первую очередь	1	1
36	на самом же	2	1
37	только то что	1	1
38	то что в	3	1
39	же самое время	1	1
40	а вместе с	1	1
41	бы то ни	3	1
42	это вовсе не	1	1
43	то и другое	1	1
44	вместе с тем	6	1
45	и далеко не	1	1
46	и тем не	1	1
47	у него была	1	1
48	и что в	1	1
49	в этой области	1	1
50	то ни было	1	1
51	с одной стороны	3	1
52	в один ряд	1	1
53	в конце концов	5	1
54	один ряд с	1	1
55	он говорит о	1	1
56	в известном смысле	1	1
57	же именно в	1	1
58	без специальных оговорок	1	1
59	такой же как	1	1
60	в связи с	2	1
61	что он как	1	1
62	для всего мира	1	1
63	самом же деле	2	1
64	бросается в глаза	2	1
65	не мог не	1	1
66	у него и	1	1
67	от апреля года	1	1
68	у него в	4	1
69	бытие в котором	1	1
70	не был бы	1	1
71	он принадлежит к	1	1
72	мы находим у	1	1
73	имел в виду	1	1
74	заключается в том	1	1
75	то к чему	1	1
76	остался у него	1	1
77	это значит что	6	1
78	это есть отношение	1	1
79	с другой стороны	2	1
80	что в душе	1	1
81	бы он ни	1	1
82	то есть о	2	1
83	за два года	1	1
84	важную роль в	1	1
85	не что иное	1	1
86	к тому что	2	1
87	мало чем отличается	1	1
88	в согласии с	2	1
89	не имеют для	1	1
90	к тому же	5	1
91	в бытность свою	1	1
92	на наш взгляд	1	1
93	правды и добра	1	1
