N	2gram	Nazirov_Tr_1	Problemy
1	и не	7	31
2	и в	18	29
3	в его	3	24
4	может быть	7	24
5	в этом	9	22
6	а не	1	22
7	т е	1	21
8	в нем	4	19
9	как бы	7	19
10	для него	3	18
11	у достоевского	5	16
12	не только	8	15
13	то что	4	15
14	то же	5	14
15	не как	1	14
16	и его	6	14
17	рядом с	1	14
18	но и	4	14
19	уже не	2	13
20	достоевского в	3	12
21	роман достоевского	2	12
22	достоевского не	1	12
23	таким образом	1	12
24	как и	5	12
25	романа достоевского	2	12
26	не может	5	12
27	о себе	1	12
28	в самом	2	10
29	из подполья	1	10
30	в то	5	10
31	только в	1	10
32	в одном	2	10
33	героя и	1	10
34	все эти	3	9
35	с его	2	9
36	все же	5	9
37	это не	5	9
38	же время	6	9
39	о нем	1	9
40	но не	1	9
41	в романе	10	9
42	последнее слово	1	8
43	что в	4	8
44	по себе	1	8
45	творчества достоевского	1	8
46	в том	2	8
47	что он	6	8
48	потому что	2	8
49	до конца	2	8
50	в своем	3	8
51	в своей	1	8
52	а как	2	7
53	и на	7	7
54	за пределы	1	7
55	и как	3	7
56	но в	6	7
57	в себе	4	7
58	самого автора	1	7
59	достоевского и	1	7
60	том что	4	7
61	не в	2	7
62	она не	1	7
63	так и	5	7
64	мире достоевского	1	7
65	в форме	1	7
66	прежде всего	4	7
67	в романах	1	7
68	одним из	1	6
69	самом деле	1	6
70	так же	4	6
71	как в	3	6
72	сливается с	1	6
73	в целом	4	6
74	что она	2	6
75	в мире	3	6
76	его в	2	6
77	несмотря на	5	6
78	достоевского но	1	6
79	в самой	1	6
80	могут быть	1	6
81	к нему	3	6
82	говорит он	1	6
83	достоевский в	7	6
84	в конце	3	6
85	и потому	1	6
86	не могут	2	6
87	все это	4	6
88	это и	1	5
89	должна быть	1	5
90	той же	1	5
91	у него	6	5
92	романах достоевского	2	5
93	перед нами	2	5
94	он не	2	5
95	но все	2	5
96	он и	2	5
97	или как	1	5
98	и это	2	5
99	и о	1	5
100	еще не	4	5
101	с ним	3	5
102	ничего не	2	5
103	между тем	1	5
104	именно в	1	5
105	и др	1	5
106	произведениях достоевского	1	5
107	конце концов	1	5
108	для достоевского	2	5
109	во всяком	1	5
110	и т	1	4
111	ивана карамазова	2	4
112	романа не	1	4
113	и наконец	1	4
114	стиля и	1	4
115	бы и	2	4
116	в этой	4	4
117	так сказать	1	4
118	перестает быть	1	4
119	не значит	1	4
120	должно быть	3	4
121	но эта	2	4
122	раз и	2	4
123	как мы	1	4
124	достоевского к	1	4
125	и с	7	4
126	но у	1	4
127	в литературе	1	4
128	он есть	1	4
129	тем что	2	4
130	что и	2	4
131	как же	2	4
132	не было	1	4
133	его как	1	4
134	но это	4	4
135	в результате	1	4
136	например в	1	3
137	я не	4	3
138	он сам	7	3
139	он в	1	3
140	уже в	3	3
141	и до	2	3
142	лишь на	1	3
143	тому что	1	3
144	на котором	1	3
145	одна из	2	3
146	достоевский не	4	3
147	никогда не	2	3
148	как будто	3	3
149	в духе	1	3
150	и здесь	2	3
151	все в	1	3
152	в них	1	3
153	романа как	1	3
154	мысль он	1	3
155	романа в	1	3
156	романа и	3	3
157	но как	1	3
158	героя с	1	3
159	не из	1	3
160	всяком случае	1	3
161	ни в	2	3
162	т п	1	3
163	друг друга	2	3
164	в человеке	1	3
165	такой образ	1	3
166	бы в	1	3
167	только он	1	2
168	если б	2	2
169	и есть	1	2
170	на западе	1	2
171	и могут	1	2
172	в которой	1	2
173	вопрос о	2	2
174	на себя	1	2
175	как свой	1	2
176	в ней	1	2
177	автора но	2	2
178	отношение к	2	2
179	в настоящем	1	2
180	так что	2	2
181	в истории	1	2
182	в той	1	2
183	идеи но	1	2
184	в россии	1	2
185	но этого	2	2
186	здесь мы	1	2
187	же не	1	2
188	при этом	3	2
189	с начала	1	2
190	со своими	1	2
191	в котором	1	2
192	но он	1	2
193	но они	2	2
194	ту сторону	1	2
195	самого начала	1	2
196	связи с	1	2
197	входят в	1	2
198	к себе	1	2
199	что оно	1	2
200	данном случае	2	2
201	и что	4	2
202	и сам	3	2
203	начала и	1	2
204	на вопрос	1	2
205	кто он	1	2
206	для самого	1	2
207	один из	3	2
208	мы видим	1	2
209	хотя бы	1	2
210	и ее	2	2
211	именно на	1	2
212	то и	2	2
213	него нет	1	2
214	одно из	1	2
215	и даже	4	2
216	все время	1	2
217	социальной жизни	1	2
218	на этот	1	2
219	в данном	2	2
220	для понимания	1	2
221	с этой	1	2
222	в условиях	1	2
223	романа с	1	2
224	можно было	1	2
225	из тех	1	2
226	и от	1	2
227	не есть	1	2
228	есть и	1	2
229	эта новая	1	1
230	на творчество	1	1
231	замысел его	1	1
232	эта тема	1	1
233	же по	1	1
234	прием и	1	1
235	в первом	2	1
236	из самых	2	1
237	мудрено что	2	1
238	также что	1	1
239	на две	1	1
240	она все	2	1
241	исходит из	1	1
242	и за	2	1
243	который в	2	1
244	достоевский но	1	1
245	как во	1	1
246	достоевский прямо	1	1
247	по замыслу	2	1
248	не способен	1	1
249	и он	3	1
250	и мира	1	1
251	во всех	1	1
252	в двойнике	1	1
253	тогда как	1	1
254	и достоевский	1	1
255	его романа	1	1
256	к сожалению	1	1
257	столкновение с	1	1
258	несколько раз	1	1
259	что именно	1	1
260	вот как	1	1
261	дистанция между	1	1
262	не удалась	1	1
263	но несмотря	1	1
264	слова он	1	1
265	лежит печать	1	1
266	впечатление что	2	1
267	поэтому он	1	1
268	со своей	1	1
269	автор в	1	1
270	отказывается от	2	1
