N	2gram	Berdyaev_O_1	Poddanst
1	не только	11	17
2	и в	19	14
3	и не	13	12
4	в этом	12	10
5	в отношении	1	10
6	но в	2	9
7	в том	5	9
8	хотя бы	3	8
9	в ней	1	6
10	было бы	3	6
11	но и	13	6
12	быть может	3	6
13	отношении к	1	5
14	россии в	2	5
15	может быть	11	5
16	и пр	1	5
17	не в	11	5
18	и о	2	5
19	если бы	1	4
20	в своем	2	4
21	и к	2	4
22	как бы	3	4
23	том что	2	4
24	не может	4	4
25	и потому	2	4
26	в котором	1	4
27	по себе	2	4
28	в русской	3	4
29	что в	4	4
30	а в	5	4
31	то что	5	4
32	мы не	1	3
33	это не	3	3
34	хотя и	2	3
35	и как	1	3
36	с ними	1	3
37	в себе	3	3
38	в нем	10	3
39	в россии	5	3
40	для того	3	3
41	заключается в	1	3
42	прежде всего	9	3
43	с тем	2	3
44	и без	1	3
45	но не	1	3
46	могут быть	3	3
47	т е	4	3
48	потому что	9	3
49	и это	1	2
50	отношения к	1	2
51	например в	1	2
52	в ее	2	2
53	и есть	3	2
54	в мире	1	2
55	есть не	1	2
56	по сравнению	1	2
57	но к	1	2
58	в которую	1	2
59	со стороны	1	2
60	в русском	1	2
61	того что	3	2
62	духа и	1	2
63	ii в	1	2
64	к чему	1	2
65	бы ни	1	2
66	думать что	1	2
67	но о	1	2
68	и других	1	2
69	в его	7	2
70	из них	1	2
71	в силу	1	2
72	и вот	3	2
73	и с	2	2
74	может ли	1	2
75	здесь нужно	1	2
76	в жизни	1	2
77	в них	1	2
78	не было	9	2
79	а не	11	2
80	должно быть	2	2
81	духовную жизнь	1	2
82	ней не	1	2
83	для тех	1	2
84	все это	6	2
85	на этих	1	2
86	одна из	1	2
87	мысль о	2	2
88	да и	1	2
89	еще более	1	2
90	православия и	1	2
91	заключает в	1	2
92	подошел к	1	2
93	в частности	1	2
94	и русского	1	2
95	не исчезнет	1	1
96	также и	1	1
97	с другом	1	1
98	и через	1	1
99	не очень	2	1
100	связана с	1	1
101	и то	2	1
102	тем же	1	1
103	в иных	1	1
104	и этим	2	1
105	и осмыслить	1	1
106	есть путь	1	1
107	должна быть	1	1
108	стремиться к	1	1
109	не с	1	1
110	особенно в	1	1
111	по природе	1	1
112	в борьбе	1	1
113	и государстве	1	1
114	идти в	1	1
115	в эпоху	1	1
116	находится в	1	1
117	не вполне	1	1
118	и ее	3	1
119	и здесь	1	1
120	с разных	2	1
121	и что	1	1
122	еще не	3	1
123	и на	2	1
124	он был	8	1
125	с того	1	1
126	с его	4	1
127	вопросу о	1	1
128	можно наметить	1	1
129	с трудом	1	1
130	в противоречии	1	1
131	не все	2	1
132	что и	2	1
133	и достоевский	1	1
134	и чем	1	1
135	в явлении	1	1
136	в истории	2	1
137	которой в	1	1
138	что во	1	1
139	и мир	1	1
140	все же	2	1
141	вопросом о	2	1
142	духа в	1	1
143	в самом	5	1
144	в которой	2	1
145	бы и	1	1
146	что это	1	1
147	их не	2	1
148	вопрос об	1	1
149	представляет собой	1	1
150	есть для	1	1
151	в эти	1	1
152	человека с	1	1
153	это от	1	1
154	откровения и	1	1
155	только один	1	1
156	уже в	2	1
157	на то	1	1
158	в мир	1	1
159	достижений и	1	1
160	мир в	1	1
161	одно из	2	1
162	есть та	1	1
163	свои собственные	1	1
164	само по	1	1
165	и везде	1	1
166	в каждом	1	1
167	из всех	1	1
168	его в	2	1
169	в душе	2	1
170	было и	1	1
171	а с	1	1
172	и недостаточно	1	1
173	что не	4	1
174	в это	1	1
175	но есть	1	1
176	с богом	2	1
177	в этой	5	1
178	как и	6	1
179	и я	1	1
180	ведет к	1	1
181	раскрывается в	5	1
182	нисколько не	1	1
183	в одно	1	1
184	соотношений и	1	1
185	и путь	1	1
186	которой человечество	1	1
187	в творчестве	5	1
188	бытия как	1	1
189	всяком случае	1	1
190	все основные	1	1
191	мысли и	3	1
192	вопрос о	10	1
193	сравнению с	1	1
194	любовь и	1	1
195	эта не	1	1
196	что было	1	1
197	как к	2	1
198	и более	1	1
199	друг с	1	1
200	распадается на	1	1
201	и менее	1	1
202	которая ни	1	1
203	и очень	2	1
204	нет никакого	1	1
205	что есть	2	1
206	ума с	1	1
207	с которой	2	1
208	она не	1	1
209	она должна	1	1
210	противоречии с	1	1
211	в сферу	1	1
212	к победе	1	1
213	того чтобы	4	1
214	не имеет	2	1
215	никогда не	9	1
216	в отношениях	1	1
217	такое ощущение	1	1
218	этом мире	2	1
219	христа и	1	1
220	уверенность что	1	1
221	в этих	3	1
222	нет ничего	7	1
223	есть у	1	1
224	в движении	1	1
225	что все	2	1
226	в других	2	1
227	ни к	1	1
228	всего что	1	1
229	к этой	2	1
230	не есть	2	1
231	все еще	2	1
232	русской литературы	1	1
233	во всяком	1	1
