1	и в	22	43
2	и не	21	29
3	т е	16	26
4	может быть	6	23
5	как бы	3	22
6	не может	3	18
7	в пределах	2	16
8	но и	4	14
9	как и	3	14
10	в этом	8	13
11	точки зрения	4	13
12	что он	8	13
13	и т	4	13
14	в нем	3	12
15	в одном	2	12
16	не в	4	11
17	не только	5	11
18	в каждом	1	11
19	как мы	2	10
20	в его	8	10
21	прежде всего	5	10
22	и на	2	10
23	но в	5	10
24	в сущности	2	9
25	т п	4	9
26	он не	5	9
27	никогда не	3	9
28	еще не	6	9
29	в большинстве	1	9
30	с точки	3	8
31	и его	6	8
32	то же	7	8
33	или в	1	8
34	а не	4	7
35	перед нами	1	7
36	до сих	9	7
37	в самом	9	7
38	то что	4	7
39	в то	6	7
40	сих пор	9	7
41	и сам	5	7
42	в другом	2	7
43	к себе	5	7
44	слова с	1	7
45	к одному	1	6
46	при этом	7	6
47	приводит к	3	6
48	здесь не	2	6
49	не как	2	6
50	и наконец	1	6
51	и все	2	6
52	в котором	2	6
53	что я	1	6
54	в том	12	6
55	у него	4	6
56	в этих	1	6
57	хотя и	5	5
58	к нему	5	5
59	было бы	3	5
60	все эти	1	5
61	да и	1	5
62	все это	5	5
63	никак не	1	5
64	же время	5	5
65	а что	1	5
66	у меня	1	5
67	бы в	4	5
68	и он	2	5
69	и что	6	5
70	вовсе не	4	5
71	в слове	1	5
72	но не	1	5
73	на то	3	5
74	а в	7	5
75	в себе	4	5
76	отношению к	3	5
77	самом деле	6	5
78	на фоне	1	5
79	так что	6	5
80	о том	8	5
81	к другому	1	5
82	и с	4	5
83	по отношению	5	5
84	таким образом	12	5
85	если же	2	4
86	с собой	1	4
87	не могут	2	4
88	я не	1	4
89	я ведь	2	4
90	но он	1	4
91	с другом	1	4
92	же не	1	4
93	т д	1	4
94	и до	1	4
95	ни одного	1	4
96	а как	2	4
97	во время	6	4
98	в своей	5	4
99	отличие от	2	4
100	что в	5	4
101	к тому	6	4
102	их в	3	4
103	из одного	1	4
104	да что	2	4
105	с другой	4	4
106	с его	3	4
107	совершенно не	2	4
108	во всех	2	4
109	и это	2	4
110	себе и	1	4
111	как его	1	4
112	как раз	6	4
113	только в	1	4
114	друг с	1	4
115	на этот	3	4
116	в них	3	4
117	до конца	4	4
118	в отличие	1	4
119	между ними	2	4
120	человека в	2	4
121	не на	1	4
122	в результате	2	4
123	далеко не	3	4
124	в своем	8	4
125	мы не	2	4
126	так как	11	4
127	том же	1	4
128	и здесь	4	3
129	в одной	1	3
130	в их	2	3
131	могут быть	1	3
132	если бы	8	3
133	он с	1	3
134	в произведениях	2	3
135	тому же	6	3
136	образом и	1	3
137	другой стороны	2	3
138	так я	2	3
139	с ним	5	3
140	и для	4	3
141	того же	6	3
142	и даже	3	3
143	во всем	1	3
144	но при	2	3
145	себя и	2	3
146	здесь нет	4	3
147	такой же	1	3
148	ничего не	3	3
149	тот же	2	3
150	он и	2	3
151	по существу	2	3
152	только на	1	3
153	себе самом	1	3
154	его в	8	3
155	когда он	4	3
156	тем что	5	3
157	и со	2	3
158	той же	1	3
159	можно было	2	3
160	за пределы	2	3
161	не хочет	5	3
162	что и	8	3
163	к самому	1	3
164	он сам	1	3
165	со всеми	1	3
166	в виду	2	3
167	и к	3	3
168	и ее	2	3
169	и рассказ	1	3
170	между тем	2	3
171	она не	2	3
172	не менее	5	3
173	в себя	1	3
174	так и	4	3
175	на него	4	3
176	более или	1	3
177	он был	4	3
