N	3gram	Vygotskiy__4	VrazhdaK
1	как и у	1	3
2	в связи с	3	3
3	имел в виду	1	3
4	с точки зрения	11	2
5	и что в	2	2
6	не может быть	1	2
7	в том что	31	2
8	это то что	1	1
9	далеко не все	1	1
10	равно как и	1	1
11	в этом смысле	8	1
12	в том же	1	1
13	на первый план	4	1
14	до сих пор	1	1
15	в той же	1	1
16	при этом он	1	1
17	в этом отношении	7	1
18	точно так же	3	1
19	и то что	4	1
20	одно и то	6	1
21	о том как	1	1
22	едва ли не	1	1
23	так же как	5	1
24	и что он	1	1
25	в высшей степени	2	1
26	в конце концов	1	1
27	и то же	6	1
28	по нашему мнению	2	1
29	а с другой	2	1
30	что к этому	1	1
31	и во всей	1	1
32	все же не	1	1
33	друг друга при	1	1
34	во всяком случае	3	1
35	с другой стороны	8	1
36	как бы в	1	1
37	шаг за шагом	1	1
38	тем не менее	1	1
39	что они не	1	1
40	заключается в том	14	1
41	в то время	1	1
42	в истории человечества	1	1
43	в свою очередь	2	1
44	о том что	3	1
45	не только не	5	1
46	на этот раз	1	1
47	с помощью которых	1	1
48	на то что	4	1
49	что уже в	1	1
50	то что они	2	1
51	речь идет о	3	1
