N	2gram	Tiupa_Disk_1	VerxiiNi
1	и в	16	26
2	таким образом	3	22
3	с тем	1	18
4	в этом	15	15
5	вместе с	1	15
6	точки зрения	3	13
7	как бы	5	12
8	в том	23	11
9	из этих	1	10
10	не только	28	10
11	может быть	17	10
12	связи с	4	9
13	в области	1	9
14	но и	14	9
15	что в	4	9
16	но не	11	8
17	с другой	10	8
18	и не	11	8
19	но в	8	7
20	но все	1	7
21	из них	3	7
22	том что	19	7
23	потому что	4	7
24	в эпоху	5	7
25	к нему	1	7
26	с одной	9	7
27	то что	5	7
28	а с	5	7
29	одной стороны	9	7
30	того же	3	6
31	представление о	1	6
32	все же	3	6
33	в себе	7	6
34	всяком случае	1	6
35	с точки	1	6
36	к тому	5	6
37	так и	8	6
38	и т.д	4	6
39	о том	8	6
40	в конце	1	6
41	что и	3	6
42	несмотря на	1	6
43	и потому	3	6
44	мы должны	1	6
45	во всяком	2	6
46	отношение к	4	5
47	сих пор	1	5
48	и к	4	5
49	тому же	5	5
50	в силу	5	5
51	в мире	1	5
52	лишь в	4	5
53	или менее	2	5
54	по крайней	2	5
55	не имеет	1	5
56	никогда не	2	5
57	образом в	1	5
58	в его	7	5
59	крайней мере	2	5
60	до сих	1	5
61	а не	22	5
62	одной из	4	5
63	более или	2	5
64	том числе	2	5
65	в котором	5	4
66	то же	7	4
67	целый ряд	2	4
68	в самом	3	4
69	учение о	1	4
70	в этой	2	4
71	и по	2	4
72	то есть	20	4
73	с другими	1	4
74	он не	1	4
75	далеко не	10	4
76	богами и	1	4
77	в которых	4	4
78	в то	3	4
79	в нем	9	4
80	а в	5	4
81	числе и	2	4
82	и что	2	4
83	только в	7	4
84	к своим	1	4
85	ничем не	1	4
86	не может	9	4
87	в смысле	1	4
88	и от	1	4
89	в этих	1	4
90	во время	1	4
91	что он	4	4
92	в виде	1	4
93	не вполне	1	3
94	если в	1	3
95	в своем	6	3
96	и нет	1	3
97	когда он	2	3
98	и как	6	3
99	в которой	1	3
100	что это	1	3
101	и те	1	3
102	при этом	13	3
103	и при	1	3
104	тем не	1	3
105	если бы	1	3
106	то с	2	3
107	не менее	2	3
108	представляет собой	17	3
109	к концу	1	3
110	и о	4	3
111	но по	1	3
112	с самого	1	3
113	можно сказать	5	3
114	в значительной	2	3
115	того что	3	3
116	хотя бы	3	3
117	в качестве	34	3
118	уже не	4	3
119	для него	4	3
120	в одном	2	3
121	к ним	3	3
122	и даже	3	3
123	с ней	1	3
124	в связи	1	3
125	в рамках	5	3
126	с этой	1	3
127	в результате	1	3
128	у них	1	3
129	отношению к	9	3
130	и другие	1	3
131	к этому	2	3
132	в таком	1	3
133	говорили о	2	2
134	одним из	2	2
135	и это	1	2
136	мы имеем	2	2
137	еще не	14	2
138	и на	5	2
139	с его	4	2
140	во всех	5	2
141	различия между	3	2
142	в новом	2	2
143	отличаются от	1	2
144	некоторые из	1	2
145	он в	1	2
146	на то	1	2
147	они в	1	2
148	не к	1	2
149	не как	4	2
150	состоит в	9	2
151	те же	1	2
152	на все	1	2
153	с целью	1	2
154	в них	4	2
155	не всегда	2	2
156	мы видели	1	2
157	которые в	1	2
158	не в	7	2
159	в россии	1	2
160	как от	1	2
161	вплоть до	1	2
162	самого начала	1	2
163	для каждого	1	2
164	стадии развития	2	2
165	не могло	2	2
166	же время	4	2
167	и является	1	2
168	так например	2	2
169	этом отношении	1	2
170	ему в	2	2
171	не могут	1	2
172	выход из	1	2
173	и другой	1	2
174	отличается от	2	2
175	той или	3	2
176	но при	3	2
177	и сами	1	2
178	приводит к	2	2
179	не с	3	2
180	особенно в	1	2
181	не исчерпывается	1	2
182	мысль о	1	2
183	в виду	2	2
184	гораздо менее	1	2
185	к одной	1	2
186	а также	8	2
187	должно было	1	2
188	между тем	4	2
189	вслед за	1	2
190	наконец в	1	2
191	еще только	1	2
192	быть и	1	2
193	по своей	11	2
194	один из	3	2
195	и действительно	1	2
196	со всеми	1	2
197	для всех	1	2
198	уже в	2	2
199	в начале	2	2
200	свидетельствует о	2	2
201	мы можем	1	2
202	не исключая	1	2
203	из своих	1	2
204	или иной	5	2
205	именно в	3	2
206	по своим	4	2
207	к которому	2	2
208	прежде всего	11	2
209	выступает в	1	2
210	связано с	1	2
211	не было	7	2
212	может ли	1	2
213	и все	2	2
214	всех других	1	2
215	в одно	1	2
216	требует от	1	2
217	по своему	3	2
218	поэтому что	1	2
219	же самое	2	2
220	при таком	1	2
221	о котором	2	2
222	в свою	3	2
223	в процессе	5	2
224	сказать что	3	2
225	к его	2	2
226	одновременно и	2	2
227	рассказами о	1	2
228	как известно	1	1
229	можно говорить	1	1
230	речь идет	1	1
231	языка с	2	1
232	таком случае	1	1
233	чтобы не	1	1
234	самом деле	1	1
235	это и	1	1
236	и есть	2	1
237	которое мы	1	1
238	тем же	1	1
239	в первом	3	1
240	и до	1	1
241	и требует	2	1
242	этом направлении	1	1
243	той же	1	1
244	а как	1	1
245	мы не	1	1
246	бы и	1	1
247	в сущности	2	1
248	совпадает с	2	1
249	мы и	1	1
250	не всякого	1	1
251	к общему	1	1
252	на них	1	1
253	быть в	1	1
254	что его	1	1
255	в чем	1	1
256	события в	2	1
257	до настоящего	1	1
258	сказать и	2	1
259	и всякий	1	1
260	в сторону	4	1
261	по отношению	9	1
262	что так	1	1
263	отличие от	5	1
264	что они	1	1
265	себя в	2	1
266	идет о	1	1
267	обращение не	1	1
268	в одной	3	1
269	как в	10	1
270	как к	2	1
271	с их	1	1
272	что касается	2	1
273	которую нельзя	1	1
274	это тоже	1	1
275	его к	1	1
276	священное писание	1	1
277	себе не	3	1
278	лицу с	1	1
279	следует сказать	1	1
280	от этого	1	1
281	к чему	1	1
282	не приходится	2	1
283	не был	1	1
284	в нашем	1	1
285	отчасти и	1	1
286	не более	2	1
287	что к	1	1
288	вследствие этого	3	1
289	так сказать	2	1
290	на его	4	1
291	к искусству	2	1
292	время и	1	1
293	в нашей	1	1
294	в xvii	1	1
295	всех этих	1	1
296	в первую	1	1
297	к одному	1	1
298	порвать с	1	1
299	и более	1	1
300	новое и	1	1
301	на земле	1	1
302	на этом	2	1
303	что она	1	1
304	человека в	2	1
305	не следует	2	1
306	этом последнем	1	1
307	бы быть	3	1
308	а по	2	1
309	себя не	1	1
310	говорить не	1	1
311	это было	2	1
312	заключается в	3	1
313	было в	2	1
314	о народных	1	1
315	первую очередь	1	1
316	это не	3	1
317	было бы	1	1
318	на почве	1	1
319	чаще всего	1	1
320	как объекты	1	1
321	не самой	1	1
322	в жизни	1	1
323	к области	2	1
324	не предусмотренных	1	1
325	о которых	1	1
326	соответствии с	2	1
327	в формуле	1	1
328	в слове	1	1
329	как и	16	1
330	изучения всех	1	1
331	было лишено	1	1
332	оно имеет	1	1
333	восходят к	1	1
334	и того	3	1
335	одного и	2	1
