N	4gram	Losev_Vlad_3	VeschiIm
1	бы то ни было	1	9
2	не что иное как	1	8
3	одно и то же	1	5
4	в то же время	2	4
5	и в то же	2	3
6	дело в том что	4	2
7	с этой точки зрения	1	2
8	то это значит что	4	2
9	заключается в том что	1	2
10	и тем не менее	1	1
11	с одной стороны и	2	1
12	что бы то ни	2	1
13	какой бы то ни	1	1
14	еще и потому что	2	1
15	не есть только логика	1	1
16	стоит на точке зрения	1	1
17	имеет никакого отношения к	1	1
18	в то время как	2	1
19	есть только логика и	1	1
20	даже и не только	1	1
21	и вместе с тем	2	1
22	тоже никуда не годится	1	1
23	в том что он	1	1
24	не имеет никакого отношения	1	1
25	никакого отношения ни к	1	1
26	содержит в себе и	2	1
27	свидетельствует о том что	2	1
28	ничего общего ни с	1	1
29	в том что это	1	1
30	а тем не менее	1	1
31	также и то что	2	1
32	не входя в подробности	1	1
33	если подойти к делу	1	1
