N	3gram	Nazirov_Tv_1	Russkaja
1	то же время	12	10
2	в то же	13	10
3	в том что	6	7
4	на самом деле	2	6
5	до сих пор	1	5
6	бы то ни	1	4
7	не может не	1	3
8	вместе с тем	1	3
9	в данном случае	2	3
10	к вопросу о	1	3
11	в конце концов	1	3
12	точно так же	2	2
13	в настоящее время	1	2
14	что он не	1	2
15	с самим собой	1	2
16	но она не	1	2
17	о том что	5	2
18	к тому что	1	2
19	перед самим собой	1	1
20	и того же	1	1
21	самим собой в	2	1
22	чтобы мы были	1	1
23	он на самом	1	1
24	верит в возможность	1	1
25	прежде всего на	1	1
26	то есть не	2	1
27	дело в том	3	1
28	в свою очередь	1	1
29	по отношению к	1	1
30	то же самое	1	1
31	в том же	1	1
32	может быть назван	1	1
33	он не может	1	1
34	и в других	1	1
35	и вот в	1	1
36	только то что	1	1
37	за то что	1	1
38	заключает в себе	1	1
39	что все это	3	1
40	по крайней мере	2	1
41	то и другое	1	1
42	и что в	1	1
43	отказаться от своей	1	1
44	он как будто	1	1
45	но в то	4	1
46	то ни было	1	1
47	но при этом	1	1
48	и как бы	1	1
49	не только для	1	1
50	в связи с	1	1
51	и все же	3	1
52	заключается в том	1	1
53	говорить о том	1	1
54	с самого начала	3	1
55	он верит в	1	1
56	одного и того	1	1
57	сплошь и рядом	1	1
58	тем не менее	2	1
59	в согласии с	1	1
60	на первый взгляд	1	1
61	к тому же	1	1
