N	3gram	Potebnia_M_2	Formalny
1	не может быть	2	14
2	на самом деле	2	12
3	в то же	2	7
4	то же время	2	7
5	во всяком случае	7	6
6	и т д	3	6
7	и т п	3	5
8	с другой стороны	2	5
9	подобно тому как	4	4
10	и не может	1	4
11	в связи с	1	4
12	бы то ни	1	4
13	то ни было	1	4
14	в большинстве случаев	1	4
15	для того чтобы	2	4
16	вместе с тем	1	3
17	в том что	7	3
18	в этом смысле	2	2
19	нам кажется что	2	2
20	о том как	1	2
21	сами по себе	7	2
22	в отличие от	1	2
23	может быть только	1	2
24	дело в том	1	2
25	мы видели что	1	2
26	мы не можем	3	2
27	так и в	2	2
28	как бы ни	3	2
29	тем не менее	5	2
30	смысле этого слова	3	2
31	и того же	6	1
32	предмет на который	1	1
33	а потому что	1	1
34	содержание и форма	1	1
35	и в общем	1	1
36	было бы невозможно	5	1
37	действительно имеет место	1	1
38	что в слове	2	1
39	лишь в той	1	1
40	потому что душа	2	1
41	бы ни был	1	1
42	место в целом	1	1
43	и человека в	1	1
44	один и тот	1	1
45	в этом случае	1	1
46	что же касается	1	1
47	же касается до	1	1
48	от а к	1	1
49	того как мы	1	1
50	от одного к	2	1
51	сам по себе	4	1
52	потому что и	1	1
53	тому как в	1	1
54	друг на друга	1	1
55	из того что	1	1
56	в собственном смысле	1	1
57	с тем что	1	1
58	при этом не	1	1
59	слово взятое в	1	1
60	в той мере	1	1
61	взятом отдельно независимо	1	1
62	отношения между ними	1	1
63	отдельно независимо от	1	1
64	со всех сторон	1	1
65	с этой точки	1	1
66	до сих пор	4	1
67	и тем не	1	1
68	и в жизни	2	1
69	и в других	1	1
70	есть исключительная принадлежность	1	1
71	нечто общее с	2	1
72	но в таком	1	1
73	и тогда когда	2	1
74	от того что	4	1
75	и сами по	3	1
76	но мы видели	1	1
77	между ними не	1	1
78	не потому что	1	1
79	между ними в	1	1
80	из виду что	1	1
81	с одной стороны	3	1
82	и тот же	1	1
83	только один из	1	1
84	а не иначе	1	1
85	если бы в	1	1
86	так а не	1	1
87	это не так	1	1
88	что это не	1	1
89	мере того как	4	1
90	не в том	2	1
91	в таком случае	2	1
92	мере в какой	1	1
93	и той же	1	1
94	но так как	1	1
95	между тем как	2	1
96	о том что	1	1
97	пространство и в	1	1
98	но столь же	1	1
99	а не наоборот	1	1
100	мы можем сказать	1	1
101	может и не	1	1
102	вместе с этим	1	1
103	выйти за пределы	1	1
104	с самого начала	2	1
105	и в самом	1	1
106	не только на	1	1
107	та форма в	1	1
108	но все же	1	1
109	одного к другому	2	1
110	у нас в	1	1
111	на то что	3	1
112	одного и того	6	1
113	которые могут быть	1	1
114	в слове есть	1	1
115	этого слова и	1	1
116	одной и той	1	1
117	и их сочетания	1	1
118	из необходимых условий	1	1
119	сама по себе	2	1
120	одно из необходимых	1	1
121	той мере в	1	1
122	как и в	1	1
123	по мере того	4	1
124	есть одно из	1	1
125	тот для кого	1	1
126	во все стороны	1	1
