1	в связи с	3	5
2	в том числе	1	4
3	и в других	2	4
4	об амуре и	1	3
5	до сих пор	5	3
6	по отношению к	2	3
7	в то время	2	3
8	мы уже говорили	1	3
9	не может быть	1	3
10	но и в	1	2
11	не только в	1	2
12	с самого начала	1	2
13	также и в	1	2
14	с точки зрения	1	2
15	как если бы	1	2
16	то время как	2	2
17	но все же	2	2
18	к тому же	2	2
19	в соответствии с	1	2
20	в том что	5	2
21	равно как и	1	2
22	соответствии с этим	1	2
23	в буквальном смысле	1	2
24	с одной стороны	2	2
25	так же как	1	2
26	как и в	2	2
27	может быть и	1	2
28	и прежде всего	1	2
29	вместе с тем	1	2
30	но вместе с	1	1
31	этого мотива но	1	1
32	с этим в	1	1
33	друг другу но	1	1
34	герой женится на	2	1
35	во всем мире	1	1
36	их может быть	1	1
37	таким образом и	2	1
38	в дальнейшем в	1	1
39	и вступает в	1	1
40	и в быту	1	1
41	в каких формах	1	1
42	мы уже видели	3	1
43	и приходит к	1	1
44	что дело здесь	1	1
45	он попадает в	1	1
46	брак и т	1	1
47	мы уже знаем	2	1
48	сами по себе	1	1
49	попадает в дом	4	1
50	в своей жизни	1	1
51	в тех случаях	1	1
52	этим мы еще	1	1
53	том что в	2	1
54	как мы увидим	1	1
55	вступают в брак	1	1
56	друг с другом	1	1
57	и в различных	1	1
58	в себя и	1	1
59	превращение в человека	1	1
60	но в этом	1	1
61	так как нет	1	1
62	во всяком случае	2	1
63	в этом случае	5	1
64	мы имеем в	2	1
65	по этому вопросу	1	1
66	смысле этого слова	1	1
67	с этим мы	1	1
68	в человека и	1	1
69	мы видим в	1	1
70	большую роль в	1	1
71	на том что	1	1
72	в данном случае	3	1
73	в свою очередь	1	1
74	сих пор не	1	1
75	и в том	1	1
76	то что происходило	1	1
77	здесь не только	1	1
78	и у нас	1	1
79	с тем что	1	1
80	в народных сказках	1	1
81	о том что	2	1
82	но не совсем	1	1
83	друг другу и	1	1
84	в определенном направлении	1	1
85	отличает его от	1	1
86	надо сказать что	1	1
87	не только на	1	1
88	что в нем	1	1
89	эта форма как	1	1
90	одной из них	1	1
91	тех случаях когда	1	1
92	в жизни и	1	1
93	буквальном смысле этого	1	1
