N	3gram	Berdyaev_O_1	Formalny
1	не может быть	2	10
2	в этом отношении	1	7
3	в самом деле	1	5
4	и в этом	2	5
5	с тем что	2	5
6	в первый период	1	5
7	во всяком случае	1	5
8	не могут быть	2	4
9	и не может	1	3
10	сам по себе	1	3
11	но и в	2	3
12	не в том	1	3
13	для того чтобы	3	3
14	прежде всего в	1	2
15	не было и	1	2
16	в том случае	1	2
17	между этими двумя	1	2
18	и прежде всего	1	2
19	в том что	1	2
20	и не в	1	2
21	как например в	1	1
22	что не в	1	1
23	а вовсе не	1	1
24	находится в противоречии	1	1
25	в этот период	1	1
26	он в корне	1	1
27	том случае если	1	1
28	и в его	1	1
29	смысле этого слова	1	1
30	что же это	2	1
31	может быть что	1	1
32	ее как бы	1	1
33	еще одну особенность	1	1
34	же это за	2	1
35	рассказ ведется от	1	1
36	а не в	2	1
37	как и в	1	1
38	и больше всего	1	1
