N	3gram	Losev_Vlad_3	OGranits
1	с точки зрения	6	5
2	не может быть	6	4
3	есть прежде всего	2	3
4	одно и то	1	3
5	что иное как	1	2
6	в самом деле	1	2
7	в данном случае	2	2
8	с одной стороны	3	2
9	и то же	1	2
10	с другой стороны	2	2
11	ничего общего с	2	2
12	с самого начала	1	2
13	не что иное	1	2
14	в том что	10	2
15	том что в	3	1
16	в нашей работе	1	1
17	как то что	1	1
18	что в этом	2	1
19	само собой разумеется	2	1
20	этой точки зрения	1	1
21	иметь в виду	2	1
22	в виду что	1	1
23	более или менее	5	1
24	течение всей своей	1	1
25	те же самые	1	1
26	то же самое	1	1
27	в отличие от	3	1
28	не может иметь	1	1
29	только то что	1	1
30	в этом отношении	2	1
31	то что в	3	1
32	можно было бы	1	1
33	может быть и	1	1
34	с этой точки	1	1
35	другой стороны оно	1	1
36	в своей статье	1	1
37	гораздо богаче и	1	1
38	в последнее время	1	1
39	для того чтобы	1	1
40	и сводится к	1	1
41	так же как	2	1
42	далеко не всегда	1	1
43	если бы мы	1	1
44	и в его	3	1
45	нигде и никогда	1	1
46	а также и	6	1
47	что он называет	1	1
48	тем не менее	9	1
49	и вместе с	2	1
50	в течение всей	1	1
51	но и его	1	1
52	в связи с	2	1
53	само по себе	3	1
54	все то что	1	1
55	потому что они	1	1
56	мы уже видели	1	1
57	не мог бы	1	1
58	указать на то	1	1
59	ибо здесь нет	1	1
60	в связи со	1	1
61	то же время	2	1
62	собой разумеется что	1	1
63	мы не можем	1	1
64	те или иные	2	1
65	включает в себя	1	1
66	собственно говоря и	1	1
67	не только на	1	1
68	найти в них	1	1
69	выходит за пределы	1	1
70	в течение всего	1	1
71	несмотря на все	1	1
72	связи со всей	1	1
73	но что же	1	1
74	возможно только в	1	1
75	на то что	2	1
76	в то же	3	1
77	эту точку зрения	1	1
78	к тому что	2	1
79	прежде всего не	1	1
