N	2gram	Tiupa_Lite_1	Marksizm
1	может быть	13	28
2	и в	8	19
3	как бы	7	19
4	и не	12	19
5	не может	5	18
6	точки зрения	6	17
7	то же	5	16
8	и его	4	16
9	как мы	1	15
10	в этом	12	15
11	в сущности	2	14
12	так сказать	1	14
13	таким образом	3	14
14	лишь в	4	14
15	чужого слова	1	13
16	не только	24	13
17	с точки	2	13
18	связи с	6	13
19	в нем	2	11
20	если бы	1	11
21	вовсе не	1	11
22	не в	8	10
23	так и	4	10
24	и т.п	4	10
25	но и	17	10
26	в пределах	3	10
27	том что	14	10
28	самом деле	2	9
29	при этом	19	9
30	как и	6	9
31	для него	2	9
32	языка как	1	9
33	в основе	3	9
34	а не	16	9
35	на почве	2	9
36	с его	5	8
37	по отношению	3	8
38	в то	5	8
39	же время	5	8
40	только в	8	8
41	слова в	1	8
42	отнюдь не	2	8
43	не является	2	8
44	отношению к	2	8
45	на самом	1	7
46	его в	3	7
47	и более	1	7
48	одна из	3	7
49	никогда не	4	7
50	в том	16	7
51	прежде всего	11	7
52	в связи	4	7
53	но в	3	7
54	во всех	1	6
55	и как	1	6
56	в самом	3	6
57	если мы	1	6
58	к тому	2	6
59	между тем	2	6
60	мы можем	1	6
61	более того	1	6
62	и все	1	6
63	хотя бы	2	6
64	ни было	1	6
65	в свою	1	6
66	того же	2	5
67	к другому	1	5
68	и на	1	5
69	все же	4	5
70	то ни	1	5
71	в данном	5	5
72	в их	3	5
73	самого начала	1	5
74	свою очередь	1	5
75	с самого	1	5
76	и здесь	1	5
77	к нему	1	5
78	в его	7	5
79	в большинстве	1	5
80	большинстве случаев	1	5
81	отношении к	1	5
82	или иной	2	5
83	в той	1	5
84	и того	2	5
85	тем более	2	5
86	совершенно не	1	5
87	к этому	1	5
88	тем же	3	4
89	должна быть	2	4
90	а как	2	4
91	бы то	1	4
92	только на	2	4
93	в себе	7	4
94	на то	1	4
95	значение в	1	4
96	это не	4	4
97	было бы	2	4
98	и тем	4	4
99	в слове	2	4
100	одного и	1	4
101	этой связи	1	4
102	в отношении	1	4
103	и т.д	1	4
104	для себя	5	4
105	того что	6	4
106	в формах	4	4
107	что он	5	4
108	в душе	3	4
109	как раз	4	4
110	то что	10	4
111	сказать что	1	4
112	если б	1	3
113	и то	2	3
114	в котором	1	3
115	исходит из	3	3
116	в становлении	1	3
117	на чужое	1	3
118	еще не	4	3
119	столь же	4	3
120	в ее	1	3
121	отличие от	5	3
122	за пределы	2	3
123	относится к	2	3
124	перед нами	1	3
125	все эти	2	3
126	в этой	4	3
127	он не	1	3
128	не к	2	3
129	не как	4	3
130	какой бы	1	3
131	в другом	2	3
132	той же	3	3
133	в этих	1	3
134	в своей	4	3
135	в отличие	5	3
136	не имеет	1	3
137	же слова	1	3
138	в каком	1	3
139	могут быть	2	3
140	не есть	2	3
141	на основе	1	3
142	о том	2	3
143	это вполне	1	3
144	что и	1	3
145	одной из	1	3
146	в какой	1	3
147	не идет	1	3
148	с одной	2	3
149	в качестве	17	3
150	так как	1	3
151	до сих	1	3
152	с другой	3	3
153	не было	3	3
154	одной стороны	2	3
155	подхода к	1	3
156	да и	3	3
157	для понимания	2	3
158	должно быть	1	3
159	и от	1	3
160	сих пор	1	3
161	его становления	1	3
162	сознания и	1	3
163	только что	1	3
164	в различных	1	3
165	а в	3	3
166	во всяком	3	3
167	одним из	5	2
168	в зависимости	1	2
169	от своего	2	2
170	вопрос о	1	2
171	конститутивным моментом	1	2
172	почти исключительно	1	2
173	и чужого	1	2
174	зависимости от	1	2
175	и он	1	2
176	и самого	2	2
177	он был	1	2
178	но как	1	2
179	ответ на	1	2
180	основная задача	1	2
181	что они	1	2
182	в одной	1	2
183	в своем	11	2
184	более и	1	2
185	в нашем	1	2
186	бы не	3	2
187	тому же	2	2
188	значительной степени	1	2
189	этом последнем	1	2
190	подход к	1	2
191	различие между	2	2
192	и с	1	2
193	то есть	6	2
194	это было	1	2
195	может стать	1	2
196	в жизни	6	2
197	далеко не	3	2
198	он и	3	2
199	мы не	1	2
200	установка на	1	2
201	по крайней	1	2
202	на языке	1	2
203	как от	1	2
204	как о	1	2
205	и является	2	2
206	только с	1	2
207	одним и	1	2
208	должен быть	2	2
209	что современная	1	2
210	и о	1	2
211	но по	1	2
212	решения проблемы	1	2
213	приводит к	3	2
214	здесь как	2	2
215	все то	1	2
216	ориентировано на	1	2
217	в материале	1	2
218	и даже	3	2
219	сводится к	3	2
220	в значительной	1	2
221	ее от	1	2
222	крайней мере	1	2
223	всяком случае	2	2
224	себя с	1	2
225	но не	4	2
226	себя в	6	2
227	и у	1	2
228	уже в	5	2
229	в виде	1	2
230	свидетельствует о	1	2
231	но для	1	2
232	мы знаем	1	2
233	не так	1	2
234	в диалоге	1	2
235	слово как	1	2
236	друг друга	4	2
237	у него	3	2
238	общения и	1	2
239	тем что	2	2
240	внутреннего мира	1	2
241	бы это	1	2
242	в особенности	1	2
243	этом как	3	2
244	именно в	1	2
245	мы никогда	1	2
246	и прежде	3	2
247	бытия в	1	2
248	а с	1	2
249	что не	2	2
250	они не	1	2
251	стремится к	1	2
252	до конца	1	2
253	не на	2	2
254	однако и	1	2
255	и всякое	1	2
256	все более	2	2
257	вместе с	1	2
258	и особенно	1	2
259	из форм	1	2
260	xix века	6	2
261	установкой на	1	2
262	в начале	1	2
263	или в	1	2
264	себя самого	1	2
265	от него	1	2
266	между ними	1	2
267	не знает	1	2
268	жизни и	3	2
269	что в	3	2
270	как известно	1	1
271	человеческой речи	1	1
272	также и	3	1
273	например в	3	1
274	человека и	2	1
275	материале данного	1	1
276	основе всех	1	1
277	то в	1	1
278	между двумя	1	1
279	проникает в	1	1
280	определяется в	1	1
281	и за	1	1
282	практически в	1	1
283	не дремлет	1	1
284	не делает	1	1
285	не была	1	1
286	говорить о	1	1
287	эпохи в	1	1
288	из того	2	1
289	социальной структурой	1	1
290	то это	2	1
291	которое в	1	1
292	значимость лишь	1	1
293	но при	2	1
294	что его	3	1
295	принципиальное значение	1	1
296	сознания а	2	1
297	всего является	1	1
298	из этих	2	1
299	то он	2	1
300	а только	2	1
301	к которой	1	1
302	только при	1	1
303	при условии	1	1
304	и я	6	1
305	в центре	1	1
306	же хотя	1	1
307	его на	1	1
308	как в	5	1
309	не ощущается	1	1
310	в художественном	4	1
311	в различные	1	1
312	и нет	2	1
313	как нам	1	1
314	могли бы	1	1
315	и ты	1	1
316	мир и	2	1
317	следующим образом	2	1
318	в которой	1	1
319	как это	8	1
320	так или	8	1
321	в ответ	1	1
322	чуть ли	2	1
323	но без	2	1
324	в последнее	1	1
325	с их	3	1
326	всем его	1	1
327	формы не	1	1
328	как он	2	1
329	и если	1	1
330	в статье	1	1
331	в обратном	1	1
332	и взаимодействие	1	1
333	поскольку он	2	1
334	в нашей	2	1
335	перестает быть	4	1
336	к одному	1	1
337	и читателя	1	1
338	в силу	4	1
339	и вот	1	1
340	можно назвать	1	1
341	каковы например	1	1
342	так например	1	1
343	но все	1	1
344	человека в	1	1
345	до эпохи	1	1
346	бы они	1	1
347	в каждом	1	1
348	ни были	1	1
349	самого автора	1	1
350	со всеми	1	1
351	не умеет	1	1
352	сознания к	2	1
353	совершается на	1	1
354	или полным	1	1
355	и последовательное	1	1
356	этом качестве	1	1
357	в них	1	1
358	с тем	1	1
359	несмотря на	3	1
360	места в	1	1
361	свою собственную	1	1
362	что такое	2	1
363	только для	1	1
364	к предмету	1	1
365	не столько	5	1
366	в авторском	2	1
367	конечном счете	4	1
368	не менее	7	1
369	для изучения	1	1
370	принадлежит ему	1	1
371	особого рода	2	1
372	объективного мира	1	1
373	реальности языка	1	1
374	тем не	2	1
375	всякий акт	1	1
376	не могли	1	1
377	на один	2	1
378	при всех	2	1
379	бы на	2	1
380	иной раз	1	1
381	в русской	10	1
382	мышления и	2	1
383	тогда когда	1	1
384	во время	1	1
385	и сама	1	1
386	текста но	1	1
387	для кого	1	1
388	но только	1	1
389	это еще	1	1
390	не могло	2	1
391	и всегда	1	1
392	самой жизни	1	1
393	на себя	2	1
394	так называемый	2	1
395	сущности только	1	1
396	этом отношении	2	1
397	не нуждается	1	1
398	с другом	1	1
399	в действительности	1	1
400	уже о	1	1
401	искусства и	5	1
402	мы узнаем	1	1
403	восприятия а	1	1
404	ли не	3	1
405	уже было	1	1
406	другом месте	1	1
407	отличное от	1	1
408	собеседником но	1	1
409	каждому из	1	1
410	в некоторых	1	1
411	говоря уже	2	1
412	последнее время	1	1
413	такие как	3	1
414	в себя	2	1
415	так в	1	1
416	роль в	2	1
417	на том	2	1
418	обращаясь к	2	1
419	и сам	6	1
420	в иной	1	1
421	на нее	1	1
422	речевой поток	1	1
423	же принадлежит	1	1
424	еще в	4	1
425	высказывание из	1	1
426	оно определяется	1	1
427	он говорил	1	1
428	но может	1	1
429	мысль о	1	1
430	рассчитана на	2	1
431	и внутреннее	1	1
432	и что	1	1
433	всех подобных	1	1
434	его жизни	1	1
435	можно сказать	1	1
436	других людей	1	1
437	является здесь	1	1
438	жизни для	1	1
439	русской литературе	5	1
440	в конечном	5	1
441	на границах	1	1
442	нуждается в	3	1
443	находит свое	1	1
444	ним и	1	1
445	во всей	1	1
446	и только	2	1
447	этот последний	1	1
448	начинает восприниматься	2	1
449	не сводится	3	1
450	единого и	1	1
451	сознания его	1	1
452	индивидуальности не	1	1
453	оно и	1	1
454	другого субъекта	1	1
455	тот же	1	1
456	языка на	1	1
457	на активное	2	1
458	может оказаться	1	1
459	его кругозор	1	1
460	в литературу	1	1
461	впрочем и	1	1
462	для нее	2	1
463	место лишь	1	1
464	их не	2	1
465	авторского высказывания	1	1
466	язык а	1	1
467	тот или	1	1
468	с какой	1	1
469	же и	3	1
470	и др	3	1
471	оказывается в	1	1
472	произведение к	1	1
473	уже не	7	1
474	этой социальной	1	1
475	или не	1	1
476	мы получим	1	1
477	оно в	1	1
478	же в	5	1
479	кажется что	1	1
480	автора в	2	1
481	и других	1	1
482	из них	4	1
483	не сам	2	1
484	одно из	3	1
485	себе в	2	1
486	в одном	1	1
487	в современном	1	1
488	себя от	1	1
489	не о	1	1
490	это речь	1	1
491	не достаточно	1	1
492	в стенах	1	1
493	в исторической	1	1
494	со всем	1	1
495	другого в	3	1
496	со стороны	4	1
497	по новым	1	1
498	или иначе	9	1
499	и сложнее	1	1
500	стороны он	1	1
501	соответствии с	1	1
502	я был	1	1
503	с той	1	1
504	еще и	3	1
505	себя и	1	1
506	равной степени	1	1
507	в обращении	1	1
508	не говоря	2	1
509	в соответствии	1	1
510	превращается в	2	1
511	в стиле	1	1
512	индивидуального сознания	2	1
513	а на	1	1
514	этого не	2	1
515	из наиболее	2	1
516	другой стороны	1	1
517	дело в	3	1
518	ориентация на	1	1
519	на основании	1	1
520	на эту	1	1
521	произведение в	2	1
522	или с	1	1
523	как высказывание	1	1
524	душевной жизни	1	1
525	если не	1	1
526	нет ничего	2	1
527	внутреннего и	1	1
528	например природа	1	1
529	него в	1	1
530	ни на	1	1
531	к себе	3	1
532	быть от	1	1
533	он говорит	1	1
534	к жизни	1	1
535	в художественных	1	1
536	если оно	2	1
537	это приводит	1	1
538	не сказать	1	1
539	что же	1	1
540	эту мысль	1	1
541	тенденций развития	1	1
542	строится как	1	1
543	слова все	1	1
544	со свободой	1	1
545	исходя из	3	1
546	в состоянии	1	1
547	быть не	1	1
548	в это	1	1
549	тем отчетливее	1	1
550	входит как	1	1
551	и другим	1	1
552	в условиях	1	1
553	в целом	8	1
554	общественной жизни	1	1
555	этом и	1	1
556	естественно не	1	1
557	однако не	1	1
558	и внешнего	1	1
559	этого рода	2	1
560	полном отсутствии	1	1
561	не подлежит	1	1
562	и самому	1	1
563	стать и	1	1
564	у них	1	1
565	у достоевского	2	1
566	его идеологической	1	1
567	потому что	3	1
568	все они	2	1
569	в новых	1	1
570	в равной	2	1
571	в человеческих	1	1
572	мы в	2	1
573	жизни в	1	1
574	героя и	1	1
575	сознания на	1	1
576	в кругу	1	1
577	из этого	1	1
578	пути к	1	1
579	чрезвычайно трудно	1	1
580	как таковое	1	1
581	т.е как	1	1
582	по поводу	2	1
583	том числе	1	1
584	гораздо более	1	1
