N	3gram	Medvedev_U_1	Myslijsy
1	в том что	2	16
2	сам по себе	1	5
3	по крайней мере	2	5
4	не в том	1	5
5	то же время	3	5
6	в то же	3	5
7	с другой стороны	3	4
8	не только в	1	4
9	более или менее	1	3
10	до сих пор	2	3
11	с одной стороны	1	3
12	лишь настолько насколько	1	3
13	само по себе	1	3
14	не может быть	4	3
15	а между тем	2	2
16	в этом отношении	2	2
17	не могут быть	2	2
18	можно сказать что	1	2
19	в буквальном смысле	1	2
20	том что она	1	1
21	равно как и	1	1
22	в самом деле	2	1
23	что для него	1	1
24	то же самое	2	1
25	то что при	1	1
26	на каждом шагу	2	1
27	же самое делает	1	1
28	в противном случае	2	1
29	и то что	2	1
30	все это в	1	1
31	в данном случае	1	1
32	между тем сам	1	1
33	не все в	1	1
34	между тем в	1	1
35	или по крайней	1	1
36	свойственна не только	1	1
37	так или иначе	1	1
38	по себе еще	1	1
39	же художественное произведение	1	1
40	этого не было	1	1
41	это было бы	1	1
42	научного анализа в	1	1
43	в своей совокупности	1	1
44	в своем кругу	1	1
45	в художественном произведении	2	1
46	еще один пример	1	1
47	на то что	1	1
48	друг с другом	1	1
49	быть не может	1	1
50	же в самом	1	1
51	на первый взгляд	1	1
