N	3gram	Savitsky_P_1	PoTuStor
1	с точки зрения	3	6
2	в этом смысле	1	3
3	по сравнению с	1	3
4	во всяком случае	1	3
5	не может быть	1	3
6	в большинстве случаев	1	3
7	и пр при	1	2
8	так же как	1	2
9	но в общем	1	2
10	и в этом	1	2
11	сводится к следующему	1	1
12	во многих случаях	1	1
13	вместе с тем	1	1
14	касается не только	1	1
15	с одной стороны	3	1
16	в применении к	1	1
17	бы оно ни	1	1
18	в том что	4	1
19	и пр в	1	1
20	и теперь в	1	1
21	мы знаем что	1	1
22	есть прежде всего	1	1
23	друг с другом	1	1
24	для того чтобы	1	1
