N	2gram	Ircho_Kome_1	Sotsiolo
1	все это	5	7
2	в том	11	5
3	в этом	3	5
4	и только	1	3
5	не только	10	3
6	и в	22	3
7	не в	6	3
8	в его	5	3
9	за пределы	2	2
10	но и	11	2
11	конце концов	4	2
12	было бы	2	2
13	к которому	3	2
14	только в	3	2
15	далеко не	1	2
16	в результате	4	2
17	том что	12	2
18	в частности	3	2
19	как будто	2	2
20	идей и	1	2
21	то что	2	2
22	главным образом	3	2
23	и что	1	2
24	еще не	2	2
25	таким образом	8	2
26	отношению к	3	2
27	в конце	6	2
28	что в	6	2
29	может быть	9	2
30	как бы	1	2
31	по отношению	3	2
32	очевидно что	1	2
33	по существу	1	2
34	то же	6	2
35	друг от	1	1
36	в свои	3	1
37	что все	1	1
38	право на	2	1
39	же не	1	1
40	наконец в	1	1
41	по себе	1	1
42	даже в	3	1
43	в мире	1	1
44	сказать и	1	1
45	в этой	7	1
46	тому что	1	1
47	отнюдь не	1	1
48	даже не	2	1
49	этой области	1	1
50	на все	2	1
51	этот основной	1	1
52	с другой	5	1
53	его в	3	1
54	дает нам	1	1
55	с ним	1	1
56	на этот	1	1
57	именно в	4	1
58	в чем	3	1
59	все же	3	1
60	один из	5	1
61	перед нами	1	1
62	в то	10	1
63	тем же	1	1
64	еще и	2	1
65	а с	1	1
66	и основательно	1	1
67	тем что	4	1
68	и как	3	1
69	всего не	1	1
70	что эти	1	1
71	что он	6	1
72	прежде всего	5	1
73	в них	3	1
74	так и	5	1
75	одной стороны	3	1
76	те же	1	1
77	и не	8	1
78	это вовсе	1	1
79	и связывается	1	1
80	на основании	3	1
81	наше время	1	1
82	мы не	3	1
83	же время	4	1
84	ничего не	3	1
85	развития и	1	1
86	и о	3	1
87	чуть ли	1	1
88	именно на	2	1
89	как и	9	1
90	или нет	1	1
91	бы в	1	1
92	для этого	2	1
93	стр и	2	1
94	в сущности	2	1
95	вот в	1	1
96	образом в	2	1
97	самым активным	1	1
98	свойств и	1	1
99	и его	8	1
100	в этих	1	1
101	место в	3	1
102	от друга	1	1
103	хотя бы	1	1
104	в целом	3	1
105	стало быть	1	1
106	не может	2	1
107	а в	6	1
108	работы в	1	1
109	что она	1	1
110	о том	8	1
111	не дает	1	1
112	в области	2	1
113	и потому	1	1
114	представить себе	1	1
115	в котором	4	1
116	активным образом	1	1
117	подняться на	1	1
118	на следующий	1	1
119	столь же	2	1
120	всяком случае	2	1
121	в силу	2	1
122	слишком много	1	1
123	что это	1	1
124	систему его	1	1
125	вовсе не	2	1
126	ли не	4	1
127	жизни он	1	1
128	же самое	2	1
129	с одной	3	1
130	может служить	1	1
131	а между	1	1
132	но не	2	1
133	у него	3	1
134	в виде	3	1
135	в данном	1	1
136	между тем	5	1
137	и по	6	1
138	что на	1	1
139	не один	1	1
140	и более	1	1
141	во всяком	2	1
142	в каждом	1	1
143	они не	1	1
144	нам право	1	1
