N	3gram	Bakhtin_Fr_6	OGranits
1	с точки зрения	2	5
2	не может быть	1	4
3	по отношению к	1	3
4	вполне понятно что	2	3
5	и т.п и	2	3
6	в самом деле	4	2
7	в зависимости от	1	2
8	в данном случае	2	2
9	с одной стороны	4	2
10	с другой стороны	2	2
11	в том что	2	2
12	в другом месте	4	1
13	том что в	1	1
14	один и тот	1	1
15	и связанных с	1	1
16	в изобразительных искусствах	3	1
17	в чем же	1	1
18	всегда связана с	1	1
19	более или менее	1	1
20	в которых он	1	1
21	в нем только	1	1
22	с этим словом	1	1
23	между тем как	1	1
24	только то что	1	1
25	в этом отношении	3	1
26	нужно сказать что	2	1
27	если только они	1	1
28	в значительной мере	1	1
29	нужно отметить что	1	1
30	важное значение имеет	1	1
31	явления природы и	1	1
32	мы полагаем что	1	1
33	для того чтобы	1	1
34	и тот же	2	1
35	а также и	2	1
36	и как бы	1	1
37	в связи с	1	1
38	а не как	1	1
39	в пределах того	1	1
40	это конечно не	1	1
41	все то что	4	1
42	потому что они	1	1
43	то же время	5	1
44	играет громадную роль	1	1
45	та или иная	1	1
46	и превращается в	1	1
47	но в то	1	1
48	в то же	5	1
49	в предисловии к	1	1
50	человека и его	1	1
51	является таким образом	1	1
