N	2gram	Nazirov_Vr_1	slovoVRo
1	в романе	6	46
2	и в	8	39
3	может быть	4	37
4	и его	3	33
5	не только	9	24
6	и не	5	22
7	но и	7	21
8	не может	2	20
9	в нем	6	19
10	до конца	1	17
11	в этом	8	16
12	все это	4	16
13	так и	1	15
14	человек и	1	14
15	как в	1	13
16	в процессе	1	13
17	во всех	1	12
18	в истории	4	11
19	и с	6	9
20	таким образом	2	8
21	себя в	1	8
22	прежде всего	1	8
23	точки зрения	2	8
24	еще не	2	7
25	с его	3	7
26	в него	2	7
27	при этом	4	7
28	в этих	1	7
29	для него	2	7
30	с ним	4	7
31	никогда не	2	7
32	могут быть	1	7
33	в его	3	7
34	и даже	6	7
35	как бы	4	7
36	но не	1	6
37	в своем	3	6
38	все же	6	6
39	но в	6	6
40	в них	2	6
41	как и	6	6
42	человек в	1	6
43	жизни и	1	6
44	человека в	3	5
45	это не	4	5
46	том что	3	5
47	с другой	1	5
48	романа в	1	5
49	один из	1	5
50	в том	3	5
51	уже не	2	5
52	и их	1	5
53	в плане	1	5
54	романа и	1	5
55	для нас	4	5
56	и все	7	5
57	и наконец	1	5
58	отношения к	2	4
59	отношение к	2	4
60	всех этих	1	4
61	то же	5	4
62	его в	3	4
63	не менее	2	4
64	в то	5	4
65	одна из	2	4
66	же время	5	4
67	во всем	1	4
68	для всех	1	4
69	с помощью	1	4
70	в той	2	4
71	в основном	1	4
72	а в	2	4
73	отношении к	1	4
74	в таком	1	4
75	той же	1	3
76	человека и	1	3
77	говорить о	1	3
78	роман в	1	3
79	в чем	3	3
80	и как	3	3
81	не с	1	3
82	еще раз	1	3
83	с точки	2	3
84	нем в	1	3
85	связи с	3	3
86	этом отношении	1	3
87	в ней	4	3
88	а также	2	3
89	к нему	1	3
90	между тем	5	3
91	в свете	1	3
92	быть и	1	3
93	с различными	1	3
94	у него	5	3
95	в роман	2	3
96	рядом с	2	3
97	в особенности	1	3
98	связан с	1	3
99	в свою	2	3
100	материал и	1	3
101	как к	1	3
102	и от	1	3
103	но это	2	3
104	что в	7	3
105	героя в	1	3
106	во всяком	1	3
107	можно говорить	1	2
108	одним из	3	2
109	также и	1	2
110	это и	1	2
111	романе не	1	2
112	именно к	1	2
113	с ее	1	2
114	х годов	4	2
115	на них	1	2
116	далее в	1	2
117	не был	1	2
118	одним словом	1	2
119	но как	2	2
120	не все	1	2
121	и речи	1	2
122	с этим	1	2
123	хотя и	1	2
124	в себе	2	2
125	роль в	1	2
126	как он	1	2
127	он не	3	2
128	из него	1	2
129	людей и	1	2
130	в предшествующей	1	2
131	конечно в	1	2
132	мировой литературе	1	2
133	далеко не	3	2
134	независимо от	1	2
135	в их	1	2
136	но он	3	2
137	однако в	1	2
138	того как	1	2
139	в одном	1	2
140	вне его	1	2
141	п в	2	2
142	в мировой	1	2
143	в речах	1	2
144	отличается от	1	2
145	и образ	1	2
146	свою очередь	1	2
147	так в	2	2
148	о нем	6	2
149	о том	4	2
150	и т.п	2	2
151	но мы	1	2
152	в форме	1	2
153	еще более	1	2
154	что он	4	2
155	всяком случае	1	2
156	уже в	4	2
157	его и	2	2
158	то что	7	2
159	не было	5	2
160	до сих	1	2
161	именно в	1	2
162	и крайняя	1	2
163	более того	1	2
164	с которым	2	2
165	как о	1	2
166	не всегда	1	2
167	в связи	3	2
168	во франции	1	2
169	роман не	1	2
170	эти слова	3	2
171	вместе с	2	2
172	сих пор	1	2
173	от нас	1	2
174	только о	1	2
175	все что	1	2
176	они не	1	2
177	себя как	1	1
178	и рассказы	1	1
179	как известно	1	1
180	от этой	1	1
181	этого в	1	1
182	речь идет	3	1
183	того же	1	1
184	идет о	1	1
185	и есть	1	1
186	по преимуществу	1	1
187	и этот	1	1
188	и о	3	1
189	что уже	1	1
190	место в	2	1
191	он как	1	1
192	в составе	1	1
193	он сам	2	1
194	первый план	1	1
195	а следовательно	1	1
196	не мешало	1	1
197	совсем не	1	1
198	то он	1	1
199	в сторону	1	1
200	всего он	1	1
201	к ним	2	1
202	не просто	1	1
203	его на	2	1
204	что как	1	1
205	целый ряд	4	1
206	героев достоевского	1	1
207	ссылаются на	1	1
208	что слово	1	1
209	в самом	1	1
210	в целом	1	1
211	момент его	1	1
212	только два	1	1
213	выражение в	1	1
214	и самый	1	1
215	в этой	2	1
216	рассказ о	1	1
217	на то	3	1
218	этот процесс	1	1
219	время и	2	1
220	и сам	1	1
221	одно и	1	1
222	в мире	2	1
223	об этом	5	1
224	говорить не	1	1
225	это было	1	1
226	и романа	1	1
227	достоевского и	7	1
228	все равно	1	1
229	попадает в	1	1
230	создании образа	2	1
231	несмотря на	4	1
232	может идти	1	1
233	такой же	1	1
234	одного и	1	1
235	этот материал	1	1
236	на первый	2	1
237	в эту	2	1
238	в своей	2	1
239	его современников	1	1
240	он принимает	1	1
241	тем не	1	1
242	и достоевского	9	1
243	человека но	1	1
244	героев и	1	1
245	и уже	3	1
246	следовательно и	1	1
247	лишнего человека	8	1
248	ничего не	1	1
249	это то	1	1
250	по своей	1	1
251	это слово	1	1
252	же он	1	1
253	задолго до	1	1
254	полемизирует с	1	1
255	к себе	2	1
256	в духе	1	1
257	во все	1	1
258	в недрах	1	1
259	правда не	1	1
260	и это	2	1
261	в виду	4	1
262	как по	1	1
263	этот роман	2	1
264	и другими	1	1
265	еще в	1	1
266	во второй	1	1
267	это как	1	1
268	этой традиции	1	1
269	слова тем	1	1
270	и что	8	1
271	не стоит	1	1
272	нас в	1	1
273	затем в	1	1
274	во всей	1	1
275	единственно возможной	1	1
276	в ту	1	1
277	человека как	1	1
278	того что	1	1
279	проникнуть в	1	1
280	друг друга	1	1
281	и ее	2	1
282	роман то	1	1
283	в качестве	1	1
284	с нею	2	1
285	говорить об	1	1
286	своим собственным	1	1
287	быть весьма	1	1
288	а это	1	1
289	за роман	2	1
290	гоголя и	1	1
291	в известной	1	1
292	слово его	1	1
293	в конце	3	1
294	и никогда	1	1
295	из которого	1	1
296	как раз	2	1
297	тем что	3	1
298	нас оно	1	1
299	обо мне	1	1
300	для правильного	1	1
301	письмах и	1	1
302	характерно для	1	1
303	души и	1	1
304	говорит о	1	1
305	к сожалению	1	1
306	этого не	1	1
307	в монологах	1	1
308	другой стороны	1	1
309	отнюдь не	2	1
310	ближе к	1	1
311	и литературные	1	1
312	мы находим	1	1
313	в частности	1	1
314	о себе	3	1
315	влияния на	1	1
316	этого типа	1	1
317	в литературе	1	1
318	да и	1	1
319	хотя он	1	1
320	с очень	1	1
321	в условиях	1	1
322	романа с	1	1
323	мире а	1	1
324	близкий к	1	1
325	но на	1	1
326	из своего	1	1
327	но зато	1	1
328	же в	2	1
329	только как	1	1
330	обычно не	1	1
331	также в	1	1
332	сам в	1	1
333	в своих	4	1
334	только не	1	1
335	к этому	3	1
