N	3gram	Ircho_Kome_1	PoTuStor
1	с самого начала	1	4
2	в чем не	1	3
3	до сих пор	2	3
4	во всяком случае	2	3
5	ни в чем	1	3
6	в большинстве случаев	1	3
7	по аналогии с	1	2
8	так же как	1	2
9	нет никаких оснований	1	2
10	о том что	3	2
11	за отказ от	1	1
12	подобно тому как	1	1
13	он может быть	1	1
14	то же самое	2	1
15	же как и	1	1
16	ни в коем	1	1
17	бы то ни	2	1
18	а может быть	1	1
19	в этом отношении	3	1
20	можно было бы	1	1
21	а то и	2	1
22	со всех сторон	1	1
23	с этой точки	1	1
24	вместе с тем	1	1
25	в коем случае	1	1
26	именно здесь в	1	1
27	так как он	1	1
28	мы узнаем о	1	1
29	в данном случае	1	1
30	то ни было	2	1
31	с одной стороны	3	1
32	в высшей степени	1	1
33	как один из	1	1
34	в применении к	1	1
35	в том что	9	1
36	этой точки зрения	1	1
37	и таким образом	2	1
38	практически он может	1	1
39	из того же	1	1
40	каждого из этих	1	1
41	и прежде всего	1	1
42	что иное как	1	1
43	не что иное	1	1
44	мы уже знаем	1	1
45	для того чтобы	1	1
46	сделать некоторые выводы	1	1
47	может быть даже	2	1
