N	3gram	Nazirov_Vr_1	Problemy
1	с точки зрения	2	8
2	до сих пор	1	7
3	то же время	4	5
4	в то же	4	5
5	и не может	1	4
6	не может быть	2	4
7	как бы в	1	4
8	ну что ж	1	3
9	с другой стороны	1	3
10	но в то	2	3
11	в этом смысле	1	2
12	в письме к	2	2
13	может быть и	1	2
14	в конце концов	1	2
15	но при этом	1	2
16	и то же	1	2
17	одно и то	1	2
18	тем не менее	1	2
19	о том же	1	2
20	в то время	1	2
21	на то что	1	2
22	о том как	1	1
23	а между тем	1	1
24	не с точки	1	1
25	а следовательно и	1	1
26	жития великого грешника	1	1
27	я очень хорошо	1	1
28	он не только	2	1
29	в том же	1	1
30	по крайней мере	1	1
31	рассматривать в связи	1	1
32	достоевский прежде всего	1	1
33	у него в	1	1
34	что в нем	1	1
35	среди них он	1	1
36	что как раз	1	1
37	его отношения к	1	1
38	на этот раз	1	1
39	в связи с	3	1
40	в той же	1	1
41	в романе достоевского	1	1
42	каждый из них	1	1
43	все же не	1	1
44	во всяком случае	1	1
45	о том что	1	1
46	к страхову в	1	1
47	достоевского а в	1	1
48	рассказ у тургенева	1	1
49	не только не	1	1
50	но в этом	1	1
51	еще один пример	1	1
52	служит для него	1	1
53	самим собой в	1	1
54	они как бы	1	1
55	письме к брату	1	1
56	и что он	1	1
57	о нем в	1	1
58	в том что	2	1
59	и все что	1	1
