1	с одной стороны	3	5
2	в свою очередь	6	4
3	о том что	1	4
4	в то же	2	4
5	тем не менее	5	3
6	не может быть	2	3
7	в том что	7	3
8	на самом деле	2	3
9	то же время	2	3
10	может быть не	3	3
11	той мере в	1	2
12	в отличие от	1	2
13	в том чтобы	1	2
14	двух или нескольких	1	2
15	более или менее	8	2
16	мере в какой	1	2
17	состоит в том	1	2
18	и тем самым	1	2
19	подобно тому как	4	2
20	как и в	1	2
21	и в жизни	2	2
22	в той мере	1	2
23	но и по	1	1
24	то что он	1	1
25	выражается в слове	1	1
26	в целом как	1	1
27	то что мы	2	1
28	собственно говоря и	1	1
29	не только от	1	1
30	что это не	1	1
31	одной стороны и	1	1
32	мы тем не	1	1
33	которое может быть	1	1
34	в этом смысле	2	1
35	все они служат	1	1
36	тогда как в	2	1
37	обратим внимание на	1	1
38	друг от друга	1	1
39	в связи с	1	1
40	имеет место в	1	1
41	большей или меньшей	1	1
42	но не в	2	1
43	на том как	1	1
44	одного и того	6	1
45	друг на друга	1	1
46	один и тот	1	1
47	и тот же	1	1
48	при этом по	1	1
49	каждый из этих	1	1
50	во всяком случае	7	1
51	в этом случае	1	1
52	а не с	2	1
53	само по себе	2	1
54	заключает в себе	4	1
55	во втором случае	1	1
56	из того что	1	1
57	может быть названа	1	1
58	не в том	2	1
59	если бы он	1	1
60	то и не	1	1
61	в нашем сознании	1	1
62	но это не	1	1
63	быть не только	1	1
64	о том как	1	1
65	сами по себе	7	1
66	в таком случае	2	1
67	а в том	1	1
68	и в этом	1	1
69	то есть в	1	1
70	как более или	1	1
71	в том как	1	1
72	это не так	1	1
73	здесь как и	1	1
74	и в самом	1	1
75	не было бы	4	1
76	с другой стороны	2	1
77	скорее относится к	1	1
78	мысль о том	1	1
79	мы не можем	3	1
80	и того же	6	1
81	пространство и время	1	1
82	из них не	1	1
83	по крайней мере	5	1
84	на то что	3	1
85	может быть только	1	1
86	прежде всего на	1	1
87	мы при этом	1	1
88	все же не	1	1
89	наших глазах с	1	1
