N	3gram	Propp_Isto_2	Tragedij
1	в отличие от	1	2
2	точно так же	6	2
3	бросается в глаза	1	2
4	о том что	2	2
5	но все же	4	2
6	в том что	5	2
7	в этом случае	5	1
8	в обоих случаях	1	1
9	вопрос об этом	1	1
10	не только нет	1	1
11	том что он	1	1
12	эта деталь заставляет	1	1
13	сам по себе	1	1
14	что он не	4	1
15	в третий раз	2	1
16	за то что	1	1
17	это как бы	1	1
18	это может быть	1	1
19	в этой связи	1	1
20	мы встречаем такие	1	1
21	в высшей степени	1	1
22	смысле этого слова	1	1
23	тем не менее	1	1
24	третий раз он	1	1
25	в связи с	4	1
26	то что он	1	1
27	вместо того чтобы	2	1
28	не может быть	2	1
29	на вопрос о	1	1
30	и вместе с	2	1
31	это и есть	1	1
32	с самого начала	2	1
33	не только не	1	1
34	в последней главе	1	1
35	после того как	2	1
36	говорит не только	1	1
