N	2gram	Propp_Morf_1	RusskieA
1	и в	13	29
2	т е	21	24
3	том что	4	22
4	в том	6	22
5	что в	8	22
6	в поле	4	19
7	как бы	3	18
8	состоит в	2	15
9	в других	3	15
10	и другие	6	14
11	так как	16	13
12	может быть	52	13
13	во время	6	12
14	там же	1	12
15	в этом	14	11
16	как и	3	11
17	одна из	4	11
18	в этот	1	10
19	не только	4	10
20	и с	1	10
21	в лесу	1	10
22	во многих	1	9
23	а на	3	9
24	о том	2	9
25	в некоторых	3	9
26	на части	1	9
27	а в	7	9
28	его в	2	8
29	а а	2	8
30	или на	3	8
31	но и	4	8
32	ее в	1	8
33	как в	3	7
34	данном случае	1	7
35	представляют собой	11	7
36	или в	4	7
37	мы имеем	9	6
38	мы не	8	6
39	еще не	3	6
40	и на	1	6
41	при этом	1	6
42	таким образом	21	6
43	того чтобы	3	6
44	в деревне	1	6
45	для нас	2	6
46	для того	2	6
47	с тем	2	6
48	в данном	1	6
49	этом случае	8	6
50	же в	2	6
51	и т	41	5
52	из воды	1	5
53	но не	4	5
54	следующим образом	3	5
55	но в	2	5
56	это не	6	5
57	т д	39	5
58	не может	14	5
59	потому что	3	5
60	и что	2	5
61	или же	6	5
62	к земле	1	5
63	то что	8	5
64	к этому	3	5
65	то же	7	4
66	вопрос о	7	4
67	и сл	1	4
68	не все	6	4
69	уже не	2	4
70	их в	1	4
71	а затем	4	4
72	в них	1	4
73	далеко не	5	4
74	в которых	2	4
75	из земли	1	4
76	не в	3	4
77	земле и	1	4
78	у нас	2	4
79	а также	4	4
80	как объяснить	1	4
81	к нему	3	4
82	так что	1	4
83	в виде	2	4
84	из них	3	4
85	а не	11	4
86	о чем	1	4
87	так же	3	4
88	как это	3	4
89	этих случаях	11	4
90	предположить что	1	4
91	по существу	12	4
92	и все	1	4
93	или вообще	1	4
94	в таком	1	4
95	или ее	1	3
96	можно предположить	1	3
97	что ее	1	3
98	что это	1	3
99	все эти	2	3
100	в этой	2	3
101	в лес	7	3
102	что она	2	3
103	главным образом	4	3
104	подобно тому	6	3
105	и по	2	3
106	на этом	3	3
107	с другими	1	3
108	д к	1	3
109	церковь и	1	3
110	не всегда	9	3
111	на первый	3	3
112	в этих	13	3
113	не будем	4	3
114	но он	1	3
115	она не	2	3
116	в таких	2	3
117	не имеет	2	3
