N	3gram	Ircho_Kome_2	KFilosof
1	по отношению к	3	21
2	не может быть	1	11
3	с точки зрения	1	10
4	в этом смысле	2	3
5	того или иного	1	3
6	не было бы	1	3
7	но и здесь	1	3
8	но все эти	1	3
9	в соответствии с	1	2
10	она могла бы	1	2
11	бы то ни	2	2
12	то ни было	2	2
13	то же время	3	2
14	могла бы быть	1	2
15	той или иной	1	2
16	в то же	3	2
17	тем не менее	1	2
18	в том что	5	2
19	ни в один	1	1
20	потому что в	1	1
21	в том же	1	1
22	только в том	1	1
23	и во всех	1	1
24	и та же	1	1
25	независимо от того	2	1
26	отступает на задний	1	1
27	вместе с тем	4	1
28	и в то	1	1
29	в первом случае	1	1
30	на задний план	1	1
31	в том случае	1	1
32	всю свою жизнь	1	1
33	в нем не	2	1
34	во всяком случае	2	1
35	одна и та	1	1
36	для того чтобы	4	1
37	вместо того чтобы	1	1
38	к отказу от	1	1
39	может быть таким	1	1
40	в свою очередь	1	1
41	само по себе	1	1
42	содержания и его	1	1
43	но в этом	1	1
44	во второй половине	1	1
45	в большинстве случаев	1	1
46	к тому что	2	1
47	признать что в	1	1
48	ясно что это	1	1
49	что и в	2	1
50	независимо от его	1	1
