N	3gram	Vinokur_Ku_2	Russkaja
1	то же время	3	10
2	в то же	3	10
3	с точки зрения	8	9
4	в том что	10	7
5	на самом деле	2	6
6	во всяком случае	5	6
7	для того чтобы	8	6
8	до сих пор	1	5
9	на то что	2	4
10	бы то ни	1	4
11	к тому чтобы	1	4
12	в том случае	2	4
13	не может быть	4	4
14	в этом случае	2	3
15	в лучшем случае	3	3
16	том случае если	2	3
17	вместе с тем	2	3
18	можно было бы	9	3
19	и то что	1	3
20	в данном случае	1	3
21	к вопросу о	2	3
22	в конце концов	3	3
23	а следовательно и	2	2
24	точно так же	3	2
25	в настоящее время	1	2
26	в том и	1	2
27	только в том	2	2
28	если бы речь	1	2
29	что он не	1	2
30	бы речь шла	1	2
31	таким же образом	1	2
32	чтобы понять что	2	2
33	или в лучшем	1	2
34	том и в	1	2
35	и в том	2	2
36	лишь в том	1	2
37	того или иного	2	2
38	о том что	1	2
39	за последнее время	2	2
40	в другом случае	1	2
41	в большинстве случаев	1	2
42	о котором идет	1	2
43	к тому что	1	2
44	сама по себе	1	2
45	и в другом	2	2
46	что же это	1	1
47	что вся эта	1	1
48	состоит в том	1	1
49	прежде всего в	1	1
50	дело в том	1	1
51	в свою очередь	2	1
52	в самом деле	7	1
53	но даже и	2	1
54	точки зрения в	3	1
55	так как оно	1	1
56	каждый данный момент	2	1
57	и не только	1	1
58	и в других	1	1
59	на точку зрения	1	1
60	отнюдь не следует	1	1
61	от этого не	2	1
62	конечно не может	1	1
63	представить себе что	1	1
64	только то что	1	1
65	в этом отношении	3	1
66	совершенно ясно что	1	1
67	от того чтобы	1	1
68	но вряд ли	1	1
69	на этот вопрос	2	1
70	что все это	1	1
71	тот или иной	1	1
72	в противном случае	1	1
73	несмотря на то	2	1
74	по крайней мере	6	1
75	только для того	1	1
76	для борьбы с	1	1
77	и в частности	1	1
78	в значительной степени	1	1
79	в том чтобы	1	1
80	тем что он	2	1
81	то ни было	1	1
82	которых идет речь	1	1
83	смысле этого слова	1	1
84	все они имеют	1	1
85	свое место такому	1	1
86	не только для	1	1
87	таким образом при	1	1
88	в связи с	3	1
89	также и то	1	1
90	о которых идет	1	1
91	так же как	2	1
92	потому что они	1	1
93	в совершенно ином	1	1
94	политические и экономические	1	1
95	но можно ли	1	1
96	потому что и	1	1
97	из всех этих	1	1
98	не только эта	1	1
99	заключается в том	1	1
100	есть по существу	1	1
101	тех или иных	1	1
102	на ряду с	1	1
103	в каждый данный	2	1
104	но и для	1	1
105	с самого начала	1	1
106	речь идет о	1	1
107	в результате этого	2	1
108	но все же	2	1
109	несмотря на все	1	1
110	мы не знаем	1	1
111	именно в силу	2	1
112	образом в последние	1	1
113	тем не менее	5	1
114	по сравнению со	1	1
115	и прежде всего	1	1
116	к тому же	1	1
117	не только от	1	1
