N	3gram	Vinokur_Ku_2	VelikijI
1	в первый раз	1	3
2	то что мы	1	3
3	к тому что	1	3
4	то что я	1	2
5	вместо того чтобы	1	2
6	в вопросе о	1	2
7	в том что	10	2
8	и т д	14	2
9	я думаю что	1	1
10	но все же	2	1
11	т д и	1	1
12	да и то	1	1
13	хотя бы и	2	1
14	бы то ни	1	1
15	есть одна из	1	1
16	по крайней мере	6	1
17	вместе с тем	2	1
18	это не было	1	1
19	в конце концов	3	1
20	потому что оно	1	1
21	в известном смысле	1	1
22	не могут быть	1	1
23	что я не	3	1
24	с другой стороны	7	1
25	на этом пути	1	1
26	по сравнению с	1	1
27	д и т	1	1
28	и все это	1	1
29	и никогда не	1	1
30	что не в	1	1
31	после того как	1	1
32	оно не имеет	1	1
33	как и в	1	1
