N	2gram	Propp_Isto_6	Freidism
1	таким образом	12	24
2	и не	10	23
3	не может	6	20
4	точки зрения	1	19
5	прежде всего	4	18
6	в этом	12	15
7	в его	5	15
8	и пр	1	15
9	мы можем	7	13
10	может быть	11	13
11	и его	7	12
12	к матери	1	12
13	все эти	8	11
14	как и	5	11
15	как бы	4	11
16	то что	6	11
17	но в	7	10
18	его в	5	10
19	с ним	8	10
20	как мы	4	10
21	так и	5	10
22	с его	4	9
23	во всех	1	9
24	по отношению	2	9
25	и в	26	9
26	то же	5	8
27	не только	10	8
28	он не	2	8
29	в своей	3	8
30	еще не	9	8
31	что он	9	8
32	только в	5	8
33	так как	18	8
34	все это	1	8
35	отношению к	2	8
36	все что	4	8
37	мы уже	6	7
38	отношение к	1	7
39	и наконец	3	7
40	ни в	2	7
41	мы видели	11	7
42	те же	1	7
43	к нему	1	7
44	один из	3	7
45	мы знаем	2	7
46	всяком случае	2	7
47	что же	2	7
48	сказать что	3	7
49	во всяком	2	7
50	в ней	5	6
51	все те	1	6
52	и с	6	6
53	и ее	3	6
54	того что	2	6
55	для него	1	6
56	вовсе не	2	6
57	никогда не	13	6
58	и на	12	5
59	и к	1	5
60	в этой	2	5
61	знаем что	2	5
62	не в	3	5
63	мы должны	2	5
64	в то	5	5
65	могут быть	3	5
66	для этого	1	5
67	но мы	2	5
68	можно сказать	2	5
69	для того	1	5
70	а в	3	5
71	но и	9	5
72	связь с	11	5
73	с этим	2	5
74	в свою	1	5
75	что в	12	5
76	в зависимости	1	4
77	связанных с	1	4
78	мы не	6	4
79	зависимости от	2	4
80	но не	2	4
81	нашего сознания	1	4
82	все же	8	4
83	не было	3	4
84	из этих	4	4
85	в нем	8	4
86	на этом	1	4
87	связанные с	1	4
88	при этом	3	4
89	об этом	1	4
90	в жизни	1	4
91	не менее	1	4
92	в основе	1	4
93	потому что	13	4
94	и для	1	4
95	к тому	2	4
96	если мы	1	4
97	того чтобы	1	4
98	данном случае	3	4
99	сводится к	2	4
100	и желаний	1	4
101	это только	1	4
102	другими словами	3	4
103	с ними	2	4
104	уже не	7	4
105	в котором	1	4
106	мы находим	2	4
107	от того	3	4
108	и др	2	4
109	в данном	3	4
110	в мир	1	4
111	и о	1	4
112	в более	6	4
113	в этих	2	4
114	этот вопрос	1	4
115	между ними	1	4
116	в последнем	2	4
117	в таком	1	4
118	таком случае	1	3
119	и есть	1	3
120	при анализе	1	3
121	на место	3	3
122	он был	2	3
123	как в	6	3
124	и как	2	3
125	между двумя	1	3
126	сказать о	1	3
127	учение о	1	3
128	и тот	1	3
129	в себе	3	3
130	и те	2	3
131	этот процесс	1	3
132	главным образом	3	3
133	и вот	3	3
134	и по	4	3
135	что все	1	3
136	и может	1	3
137	было бы	2	3
138	уже знаем	2	3
139	мы имеем	14	3
140	такой же	3	3
141	тому чтобы	1	3
142	случае не	1	3
143	тому что	1	3
144	одна из	2	3
145	на него	2	3
146	представления и	2	3
147	к себе	2	3
148	не могут	1	3
149	бы он	1	3
150	она не	3	3
151	с ее	1	3
152	и этим	5	3
153	только то	2	3
154	приводит к	1	3
155	если бы	3	3
156	и смерть	1	3
157	и что	5	3
158	на другие	1	3
159	человека с	1	3
160	из которого	1	3
161	у него	7	3
162	в них	3	3
163	со стороны	3	3
164	на этот	1	3
165	и оно	1	3
166	вместе с	8	3
167	сейчас же	1	3
168	и от	3	3
169	но это	4	3
170	не является	1	3
171	ступенях развития	2	3
172	когда он	3	3
173	не знает	1	3
174	жизни и	2	3
175	ее в	6	3
176	ли мы	1	2
177	отношения к	1	2
178	и то	3	2
179	тех же	1	2
180	и до	2	2
181	что между	4	2
182	большую роль	1	2
183	нам в	1	2
184	не совсем	1	2
185	того же	2	2
186	в ее	1	2
187	видели что	3	2
188	но как	4	2
189	с которыми	1	2
190	отличие от	1	2
191	или иное	3	2
192	относится к	2	2
193	же с	1	2
194	дает нам	2	2
195	что как	1	2
196	в своем	2	2
197	от этого	3	2
198	в этот	1	2
199	что это	2	2
200	и современная	1	2
201	сил в	1	2
202	что она	3	2
203	есть та	1	2
204	в мифах	4	2
205	их в	3	2
206	но все	2	2
207	в одну	1	2
208	них не	1	2
209	на этой	2	2
210	при помощи	3	2
211	это не	4	2
212	в свой	1	2
213	чаще всего	5	2
214	отсюда и	1	2
215	же объясняется	1	2
216	по всему	2	2
217	приходит в	2	2
218	и становится	1	2
219	том что	10	2
220	в эту	2	2
221	на один	1	2
222	он сохраняет	1	2
223	но если	1	2
224	и при	1	2
225	на первых	1	2
226	сих пор	4	2
