N	2gram	Tiupa_Disk_1	VLabPisa
1	таким образом	3	27
2	в этом	15	26
3	и в	16	25
4	не только	28	22
5	может быть	17	21
6	хотя бы	3	20
7	и не	11	19
8	художественного творчества	1	18
9	не может	9	17
10	объективной действительности	1	15
11	в его	7	15
12	в процессе	5	14
13	этом отношении	1	13
14	в том	23	13
15	прежде всего	11	13
16	в частности	9	12
17	как это	1	12
18	в силу	5	11
19	с другой	10	11
20	из них	3	11
21	в качестве	34	10
22	не могут	1	10
23	о том	8	10
24	представляет собою	1	10
25	то же	7	9
26	что в	4	9
27	об этом	2	9
28	для него	4	9
29	но и	14	9
30	и др	2	9
31	к этому	2	9
32	в своем	6	8
33	реальной действительности	1	8
34	по словам	2	8
35	не следует	2	8
36	другой стороны	3	8
37	могут быть	4	8
38	говорит и	2	8
39	в году	2	7
40	во всех	5	7
41	по отношению	9	7
42	он пишет	1	7
43	из этих	1	7
44	было бы	1	7
45	как и	16	7
46	том что	19	7
47	в конечном	1	7
48	творчества в	1	7
49	говорит о	1	7
50	не было	7	7
51	а не	22	7
52	вместе с	1	7
53	отношению к	9	7
54	это и	1	6
55	работе над	1	6
56	более или	2	6
57	в себе	7	6
58	в нем	9	6
59	это не	3	6
60	или менее	2	6
61	и его	2	6
62	в то	3	6
63	так и	8	6
64	между тем	4	6
65	бы и	1	6
66	в основном	1	6
67	то что	5	6
68	одним из	2	5
69	и есть	2	5
70	в их	5	5
71	конечном счете	1	5
72	очевидно что	1	5
73	как говорит	1	5
74	все же	3	5
75	в пределах	2	5
76	и при	1	5
77	не в	7	5
78	же время	4	5
79	связи с	4	5
80	приводит к	2	5
81	один из	3	5
82	следует понимать	1	5
83	он говорит	1	5
84	как бы	5	5
85	не является	4	5
86	в результате	1	5
87	сказать что	3	5
88	только в	7	5
89	с его	4	4
90	в этой	2	4
91	перед нами	3	4
92	когда он	2	4
93	в самом	3	4
94	в целом	4	4
95	в них	4	4
96	в философии	1	4
97	никогда не	2	4
98	к тому	5	4
99	в ее	3	4
100	можно сказать	5	4
101	познания в	1	4
102	с ними	1	4
103	что он	4	4
104	в нашей	1	4
105	в одном	2	4
106	как раз	1	4
107	в связи	1	4
108	в своей	5	4
109	например в	2	3
110	в котором	5	3
111	из его	1	3
112	всего лишь	1	3
113	имеет свою	3	3
114	и он	2	3
115	в которых	4	3
116	но как	2	3
117	нет и	1	3
118	что они	1	3
119	с этим	3	3
120	и как	6	3
121	и к	4	3
122	и художественного	1	3
123	следующим образом	1	3
124	в противоположность	2	3
125	всех этих	1	3
126	и по	2	3
127	в работе	1	3
128	творчества на	1	3
129	говорить не	1	3
130	далеко не	10	3
131	что не	4	3
132	с тем	1	3
133	в слове	1	3
134	мы видели	1	3
135	во время	1	3
136	точки зрения	3	3
137	и ее	2	3
138	это делает	1	3
139	в дневнике	1	3
140	к работе	2	3
141	сводится к	5	3
142	с работой	1	3
143	том как	1	3
144	различного рода	3	3
145	образом в	1	3
146	в виду	2	3
147	утверждает что	1	3
148	в значительной	2	3
149	что и	3	3
150	вслед за	1	3
151	того что	3	3
152	большей или	2	3
153	или меньшей	2	3
154	и их	1	3
155	момент в	1	3
156	в конце	1	3
157	именно в	3	3
158	в творчестве	1	3
159	некоторые из	1	3
160	всех других	1	3
161	индивидуальной творческой	1	3
162	при всем	1	3
163	писал в	1	3
164	и от	1	3
165	или в	2	3
166	как известно	1	2
167	также и	3	2
168	чтобы не	1	2
169	видеть в	1	2
170	на отсутствие	1	2
171	а как	1	2
172	мы имеем	2	2
173	в которой	1	2
174	из своих	1	2
175	говорить о	1	2
176	меньшей степени	1	2
177	еще не	14	2
178	что его	1	2
179	в различных	2	2
180	в чем	1	2
181	но не	11	2
182	если в	1	2
183	том числе	2	2
184	отнюдь не	8	2
185	стороны и	2	2
186	этом же	1	2
187	хотя и	2	2
188	как процесс	1	2
189	но в	8	2
190	не приходится	2	2
191	он в	1	2
192	наиболее существенные	1	2
193	этот процесс	1	2
194	что она	1	2
195	он не	1	2
196	том чтобы	2	2
197	подобно тому	2	2
198	что ни	1	2
199	так например	2	2
200	человека в	2	2
201	в каждом	2	2
202	в другом	2	2
203	заключается в	3	2
204	с другими	1	2
205	в жизни	1	2
206	рассказывает что	2	2
207	который по	1	2
208	только о	1	2
209	не всегда	2	2
210	что такое	1	2
211	всяком случае	1	2
212	не столько	1	2
213	от его	1	2
214	искусства не	1	2
215	для многих	1	2
216	которые в	1	2
217	по крайней	2	2
218	если бы	1	2
219	как от	1	2
220	по себе	3	2
221	не менее	2	2
222	можно указать	1	2
223	в науке	2	2
224	не по	1	2
225	пока еще	6	2
226	не вполне	1	2
227	в области	1	2
228	от того	1	2
229	и заключается	1	2
230	ли не	3	2
231	отличается от	2	2
232	же самое	2	2
233	числе и	2	2
234	должны быть	3	2
235	они и	3	2
236	основываясь на	1	2
237	мысль о	1	2
238	только то	1	2
239	и может	1	2
240	роль в	7	2
241	он сам	1	2
242	и даже	3	2
243	во всяком	2	2
244	лишь в	4	2
245	крайней мере	2	2
246	с реальной	1	2
247	о его	1	2
248	что даже	2	2
249	до нас	1	2
250	всех его	1	2
251	с одной	9	2
252	одной из	4	2
253	у них	1	2
254	слова не	1	2
255	при помощи	1	2
256	работой над	1	2
257	к ним	3	2
258	при всей	3	2
259	не о	1	2
260	в особенности	4	2
261	одной стороны	9	2
262	или иной	5	2
263	даже не	1	2
264	до сих	1	2
265	еще и	1	2
266	зависит от	2	2
267	о чем	2	2
268	не об	1	2
269	тому как	3	2
270	было в	2	2
271	и потому	3	2
272	сих пор	1	2
273	того или	2	2
274	но для	1	2
275	в книге	1	2
276	многие из	1	2
277	в италии	1	2
