N	3gram	Berdyaev_M_2	Tvorches
1	в романах достоевского	1	12
2	преступлении и наказании	1	10
3	в преступлении и	1	10
4	в братьях карамазовых	2	6
5	в творчестве достоевского	3	4
6	о великом инквизиторе	2	3
7	до сих пор	3	3
8	записках из подполья	1	3
9	по отношению к	2	3
10	в записках из	1	3
11	легенда о великом	1	3
12	не может быть	8	3
13	о том что	2	2
14	что у достоевского	1	2
15	преступления и наказания	1	2
16	с иваном карамазовым	1	2
17	в xix веке	1	2
18	в дневнике писателя	2	2
19	у достоевского нет	2	2
20	в том что	2	2
21	не в силах	1	2
22	он сам в	1	2
23	так же как	3	2
24	никогда не было	3	2
25	с настасьей филипповной	2	1
26	настасье филипповне любовь	1	1
27	с такой силой	1	1
28	и должно быть	1	1
29	у достоевского есть	3	1
30	в нем самом	1	1
31	сам достоевский в	1	1
32	том что в	1	1
33	в этой борьбе	1	1
34	достоинство человека и	1	1
35	в письме к	1	1
36	и народ в	1	1
37	это и есть	3	1
38	записок из подполья	1	1
39	достоевского нет ничего	1	1
40	и в этом	3	1
41	именно потому что	1	1
42	не может нас	1	1
43	веру в бога	1	1
44	и никогда не	2	1
45	в противоречии с	1	1
46	противопоставлен всему миру	1	1
47	но это не	2	1
48	потому что в	1	1
49	а может быть	1	1
50	не может жить	1	1
51	такой силой как	1	1
52	достоевского с его	1	1
53	как и в	2	1
54	не означает что	1	1
55	в нем и	1	1
56	в чем не	2	1
57	у достоевского это	1	1
58	в конце романа	1	1
59	у нас не	2	1
60	есть по преимуществу	2	1
61	на чьей стороне	1	1
62	мы видим в	1	1
63	преступление и наказание	1	1
64	той или иной	1	1
65	может быть назван	2	1
66	ни в чем	2	1
67	на западе это	1	1
68	у достоевского не	1	1
69	в xx веке	1	1
70	не в себе	1	1
71	в иване карамазове	1	1
72	что у него	1	1
73	в стороне от	1	1
74	творчестве достоевского но	1	1
75	нет ничего кроме	1	1
76	же как и	3	1
77	в нем нет	2	1
78	уходит в бесконечность	1	1
79	человека в его	1	1
80	жалости и состраданию	1	1
81	он не знал	1	1
82	в высшей степени	3	1
83	любить друг друга	2	1
84	на наших глазах	1	1
85	и всякий раз	1	1
86	и ивана карамазова	1	1
87	так и не	1	1
88	к богу к	1	1
89	творчество достоевского проникнуто	1	1
90	достоевский не только	1	1
91	что он сам	1	1
92	его образ и	1	1
93	я никогда не	2	1
