N	3gram	Bakhtin_sl_1	TeoriaLi
1	в отличие от	1	7
2	в том что	1	6
3	то же время	12	6
4	в то же	12	6
5	в данном случае	3	5
6	того или иного	2	5
7	более или менее	3	4
8	с другой стороны	4	3
9	тем не менее	1	3
10	можно сказать что	1	3
11	в свою очередь	2	3
12	той или иной	9	3
13	с точки зрения	8	2
14	в противном случае	1	2
15	не могло быть	1	2
16	с одной стороны	4	2
17	не в самом	1	2
18	и то же	2	2
19	так или иначе	1	2
20	одно и то	2	2
21	не только не	1	2
22	в эстетический объект	1	2
23	тех или иных	1	2
24	не может быть	1	2
25	как и в	1	2
26	весь его текст	1	1
27	и в сущности	2	1
28	а между тем	2	1
29	к автору и	1	1
30	в той или	9	1
31	в виду не	1	1
32	этой точки зрения	1	1
33	дело в том	1	1
34	в контексте целого	1	1
35	это было бы	1	1
36	имеем в виду	1	1
37	в этом случае	2	1
38	со всех сторон	1	1
39	и в то	5	1
40	только в условиях	1	1
41	не входит в	1	1
42	высказывания и в	1	1
43	бы то ни	1	1
44	рассеянной чужой речи	1	1
45	точки зрения не	1	1
46	по крайней мере	1	1
47	то или иное	1	1
48	никогда не бывает	1	1
49	может быть и	1	1
50	до известной степени	2	1
51	в значительной степени	1	1
52	как в поэзии	1	1
53	в первом случае	2	1
54	то ни было	1	1
55	между собой в	1	1
56	в отношении к	6	1
57	в известном смысле	2	1
58	не могут быть	2	1
59	в евгении онегине	2	1
60	и не могла	1	1
61	поэтического слова в	1	1
62	здесь как бы	1	1
63	в то время	2	1
64	и романного слова	1	1
65	с этой точки	1	1
66	поэт не может	1	1
67	о том что	1	1
68	и оценки и	1	1
69	включает в себя	1	1
70	и прежде всего	1	1
71	но в то	4	1
72	именно потому что	1	1
73	между тем это	1	1
74	мы имеем в	1	1
75	бы они ни	1	1
76	они ни были	1	1
77	между автором и	2	1
78	к одному из	1	1
79	в большинстве случаев	6	1
80	у нее нет	1	1
81	входит в эстетический	1	1
82	в том и	2	1
83	для того чтобы	1	1
