N	2gram	Tiupa_Vved_1	Retstnzi
1	не может	7	4
2	и в	13	3
3	в центре	2	2
4	если в	2	2
5	один из	3	2
6	нуждаются в	1	1
7	то же	5	1
8	с другими	1	1
9	можно назвать	1	1
10	в ней	4	1
11	о литературе	1	1
12	может быть	18	1
13	персонажей и	2	1
14	из этих	3	1
15	и не	12	1
16	в его	4	1
17	тех же	1	1
18	ситуации и	3	1
19	он в	1	1
20	может и	1	1
21	связи с	1	1
22	истории но	1	1
23	бы на	1	1
24	не только	20	1
25	не менее	4	1
26	для него	3	1
27	если бы	7	1
28	тому что	1	1
29	в школе	1	1
30	литературного произведения	1	1
31	язык как	2	1
32	к тому	6	1
33	в особенности	1	1
34	несмотря на	1	1
35	и все	4	1
36	исходя из	2	1
37	в то	4	1
38	бы в	3	1
39	так называемая	1	1
40	но и	19	1
41	точки зрения	1	1
42	и на	3	1
43	мы видим	1	1
44	же время	3	1
45	событий и	1	1
46	художественного целого	1	1
47	по своим	3	1
48	а не	15	1
