N	2gram	Propp_Morf_1	Problema
1	то что	8	42
2	вовсе не	4	35
3	и в	13	32
4	и не	12	31
5	не есть	1	29
6	не менее	5	19
7	в этом	14	19
8	тем не	5	18
9	не только	4	17
10	потому что	3	16
11	в себе	1	15
12	в виде	2	15
13	а не	11	15
14	у нас	2	14
15	но в	2	14
16	может быть	52	14
17	как бы	3	14
18	как раз	1	13
19	сказать что	2	13
20	и тем	2	13
21	при помощи	9	13
22	что мы	2	13
23	так и	6	12
24	а именно	1	12
25	что в	8	12
26	том что	4	12
27	и т	41	11
28	и даже	1	11
29	если мы	5	11
30	ничего общего	1	11
31	также и	4	11
32	о том	2	11
33	есть нечто	3	11
34	так как	16	11
35	прежде всего	9	10
36	т д	39	10
37	об этом	4	10
38	то же	7	10
39	ничего не	4	10
40	в этой	2	10
41	еще не	3	9
42	так же	3	9
43	по своему	2	9
44	того чтобы	3	9
45	но не	4	9
46	что же	2	9
47	в таком	1	9
48	в том	6	9
49	но и	4	9
50	то с	2	9
51	и что	2	9
52	же самое	1	9
53	в данном	1	9
54	все эти	2	8
55	когда мы	1	8
56	данном случае	1	8
57	на то	2	8
58	не может	14	8
59	как нечто	1	8
60	в своей	1	8
61	для того	2	8
62	и на	1	8
63	и ее	3	8
64	было бы	3	8
65	но это	6	8
66	во всяком	2	7
67	здесь не	2	7
68	и все	1	7
69	во всех	4	7
70	того что	3	7
71	как мы	6	7
72	смысле слова	4	7
73	ни в	1	7
74	тем что	4	7
75	в них	1	7
76	что он	4	7
77	между собою	2	7
78	только в	2	7
79	и здесь	5	6
80	говорить о	3	6
81	при этом	1	6
82	таким образом	21	6
83	предметов и	1	6
84	что такое	3	6
85	так что	1	6
86	как это	3	6
87	не существует	3	6
88	и есть	2	6
89	его в	2	6
90	совершенно не	1	6
91	на самом	4	6
92	но как	2	6
93	это не	6	6
94	хотя и	3	6
95	в то	3	6
96	таком случае	1	6
97	о чем	1	6
98	в виду	1	6
99	самом деле	4	6
100	и то	1	6
101	и как	5	6
102	в его	1	6
103	для нас	2	5
104	можно сказать	2	5
105	связи с	10	5
106	то в	3	5
107	что она	2	5
108	она есть	1	5
109	в других	3	5
110	мы должны	3	5
111	можно ли	1	5
112	мы уже	1	5
113	с тем	2	5
114	далеко не	5	5
115	еще и	1	5
