N	4gram	Propp_Isto_6	RusskieA
1	не что иное как	1	2
2	но вместе с тем	1	2
3	так же как и	1	2
4	ниже когда мы рассмотрим	1	1
5	чем речь будет ниже	1	1
6	о чем говорилось выше	1	1
7	ее к себе в	2	1
8	во всяком случае не	1	1
9	как уже указывалось выше	1	1
10	в то время как	3	1
11	с одной стороны умерший	1	1
12	о чем речь будет	1	1
13	это приводит нас к	1	1
14	той лишь разницей что	1	1
15	состоял в том что	1	1
16	имели целью воздействовать на	1	1
17	с той лишь разницей	1	1
18	в тех случаях когда	3	1
