N	2gram	Bakhtin_Pr_1	Komedia
1	и в	29	22
2	и не	31	21
3	т е	21	16
4	том что	7	13
5	таким образом	12	12
6	в том	8	12
7	так как	6	11
8	со стороны	1	11
9	ни в	3	10
10	потому что	8	10
11	в самом	10	9
12	до сих	2	9
13	сих пор	2	9
14	в этом	22	8
15	его в	6	8
16	в своем	8	8
17	о том	1	8
18	если бы	9	8
19	в его	24	8
20	что и	4	8
21	что он	8	8
22	едва ли	1	7
23	то же	14	7
24	при этом	2	7
25	об этом	1	7
26	в конце	6	7
27	только что	1	7
28	а в	7	7
29	в свою	1	7
30	самом деле	6	6
31	еще не	5	6
32	так что	2	6
33	в то	10	6
34	и его	14	6
35	к тому	1	6
36	того чтобы	1	6
37	свою очередь	1	6
38	и что	2	6
39	для того	1	6
40	может быть	24	6
41	как раз	6	6
42	к этому	1	6
43	отношение к	2	5
44	но в	7	5
45	не только	15	5
46	он не	5	5
47	в своей	8	5
48	в которых	2	5
49	то это	1	5
50	же время	9	5
51	связи с	2	5
52	к себе	2	5
53	и сам	2	5
54	хотя и	1	5
55	с ним	5	5
56	к нему	6	5
57	что в	8	5
58	по отношению	8	5
59	из них	1	5
60	тем что	4	5
61	прежде всего	7	5
62	все это	6	5
63	и т	4	4
64	он знает	3	4
65	на себя	2	4
66	в ней	2	4
67	с другой	3	4
68	нет и	1	4
69	все же	9	4
70	то что	15	4
71	в себе	7	4
72	что она	6	4
73	но все	5	4
74	и с	4	4
75	несмотря на	6	4
76	точки зрения	19	4
77	не в	7	4
78	однако в	2	4
79	в отношении	2	4
80	самого начала	2	4
81	на него	3	4
82	у него	5	4
83	и здесь	3	4
84	с самого	1	4
85	друг друга	3	4
86	так и	7	4
87	здесь нет	1	4
88	с помощью	1	4
89	не дает	3	4
90	т п	3	4
91	вовсе не	7	4
92	но и	14	4
93	до конца	8	4
94	ничем не	1	4
95	а не	22	4
96	и для	4	4
97	бы в	3	4
98	хотя бы	2	4
99	так же	6	4
100	идет о	4	3
101	который в	1	3
102	с его	9	3
103	в ее	1	3
104	с этим	2	3
105	и к	2	3
106	тем же	1	3
107	и этим	3	3
108	в которой	2	3
109	в этой	4	3
110	как он	1	3
111	в нем	19	3
112	прежде чем	1	3
113	приводит к	3	3
114	от нее	1	3
115	то ни	2	3
116	было бы	5	3
117	по всему	1	3
118	в них	3	3
119	все равно	1	3
120	далеко не	3	3
121	как и	12	3
122	чем в	2	3
123	и еще	1	3
124	но если	1	3
125	себе в	1	3
126	с точки	13	3
127	их в	4	3
128	к ним	1	3
129	не имеет	1	3
130	никогда не	3	3
131	ничего не	5	3
132	же самое	1	3
133	не позволяет	2	3
134	и мы	1	3
135	любовь к	1	3
136	не о	2	3
137	одной из	1	3
138	нисколько не	2	3
139	в начале	1	3
140	что не	1	3
141	следует что	1	3
142	не так	1	3
143	всяком случае	3	3
144	отношению к	8	3
145	в других	1	3
146	и даже	2	3
147	даже не	1	3
148	на ее	1	3
149	ему не	1	3
150	на этот	2	3
151	один из	2	3
152	не он	1	3
153	если не	1	3
154	в частности	1	3
155	не может	12	3
156	конечно не	2	3
157	совсем другой	1	3
