N	4gram	Losev_Prob_4	KulturaY
1	и тем не менее	3	4
2	с этой точки зрения	1	2
3	не говоря уже о	1	2
4	т д и т	1	1
5	только в том что	2	1
6	в том смысле как	1	1
7	по крайней мере об	1	1
8	ни в научном ни	1	1
9	не что иное как	2	1
10	в том что мы	1	1
11	так по крайней мере	1	1
12	не сам по себе	2	1
13	бы то ни было	1	1
14	одном и том же	1	1
15	можно ли сказать что	1	1
16	можно было бы сказать	1	1
17	дело в том что	1	1
18	и т д и	1	1
19	ни за что не	1	1
20	в научном ни в	1	1
21	в то время как	2	1
22	не только в том	2	1
23	в одном и том	1	1
24	заключается в том что	1	1
25	также и то что	1	1
26	есть не что иное	2	1
